year,catch_mt,index,age1,age2,age3,age4,age5,age6,age7
1,620,0.82,0.08,0.18,0.24,0.22,0.15,0.08,0.05
2,645,0.86,0.10,0.17,0.23,0.21,0.16,0.08,0.05
3,670,0.91,0.11,0.19,0.22,0.20,0.15,0.08,0.05
4,710,0.95,0.09,0.18,0.25,0.21,0.14,0.08,0.05
5,760,1.01,0.08,0.16,0.24,0.23,0.16,0.08,0.05
6,805,1.08,0.12,0.18,0.22,0.21,0.15,0.07,0.05
7,850,1.13,0.13,0.20,0.22,0.19,0.14,0.07,0.05
8,875,1.17,0.10,0.19,0.24,0.20,0.14,0.08,0.05
9,900,1.22,0.09,0.18,0.24,0.21,0.15,0.08,0.05
10,925,1.26,0.11,0.18,0.23,0.20,0.15,0.08,0.05
11,940,1.30,0.10,0.17,0.23,0.22,0.15,0.08,0.05
12,965,1.33,0.09,0.17,0.24,0.22,0.15,0.08,0.05
13,990,1.36,0.12,0.19,0.22,0.20,0.14,0.08,0.05
14,1015,1.39,0.13,0.20,0.22,0.19,0.14,0.07,0.05
15,1030,1.42,0.11,0.19,0.23,0.20,0.14,0.08,0.05
16,1045,1.45,0.10,0.18,0.24,0.21,0.14,0.08,0.05
17,1060,1.47,0.09,0.17,0.24,0.22,0.15,0.08,0.05
18,1075,1.49,0.11,0.18,0.23,0.21,0.14,0.08,0.05
19,1085,1.50,0.12,0.19,0.22,0.20,0.14,0.08,0.05
20,1095,1.52,0.10,0.18,0.24,0.21,0.14,0.08,0.05
