section,metric,target,value,extra
optimization,objective_value,,-14.3868675854755,
optimization,gradient_norm,,5.19827398754203e-06,
optimization,max_gradient_parameter,,log_r0,
optimization,max_gradient_value,,5.11138687136689e-06,
optimization,max_abs_gradient,,5.11138687136689e-06,
optimization,iterations,,17,
optimization,converged,,yes,
optimization,message,,converged to requested fixed-effect gradient tolerance,
curvature,positive_definite,,yes,
curvature,min_eigenvalue,,10.2183884027573,
curvature,max_eigenvalue,,112.239031834401,
curvature,condition_number_abs,,10.9840248198155,
spectral_structure,available,,yes,
spectral_structure,largest_eigen_share,,0.095050325395682,
spectral_structure,effective_rank_entropy,,16.3107626636197,
spectral_structure,eigen_count_for_50%,,6,
spectral_structure,eigen_count_for_90%,,14,
spectral_structure,eigen_count_for_95%,,16,
spectral_structure,eigen_count_for_99%,,19,
huu_structure,random_effects,,20,
huu_structure,total_entries,,400,
huu_structure,structural_nonzeros,,364,
huu_structure,structural_density,,0.91,
effective_sparsity,entries_required,90%,54,compression_vs_structural=6.74074074074074
effective_sparsity,entries_required,95%,58,compression_vs_structural=6.27586206896552
effective_sparsity,entries_required,97%,100,compression_vs_structural=3.64
effective_sparsity,entries_required,98%,133,compression_vs_structural=2.73684210526316
effective_sparsity,entries_required,99%,183,compression_vs_structural=1.98907103825137
effective_sparsity,entries_required,99.5%,224,compression_vs_structural=1.625
effective_sparsity,entries_required,99.9%,293,compression_vs_structural=1.24232081911263
effective_sparsity,entries_required,100%,364,compression_vs_structural=1
effective_bandwidth,bandwidth,90%,1,entry_count_if_banded=58
effective_bandwidth,bandwidth,95%,1,entry_count_if_banded=58
effective_bandwidth,bandwidth,97%,2,entry_count_if_banded=94
effective_bandwidth,bandwidth,98%,3,entry_count_if_banded=128
effective_bandwidth,bandwidth,99%,5,entry_count_if_banded=190
effective_bandwidth,bandwidth,99.5%,7,entry_count_if_banded=244
effective_bandwidth,bandwidth,99.9%,10,entry_count_if_banded=310
effective_bandwidth,bandwidth,100%,19,entry_count_if_banded=400
uncertainty,covariance_available,,yes,
uncertainty,correlation_available,,yes,
uncertainty,min_variance,,0.027865965883578,index=3
uncertainty,max_variance,,0.0350480485905882,index=19
uncertainty,max_abs_correlation,,0.598351221654447,pair=18;19
uncertainty,count_abs_corr_gt_0_5,,15,
uncertainty,count_abs_corr_gt_0_8,,0,
uncertainty,count_abs_corr_gt_0_9,,0,
parameter_influence,importance,log_rec_dev_17,44.5488428332677,index=16;sd=0.183360328347728;variance=0.0336210100117867;variance_share=0.0554843153726583;correlation_centrality=2.42549081701974;curvature_column_norm=70.9264530813492;importance_share=0.0609918078147027
parameter_influence,importance,log_rec_dev_16,44.2615446289814,index=15;sd=0.180556501484316;variance=0.0326006502282559;variance_share=0.0538004288980058;correlation_centrality=2.46325967176437;curvature_column_norm=70.7829044051472;importance_share=0.0605984679264609
parameter_influence,importance,log_rec_dev_18,43.2618345586047,index=17;sd=0.185464578784088;variance=0.0343971099835591;variance_share=0.0567651030580797;correlation_centrality=2.28245716879513;curvature_column_norm=71.0632207342914;importance_share=0.0592297651587808
parameter_influence,importance,log_rec_dev_15,42.6803069211919,index=14;sd=0.177501684946827;variance=0.0315068481589625;variance_share=0.0519953415747319;correlation_centrality=2.40347164485272;curvature_column_norm=70.6484954006843;importance_share=0.0584335958389004
parameter_influence,importance,log_rec_dev_14,40.7022095683089,index=13;sd=0.17471439426877;variance=0.0305251195647032;variance_share=0.050375207649096;correlation_centrality=2.30268400109302;curvature_column_norm=70.5378594805887;importance_share=0.0557253833262352
parameter_influence,importance,log_rec_dev_19,39.5757904308082,index=18;sd=0.186696793808497;variance=0.0348556928183725;variance_share=0.0575218963436578;correlation_centrality=1.97827497081705;curvature_column_norm=71.1750770735403;importance_share=0.0541832032114705
parameter_influence,importance,log_rec_dev_13,38.3629205908768,index=12;sd=0.172552949412713;variance=0.0297745203510261;variance_share=0.0491365035329637;correlation_centrality=2.15515537253594;curvature_column_norm=70.4641999522685;importance_share=0.0525226634650575
parameter_influence,importance,log_rec_dev_12,36.954537302952,index=11;sd=0.171102186326852;variance=0.0292759581658288;variance_share=0.0483137328456264;correlation_centrality=2.06650457767272;curvature_column_norm=70.4317683832589;importance_share=0.0505944463136481
