band_distance,count,nonzero_count,mean_abs,max_abs,sum_abs,share_sum_abs,cumulative_share_sum_abs
0,20,20,59.0418977353124,61.5960537686533,1180.83795470625,0.684412071133482,0.684412071133482
1,19,19,25.8913613543062,26.6666667414484,491.935865731818,0.28512535813105,0.969537429264532
2,18,17,0.717865539851598,1.0034252539981,12.9215797173288,0.00748933001467875,0.977026759279211
3,17,16,0.628536835650346,0.869116689727889,10.6851262060559,0.00619308460391466,0.983219843883126
4,16,15,0.523425613963013,0.722001480824019,8.37480982340821,0.0048540283734475,0.988073872256573
5,15,14,0.418896171083816,0.584393866631672,6.28344256625724,0.00364187475807398,0.991715747014647
6,14,13,0.325170074993204,0.468466154757152,4.55238104990485,0.00263855385960157,0.994354300874249
7,13,12,0.247122226955281,0.373790243202166,3.21258895041865,0.00186201218252977,0.996216313056778
8,12,11,0.187221467958428,0.297308133667684,2.24665761550114,0.00130215969568445,0.997518472752463
9,11,10,0.140790490377185,0.234597763437705,1.54869539414904,0.00089762174228902,0.998416094494752
10,10,9,0.104730499828065,0.183132087272497,1.04730499828065,0.000607016551360784,0.999023111046113
11,9,8,0.0767147530685482,0.140902400858067,0.690432777616934,0.000400173898055978,0.999423284944169
12,8,7,0.0549894574319865,0.106041220249153,0.439915659455892,0.000254974517385967,0.999678259461555
13,7,6,0.0382451403879713,0.0769640351450107,0.267715982715799,0.000155167819154015,0.999833427280709
14,6,5,0.0255303630088595,0.0533015409587279,0.153182178053157,8.87841818805525e-05,0.999922211462589
15,5,4,0.0160656199454934,0.0344137163210689,0.0803280997274669,4.65580572555097e-05,0.999968769519845
16,4,3,0.00924638143828815,0.0200055083610096,0.0369855257531526,2.14367603800244e-05,0.999990206280225
17,3,2,0.00456766476493916,0.0097536201337789,0.0137029942948175,7.94223684009154e-06,0.999998148517065
18,2,1,0.00159721125214674,0.00319442250429347,0.00319442250429347,1.85148293508466e-06,1
19,1,0,0,0,0,0,1
