i,j,value,abs_value
1,1,45.9000339958493,45.9000339958493
1,2,-25.7530855307664,25.7530855307664
1,3,0.874154260088744,0.874154260088744
1,4,0.797125743190463,0.797125743190463
1,5,0.692013557568316,0.692013557568316
1,6,0.577234082754785,0.577234082754785
1,7,0.468466154757152,0.468466154757152
1,8,0.373790243202166,0.373790243202166
1,9,0.297308133667684,0.297308133667684
1,10,0.234597763437705,0.234597763437705
1,11,0.183132087272497,0.183132087272497
1,12,0.140902400858067,0.140902400858067
1,13,0.106041220249153,0.106041220249153
1,14,0.0769640351450107,0.0769640351450107
1,15,0.0533015409587279,0.0533015409587279
1,16,0.0344137163210689,0.0344137163210689
1,17,0.0200055083610096,0.0200055083610096
1,18,0.0097536201337789,0.0097536201337789
1,19,0.00319442250429347,0.00319442250429347
2,1,-25.7530855307664,25.7530855307664
2,2,61.5960537686533,61.5960537686533
2,3,-25.7022430005804,25.7022430005804
2,4,0.915737352613633,0.915737352613633
2,5,0.824293699963619,0.824293699963619
2,6,0.705445835080809,0.705445835080809
2,7,0.581523984521937,0.581523984521937
2,8,0.467096938905343,0.467096938905343
2,9,0.368803299011233,0.368803299011233
2,10,0.290346058307023,0.290346058307023
2,11,0.226410890036277,0.226410890036277
2,12,0.17414905073565,0.17414905073565
2,13,0.131066535402624,0.131066535402624
2,14,0.0951391854187023,0.0951391854187023
2,15,0.0658955556787078,0.0658955556787078
2,16,0.0425471213816309,0.0425471213816309
2,17,0.0247339926318091,0.0247339926318091
2,18,0.0120591536756365,0.0120591536756365
2,19,0.00394937416103858,0.00394937416103858
3,1,0.874154260088744,0.874154260088744
3,2,-25.7022430005804,25.7022430005804
3,3,61.3438899677021,61.3438899677021
3,4,-25.6526341502195,25.6526341502195
3,5,0.952826439970522,0.952826439970522
3,6,0.846862846515251,0.846862846515251
3,7,0.716316783666571,0.716316783666571
3,8,0.584393866631672,0.584393866631672
3,9,0.464572380565187,0.464572380565187
3,10,0.363093555222349,0.363093555222349
3,11,0.282473777701853,0.282473777701853
3,12,0.217021600690259,0.217021600690259
3,13,0.163269930908427,0.163269930908427
3,14,0.118511422897427,0.118511422897427
3,15,0.0820913115262556,0.0820913115262556
3,16,0.0530086197159108,0.0530086197159108
3,17,0.0308167713569674,0.0308167713569674
3,18,0.0150249590546991,0.0150249590546991
3,19,0.00492086371650657,0.00492086371650657
4,1,0.797125743190463,0.797125743190463
4,2,0.915737352613633,0.915737352613633
4,3,-25.6526341502195,25.6526341502195
4,4,61.1296925967508,61.1296925967508
4,5,-25.6123689368337,25.6123689368337
4,6,0.98046566421317,0.98046566421317
4,7,0.862282512059664,0.862282512059664
4,8,0.722001480824019,0.722001480824019
4,9,0.583207970805688,0.583207970805688
4,10,0.45914383406398,0.45914383406398
4,11,0.354762974552614,0.354762974552614
4,12,0.271920441718976,0.271920441718976
4,13,0.204321892738335,0.204321892738335
4,14,0.148238044062055,0.148238044062055
4,15,0.102671826596179,0.102671826596179
4,16,0.0663012755808268,0.0663012755808268
4,17,0.0385472986863533,0.0385472986863533
4,18,0.0187947435392744,0.0187947435392744
4,19,0.00615543171988975,0.00615543171988975
5,1,0.692013557568316,0.692013557568316
5,2,0.824293699963619,0.824293699963619
5,3,0.952826439970522,0.952826439970522
5,4,-25.6123689368337,25.6123689368337
5,5,60.9549204000359,60.9549204000359
5,6,-25.5847821151178,25.5847821151178
5,7,0.997356153220608,0.997356153220608
5,8,0.869116689727889,0.869116689727889
5,9,0.720983450719359,0.720983450719359
5,10,0.57720903612335,0.57720903612335
5,11,0.44964263423708,0.44964263423708
5,12,0.34256011360867,0.34256011360867
5,13,0.256816434784923,0.256816434784923
5,14,0.186090964859886,0.186090964859886
5,15,0.128817490008259,0.128817490008259
5,16,0.0831706259418752,0.0831706259418752
5,17,0.04835492006805,0.04835492006805
5,18,0.0235777619650435,0.0235777619650435
5,19,0.00772200081655683,0.00772200081655683
6,1,0.577234082754785,0.577234082754785
6,2,0.705445835080809,0.705445835080809
6,3,0.846862846515251,0.846862846515251
6,4,0.98046566421317,0.98046566421317
6,5,-25.5847821151178,25.5847821151178
6,6,60.8129042234395,60.8129042234395
6,7,-25.5697711892822,25.5697711892822
6,8,1.0034252539981,1.0034252539981
6,9,0.867108695956631,0.867108695956631
6,10,0.713570713628542,0.713570713628542
6,11,0.565975177835298,0.565975177835298
6,12,0.435259472908456,0.435259472908456
6,13,0.324684457098101,0.324684457098101
6,14,0.234778241292588,0.234778241292588
6,15,0.162322244534607,0.162322244534607
6,16,0.104741459949764,0.104741459949764
6,17,0.0608824990422363,0.0608824990422363
6,18,0.0296848767789015,0.0296848767789015
6,19,0.00972271152477333,0.00972271152477333
7,1,0.468466154757152,0.468466154757152
7,2,0.581523984521937,0.581523984521937
7,3,0.716316783666571,0.716316783666571
7,4,0.862282512059664,0.862282512059664
7,5,0.997356153220608,0.997356153220608
7,6,-25.5697711892822,25.5697711892822
7,7,60.689945513559,60.689945513559
7,8,-25.5664737380812,25.5664737380812
7,9,0.999279947677678,0.999279947677678
7,10,0.857225224137892,0.857225224137892
7,11,0.699753321953267,0.699753321953267
7,12,0.548796919019878,0.548796919019878
7,13,0.413932355058932,0.413932355058932
7,14,0.29819791080854,0.29819791080854
7,15,0.205798578178928,0.205798578178928
7,16,0.132650157524949,0.132650157524949
7,17,0.0770622676782295,0.0770622676782295
7,18,0.037564973354165,0.037564973354165
7,19,0.0123028698340022,0.0123028698340022
8,1,0.373790243202166,0.373790243202166
8,2,0.467096938905343,0.467096938905343
8,3,0.584393866631672,0.584393866631672
8,4,0.722001480824019,0.722001480824019
8,5,0.869116689727889,0.869116689727889
8,6,1.0034252539981,1.0034252539981
8,7,-25.5664737380812,25.5664737380812
8,8,60.5815138499111,60.5815138499111
8,9,-25.5740379984104,25.5740379984104
8,10,0.985878756409875,0.985878756409875
8,11,0.839343528014069,0.839343528014069
8,12,0.678398492937049,0.678398492937049
8,13,0.522838661254355,0.522838661254355
8,14,0.381664122528491,0.381664122528491
8,15,0.262764743297339,0.262764743297339
8,16,0.169130487392977,0.169130487392977
8,17,0.0981692949153512,0.0981692949153512
8,18,0.0478324935215824,0.0478324935215824
8,19,0.0156624935243599,0.0156624935243599
9,1,0.297308133667684,0.297308133667684
9,2,0.368803299011233,0.368803299011233
9,3,0.464572380565187,0.464572380565187
9,4,0.583207970805688,0.583207970805688
9,5,0.720983450719359,0.720983450719359
9,6,0.867108695956631,0.867108695956631
9,7,0.999279947677678,0.999279947677678
9,8,-25.5740379984104,25.5740379984104
9,9,60.4888420241423,60.4888420241423
9,10,-25.5920223679595,25.5920223679595
9,11,0.962522506142705,0.962522506142705
9,12,0.811501088548994,0.811501088548994
9,13,0.645501962992512,0.645501962992512
9,14,0.48257629003956,0.48257629003956
9,15,0.337586847365401,0.337586847365401
9,16,0.217029594296037,0.217029594296037
9,17,0.12585452680014,0.12585452680014
9,18,0.061286264951832,0.061286264951832
9,19,0.0200621741441864,0.0200621741441864
10,1,0.234597763437705,0.234597763437705
10,2,0.290346058307023,0.290346058307023
10,3,0.363093555222349,0.363093555222349
10,4,0.45914383406398,0.45914383406398
10,5,0.57720903612335,0.57720903612335
10,6,0.713570713628542,0.713570713628542
10,7,0.857225224137892,0.857225224137892
10,8,0.985878756409875,0.985878756409875
10,9,-25.5920223679595,25.5920223679595
10,10,60.4089798628138,60.4089798628138
10,11,-25.6221035499493,25.6221035499493
10,12,0.926002918788527,0.926002918788527
10,13,0.768222818692266,0.768222818692266
10,14,0.593623639133511,0.593623639133511
10,15,0.426511093110093,0.426511093110093
10,16,0.279618816989569,0.279618816989569
10,17,0.162117785862392,0.162117785862392
10,18,0.0789086129771022,0.0789086129771022
10,19,0.025824320459833,0.025824320459833
11,1,0.183132087272497,0.183132087272497
11,2,0.226410890036277,0.226410890036277
11,3,0.282473777701853,0.282473777701853
11,4,0.354762974552614,0.354762974552614
11,5,0.44964263423708,0.44964263423708
11,6,0.565975177835298,0.565975177835298
11,7,0.699753321953267,0.699753321953267
11,8,0.839343528014069,0.839343528014069
11,9,0.962522506142705,0.962522506142705
11,10,-25.6221035499493,25.6221035499493
11,11,60.343114682837,60.343114682837
11,12,-25.6692109346091,25.6692109346091
11,13,0.868983107693566,0.868983107693566
11,14,0.699822066962952,0.699822066962952
11,15,0.520714316110116,0.520714316110116
11,16,0.35181919599836,0.35181919599836
11,17,0.209089989766653,0.209089989766653
11,18,0.101823260933998,0.101823260933998
11,19,0.0333223226789414,0.0333223226789414
12,1,0.140902400858067,0.140902400858067
12,2,0.17414905073565,0.17414905073565
12,3,0.217021600690259,0.217021600690259
12,4,0.271920441718976,0.271920441718976
12,5,0.34256011360867,0.34256011360867
12,6,0.435259472908456,0.435259472908456
12,7,0.548796919019878,0.548796919019878
12,8,0.678398492937049,0.678398492937049
12,9,0.811501088548994,0.811501088548994
12,10,0.926002918788527,0.926002918788527
12,11,-25.6692109346091,25.6692109346091
12,12,60.2911704561393,60.2911704561393
12,13,-25.7431048922285,25.7431048922285
12,14,0.778988251681767,0.778988251681767
12,15,0.603862915227182,0.603862915227182
12,16,0.423290913431629,0.423290913431629
12,17,0.260363286486154,0.260363286486154
12,18,0.131161748129216,0.131161748129216
12,19,0.0429610125252111,0.0429610125252111
13,1,0.106041220249153,0.106041220249153
13,2,0.131066535402624,0.131066535402624
13,3,0.163269930908427,0.163269930908427
13,4,0.204321892738335,0.204321892738335
13,5,0.256816434784923,0.256816434784923
13,6,0.324684457098101,0.324684457098101
13,7,0.413932355058932,0.413932355058932
13,8,0.522838661254355,0.522838661254355
13,9,0.645501962992512,0.645501962992512
13,10,0.768222818692266,0.768222818692266
13,11,0.868983107693566,0.868983107693566
13,12,-25.7431048922285,25.7431048922285
13,13,60.2539330429863,60.2539330429863
13,14,-25.8594118562883,25.8594118562883
13,15,0.653629150804136,0.653629150804136
13,16,0.476630290791036,0.476630290791036
13,17,0.304390468386373,0.304390468386373
13,18,0.159440460834048,0.159440460834048
13,19,0.0551457546293932,0.0551457546293932
14,1,0.0769640351450107,0.0769640351450107
14,2,0.0951391854187023,0.0951391854187023
14,3,0.118511422897427,0.118511422897427
14,4,0.148238044062055,0.148238044062055
14,5,0.186090964859886,0.186090964859886
14,6,0.234778241292588,0.234778241292588
14,7,0.29819791080854,0.29819791080854
14,8,0.381664122528491,0.381664122528491
14,9,0.48257629003956,0.48257629003956
14,10,0.593623639133511,0.593623639133511
14,11,0.699822066962952,0.699822066962952
14,12,0.778988251681767,0.778988251681767
14,13,-25.8594118562883,25.8594118562883
14,14,60.2278255712463,60.2278255712463
14,15,-26.0202741131366,26.0202741131366
14,16,0.489159823757745,0.489159823757745
14,17,0.322853210832363,0.322853210832363
14,18,0.174135728059355,0.174135728059355
14,19,0.0615525408420581,0.0615525408420581
15,1,0.0533015409587279,0.0533015409587279
15,2,0.0658955556787078,0.0658955556787078
15,3,0.0820913115262556,0.0820913115262556
15,4,0.102671826596179,0.102671826596179
15,5,0.128817490008259,0.128817490008259
15,6,0.162322244534607,0.162322244534607
15,7,0.205798578178928,0.205798578178928
15,8,0.262764743297339,0.262764743297339
15,9,0.337586847365401,0.337586847365401
15,10,0.426511093110093,0.426511093110093
15,11,0.520714316110116,0.520714316110116
15,12,0.603862915227182,0.603862915227182
15,13,0.653629150804136,0.653629150804136
