year,log_rec_dev,ar1_rho,innovation
1,-0.00979634,0.6,-0.00979634
2,0.00404492,0.6,0.00992273
3,0.0260044,0.6,0.0235774
4,0.0504067,0.6,0.0348041
5,0.0738874,0.6,0.0436434
6,0.0947748,0.6,0.0504424
7,0.112447,0.6,0.0555826
8,0.12662,0.6,0.0591512
9,0.137056,0.6,0.0610843
10,0.143527,0.6,0.0612938
11,0.145654,0.6,0.0595377
12,0.142964,0.6,0.0555711
13,0.135031,0.6,0.049253
14,0.121863,0.6,0.0408444
15,0.10449,0.6,0.0313726
16,0.0844772,0.6,0.0217829
17,0.0638514,0.6,0.0131651
18,0.0446927,0.6,0.0063819
19,0.0287653,0.6,0.00194966
20,0.0172592,0.6,-7.49061e-19
