threshold_type,threshold,absolute_threshold,kept_entries,total_entries,kept_entry_share,retained_abs_share,relative_frobenius_error,min_eigenvalue,max_eigenvalue,positive_definite,condition_number_abs
absolute,0.1,0.1,274,400,0.685,0.998353992193224,0.00151175910525125,10.1833420949015,112.23826925338,yes,11.0217518185483
absolute,0.01,0.01,350,400,0.875,0.999959980695351,8.39491870429254e-05,10.219403074646,112.239388437245,yes,10.9829691242639
absolute,0.001,0.001,364,400,0.91,1,0,10.2183884027573,112.239031834401,yes,10.9840248198155
absolute,0.0001,0.0001,364,400,0.91,1,0,10.2183884027573,112.239031834401,yes,10.9840248198155
absolute,1e-05,1e-05,364,400,0.91,1,0,10.2183884027573,112.239031834401,yes,10.9840248198155
absolute,1e-06,1e-06,364,400,0.91,1,0,10.2183884027573,112.239031834401,yes,10.9840248198155
relative_to_max_abs,0.1,6.15960537686533,58,400,0.145,0.953689798960509,0.0258896620352103,8.91212659187872,111.422337813405,yes,12.5023288958821
relative_to_max_abs,0.01,0.615960537686533,124,400,0.31,0.977688240239404,0.0138562252503606,9.5256924072608,112.511858917748,yes,11.8114100379714
relative_to_max_abs,0.001,0.0615960537686533,296,400,0.74,0.999103181317721,0.000938754163576224,10.2026184442977,112.245968787763,yes,11.0016824995056
relative_to_max_abs,0.0001,0.00615960537686533,356,400,0.89,0.999983945823235,4.28629954413478e-05,10.2186348893211,112.239157814569,yes,10.9837721995395
relative_to_max_abs,1e-05,0.000615960537686533,364,400,0.91,1,0,10.2183884027573,112.239031834401,yes,10.9840248198155
