field,value
objective,2260.55791604
joint_objective,2241.24077093
laplace_logdet,75.391831553
laplace_constant,18.3787706641
grad_norm,0.0439036247992
iterations,175
converged,no
message,stopped before requested fixed-effect gradient tolerance; L-BFGS line search stalled; recovered with gradient restart. attempts=1
laplace,yes
random_effects,20
log_r0,6.43524497263
r0,623.43528874
log_fbar,-0.51048039454
fbar,0.600207173295
log_q,-8.29318020423
q,0.000250217453485
logit_sel_a50,-9.35843848505
sel_a50,1.00077604493
log_sel_slope,0.383096481257
sel_slope,1.46681954383
