year,recruitment,total_biomass,ssb_proxy,fbar
2001,27096.2554879,75828.0245461,40098.5482311,0.0595297583319
2002,27437.3076755,74887.6074128,39280.4030463,0.0595297583319
2003,27690.175754,74531.5135799,38514.4602929,0.0595297583319
2004,27881.5173552,74550.3994831,37992.5953823,0.0595297583319
2005,28024.5339216,74810.6817164,37805.5786953,0.0595297583319
2006,28169.4510075,75199.5167142,37869.8668433,0.0595297583319
2007,28307.6687699,75649.9557112,38073.365804,0.0595297583319
2008,28466.3232197,76116.9062435,38335.231717,0.0595297583319
2009,28686.9355844,76582.0340747,38600.045665,0.0595297583319
2010,29156.3273657,77064.6351383,38853.1148209,0.0595297583319
2011,30164.6485367,77670.0148694,39096.9736047,0.0595297583319
2012,30138.2754603,78635.4290848,39352.8245567,0.0595297583319
2013,28432.6931871,79589.7821059,39686.1845496,0.0595297583319
2014,27922.3390872,79721.552879,40132.5957913,0.0595297583319
2015,28660.5691221,79320.2294564,40543.8776804,0.0595297583319
2016,29461.6198582,79065.53183,40685.8691484,0.0595297583319
2017,29195.8909151,79201.9118103,40548.4067514,0.0595297583319
2018,23364.3783071,79347.6168098,40369.8508949,0.0595297583319
2019,15995.2543033,77145.8933564,40321.2140635,0.0595297583319
2020,25636.3690426,71419.7039061,40094.072947,0.0595297583319
