quantity,value,note
R0,2247.69,estimated unfished recruitment scale
Fbar,0.053401,estimated fully selected fishing mortality proxy
q,1.82364e-05,catchability estimate
selectivity_a50,1.0001,estimated logistic selectivity age at 50 percent selected
selectivity_slope,0.542824,estimated logistic selectivity slope
SPR0_proxy,13.2039,unfished spawning output per recruit proxy
SPR_current_proxy,8.97814,spawning output per recruit proxy at estimated Fbar
SPR_ratio,0.679963,SPR_current_proxy divided by SPR0_proxy
F40_proxy,0.144489,Fbar value giving 40 percent SPR proxy under fitted selectivity
Fbar_over_F40_proxy,0.369586,estimated Fbar relative to F40 proxy
SSB0_proxy,29678.2,R0 multiplied by SPR0_proxy
SSB40_proxy,11871.3,40 percent of SSB0_proxy
terminal_biomass,25213.8,terminal deterministic total biomass from fitted trajectory
terminal_SSB_proxy,20321,terminal deterministic spawning biomass proxy from fitted trajectory
terminal_SSB_over_SSB0_proxy,0.684709,terminal SSB proxy relative to unfished SSB proxy
terminal_SSB_over_SSB40_proxy,1.71177,terminal SSB proxy relative to SSB40 proxy
