field,value
objective,1926.12847351
grad_norm,0.0408693383865
iterations,124
converged,no
message,stopped before requested fixed-effect gradient tolerance; L-BFGS line search stalled; recovered with gradient restart. attempts=1
random_effects,20
log_r0,7.47488657877
r0,1763.20169233
log_m_fixed,-1.71479842809
m_fixed,0.18
log_fbar,-2.48054526332
fbar,0.0836975759296
log_q_longline_fixed,-9.90348755254
q_longline_fixed,5e-05
log_q_purse_seine,-11.5364173026
q_purse_seine,9.76781947528e-06
logit_sel_a50_longline,0.489588298615
sel_a50_longline,6.58008497101
log_sel_slope_longline,0.950172186043
sel_slope_longline,2.58615492076
init_log_number_dev_age_1,0.0145364922598
init_number_multiplier_age_1,1.01464266088
init_log_number_dev_age_2,0.150330582295
init_number_multiplier_age_2,1.16221838805
init_log_number_dev_age_3,0.0646736882495
init_number_multiplier_age_3,1.06681085466
init_log_number_dev_age_4,-0.065158782212
init_number_multiplier_age_4,0.936918685545
init_log_number_dev_age_5,-0.0888365361276
init_number_multiplier_age_5,0.914995129998
init_log_number_dev_age_6,-0.100723561516
init_number_multiplier_age_6,0.904182949305
init_log_number_dev_age_7,-0.121204499744
init_number_multiplier_age_7,0.8858527844
init_log_number_dev_age_8,-0.161451167881
init_number_multiplier_age_8,0.850908082096
init_log_number_dev_age_9,-0.526769825895
init_number_multiplier_age_9,0.590509340278
init_log_number_dev_age_10,-1.22144747117
init_number_multiplier_age_10,0.294803138899
