field,value
objective,1949.47444171
grad_norm,0.118813697346
iterations,171
converged,no
message,stopped before requested fixed-effect gradient tolerance; L-BFGS line search stalled; recovered with gradient restart. attempts=1
random_effects,20
log_r0,5.02105679286
r0,151.571398758
log_m_fixed,-1.71479842809
m_fixed,0.18
log_fbar,-1.46330800844
fbar,0.231469304444
log_q_longline_fixed,-9.90348755254
q_longline_fixed,5e-05
log_q_purse_seine,-9.6829461979
q_purse_seine,6.23375741312e-05
logit_sel_a50_longline,0.246249498208
sel_a50_longline,6.051278443
log_sel_slope_longline,1.01468181887
sel_slope_longline,2.75848555968
init_log_number_dev_age_1,0.137648817673
init_number_multiplier_age_1,1.14757247233
init_log_number_dev_age_2,0.154325062396
init_number_multiplier_age_2,1.16687013074
init_log_number_dev_age_3,-0.0318915942859
init_number_multiplier_age_3,0.968611579418
init_log_number_dev_age_4,-0.253529583265
init_number_multiplier_age_4,0.776056786292
init_log_number_dev_age_5,-0.331948090748
init_number_multiplier_age_5,0.717524568051
init_log_number_dev_age_6,-0.34126301142
init_number_multiplier_age_6,0.710871916185
init_log_number_dev_age_7,-0.351969739478
init_number_multiplier_age_7,0.703301403922
init_log_number_dev_age_8,-0.584011911462
init_number_multiplier_age_8,0.557656603775
init_log_number_dev_age_9,-1.13990122487
init_number_multiplier_age_9,0.319850613541
init_log_number_dev_age_10,-2.50065112702
init_number_multiplier_age_10,0.0820315682601
