section,metric,target,value,extra
summary,r0,,625.313874316648,
summary,m_fixed,,0.45,
summary,equilibrium_total_n,,1725.61383318048,
summary,fitted_total_n,,1738.92666863096,
summary,fitted_over_equilibrium_n,,1.0077148404785,
summary,equilibrium_biomass,,40291.1197877031,
summary,fitted_biomass,,32518.4963236473,
summary,fitted_over_equilibrium_bio,,0.807088422833361,
summary,equilibrium_ssb_proxy,,18944.7396881053,
summary,fitted_ssb_proxy,,11957.5773320337,
summary,fitted_over_equilibrium_ssb,,0.631181928540375,
summary,equilibrium_plus_n_share,,0.0174223746394935,
summary,fitted_plus_n_share,,0.00318142575907193,
summary,equilibrium_plus_bio_share,,0.0955106045184708,
summary,fitted_plus_bio_share,,0.0217762240090163,
age,equilibrium_n,age_1,625.313874316648,
age,init_log_dev,age_1,0.0707942183745211,
age,multiplier,age_1,1.07336032530803,
age,fitted_n,age_1,671.187103556143,
age,equilibrium_biomass,age_1,1875.94162294994,
age,fitted_biomass,age_1,2013.56131066843,
age,equilibrium_n_share,age_1,0.362371848378227,
age,fitted_n_share,age_1,0.385977807841985,
age,equilibrium_biomass_share,age_1,0.0465596794736513,
age,fitted_biomass_share,age_1,0.0619204925906792,
age,weight,age_1,3,
age,maturity,age_1,0,
age,equilibrium_n,age_2,398.717729863974,
age,init_log_dev,age_2,0.156889316495372,
age,multiplier,age_2,1.16986612185242,
age,fitted_n,age_2,466.446364349767,
age,equilibrium_biomass,age_2,3987.17729863974,
age,fitted_biomass,age_2,4664.46364349767,
age,equilibrium_n_share,age_2,0.231058491881174,
age,fitted_n_share,age_2,0.268238087760766,
age,equilibrium_biomass_share,age_2,0.0989592078762883,
age,fitted_biomass_share,age_2,0.143440323841349,
age,weight,age_2,10,
age,maturity,age_2,0,
age,equilibrium_n,age_3,254.233649111995,
age,init_log_dev,age_3,0.024363315247136,
age,multiplier,age_3,1.02466252579091,
age,fitted_n,age_3,260.503693040138,
age,equilibrium_biomass,age_3,5593.1402804639,
age,fitted_biomass,age_3,5731.08124688304,
