metric,target,value,extra
random_effects,,20,
total_entries,,400,
structural_nonzeros,,362,
structural_density,,0.905,
positive_definite,,yes,
min_eigenvalue,,8.16326064523309,
max_eigenvalue,,129.739005282309,
condition_number,,15.8930372213546,
effective_sparsity_entries,90%,160,compression_vs_structural=2.2625
effective_sparsity_entries,95%,196,compression_vs_structural=1.8469387755102
effective_sparsity_entries,97%,218,compression_vs_structural=1.6605504587156
effective_sparsity_entries,98%,235,compression_vs_structural=1.54042553191489
effective_sparsity_entries,99%,259,compression_vs_structural=1.3976833976834
effective_sparsity_entries,99.5%,280,compression_vs_structural=1.29285714285714
effective_sparsity_entries,99.9%,315,compression_vs_structural=1.14920634920635
effective_sparsity_entries,100%,362,compression_vs_structural=1
effective_bandwidth,90%,4,
effective_bandwidth,95%,6,
effective_bandwidth,97%,7,
effective_bandwidth,98%,7,
effective_bandwidth,99%,8,
effective_bandwidth,99.5%,9,
effective_bandwidth,99.9%,12,
effective_bandwidth,100%,19,
