field,value
objective,2102.60268253
joint_objective,2083.14598641
laplace_logdet,75.6709335737
laplace_constant,18.3787706641
grad_norm,0.0154990804177
iterations,152
converged,no
message,stopped before requested fixed-effect gradient tolerance; L-BFGS line search stalled; recovered with gradient restart. attempts=2
laplace,yes
random_effects,20
log_r0,7.09524541116
r0,1206.21834662
log_fbar,-1.4859940327
fbar,0.226277301809
log_q,-9.87425982329
q,5.14829525631e-05
logit_sel_a50,-9.55757886247
sel_a50,1.00063592817
log_sel_slope,0.145075358026
sel_slope,1.15612669041
