section,metric,target,value,extra
optimization,objective_value,,2102.60268253494,
optimization,gradient_norm,,0.0154990804176706,
optimization,max_gradient_parameter,,logit_sel_a50_longline,
optimization,max_gradient_value,,-0.0101474760614262,
optimization,max_abs_gradient,,0.0101474760614262,
optimization,iterations,,152,
optimization,converged,,no,
optimization,message,,stopped before requested fixed-effect gradient tolerance; L-BFGS line search stalled; recovered with gradient restart. attempts=2,
curvature,positive_definite,,yes,
curvature,min_eigenvalue,,8.16326064523309,
curvature,max_eigenvalue,,117.396161413761,
curvature,condition_number_abs,,14.381037984168,
spectral_structure,available,,yes,
spectral_structure,largest_eigen_share,,0.115559564846165,
spectral_structure,effective_rank_entropy,,17.8371434304657,
spectral_structure,eigen_count_for_50%,,8,
spectral_structure,eigen_count_for_90%,,16,
spectral_structure,eigen_count_for_95%,,17,
spectral_structure,eigen_count_for_99%,,19,
huu_structure,random_effects,,20,
huu_structure,total_entries,,400,
huu_structure,structural_nonzeros,,362,
huu_structure,structural_density,,0.905,
effective_sparsity,entries_required,90%,166,compression_vs_structural=2.18072289156627
effective_sparsity,entries_required,95%,209,compression_vs_structural=1.73205741626794
effective_sparsity,entries_required,97%,236,compression_vs_structural=1.53389830508475
effective_sparsity,entries_required,98%,254,compression_vs_structural=1.4251968503937
effective_sparsity,entries_required,99%,280,compression_vs_structural=1.29285714285714
effective_sparsity,entries_required,99.5%,303,compression_vs_structural=1.19471947194719
effective_sparsity,entries_required,99.9%,334,compression_vs_structural=1.08383233532934
effective_sparsity,entries_required,100%,362,compression_vs_structural=1
effective_bandwidth,bandwidth,90%,5,entry_count_if_banded=190
effective_bandwidth,bandwidth,95%,7,entry_count_if_banded=244
effective_bandwidth,bandwidth,97%,8,entry_count_if_banded=268
effective_bandwidth,bandwidth,98%,9,entry_count_if_banded=290
effective_bandwidth,bandwidth,99%,10,entry_count_if_banded=310
effective_bandwidth,bandwidth,99.5%,11,entry_count_if_banded=328
effective_bandwidth,bandwidth,99.9%,14,entry_count_if_banded=370
effective_bandwidth,bandwidth,100%,19,entry_count_if_banded=400
uncertainty,covariance_available,,yes,
uncertainty,correlation_available,,yes,
uncertainty,min_variance,,0.0154006674525781,index=0
uncertainty,max_variance,,0.122500069942511,index=19
uncertainty,max_abs_correlation,,0.106305934762423,pair=17;18
uncertainty,count_abs_corr_gt_0_5,,0,
uncertainty,count_abs_corr_gt_0_8,,0,
uncertainty,count_abs_corr_gt_0_9,,0,
parameter_influence,importance,log_rec_dev_10,13.8439538645004,index=9;sd=0.126702332036748;variance=0.0160534809435504;variance_share=0.0279963604079233;correlation_centrality=0.630294375935218;curvature_column_norm=67.0207841075844;importance_share=0.0644748022157453
parameter_influence,importance,log_rec_dev_9,13.7563368991414,index=8;sd=0.126478351013224;variance=0.0159967732750242;variance_share=0.0278974654497809;correlation_centrality=0.615613301436494;curvature_column_norm=67.3207876428137;importance_share=0.0640667477995315
parameter_influence,importance,log_rec_dev_11,13.7412124329509,index=10;sd=0.127051439000631;variance=0.016142068152131;variance_share=0.0281508514761019;correlation_centrality=0.626749389388333;curvature_column_norm=66.4851745033622;importance_share=0.0639963093268386
parameter_influence,importance,log_rec_dev_8,13.5841055254048,index=7;sd=0.126238895033611;variance=0.0159362586193072;variance_share=0.0277919313218635;correlation_centrality=0.59247441121164;curvature_column_norm=67.571786245883;importance_share=0.0632646226360344
parameter_influence,importance,log_rec_dev_7,13.3786859009348,index=6;sd=0.125957129102639;variance=0.015865198371779;variance_share=0.0276680062798449;correlation_centrality=0.565989496981312;curvature_column_norm=67.8268829944033;importance_share=0.0623079313765453
parameter_influence,importance,log_rec_dev_6,13.1960267922113,index=5;sd=0.125610302121406;variance=0.015777947999031;variance_share=0.0275158465775493;correlation_centrality=0.54239615732513;curvature_column_norm=68.1117429559186;importance_share=0.0614572416080643
parameter_influence,importance,log_rec_dev_5,13.0019782810347,index=4;sd=0.125194981940724;variance=0.0156737835031382;variance_share=0.0273341896036519;correlation_centrality=0.518306017217153;curvature_column_norm=68.4011181547921;importance_share=0.0605535085054531
parameter_influence,importance,log_rec_dev_12,12.7661537130811,index=11;sd=0.132180015871755;variance=0.0174715565958575;variance_share=0.0304694039295927;correlation_centrality=0.581757170461616;curvature_column_norm=61.059670695461;importance_share=0.0594552137173285
parameter_influence,importance,log_rec_dev_4,12.7658238259088,index=3;sd=0.124785627836696;variance=0.0155714529145984;variance_share=0.0271557308601814;correlation_centrality=0.490562731898246;curvature_column_norm=68.6331638975072;importance_share=0.0594536773491493
parameter_influence,importance,log_rec_dev_3,12.4935163083902,index=2;sd=0.124444662499696;variance=0.0154864740246634;variance_share=0.0270075324951008;correlation_centrality=0.46015410200288;curvature_column_norm=68.7558603758409;importance_share=0.0581854722174572
parameter_influence,importance,log_rec_dev_2,12.1465799379259,index=1;sd=0.124130404326702;variance=0.0154083572783106;variance_share=0.0268713013192906;correlation_centrality=0.423572447181425;curvature_column_norm=68.7379014125069;importance_share=0.0565697016011961
parameter_influence,importance,log_rec_dev_1,11.7281392852387,index=0;sd=0.124099425673845;variance=0.0154006674525781;variance_share=0.0268578906992862;correlation_centrality=0.382697590588179;curvature_column_norm=68.3489956756328;importance_share=0.0546209174182167
parameter_influence,importance,log_rec_dev_13,10.7438493289306,index=12;sd=0.144988984050931;variance=0.021021805496121;variance_share=0.0366608366848385;correlation_centrality=0.477571131916684;curvature_column_norm=50.1506429228918;importance_share=0.0500368296007439
parameter_influence,importance,log_rec_dev_14,8.81811483828743,index=13;sd=0.161189807819043;variance=0.0259821541447399;variance_share=0.0453114034375577;correlation_centrality=0.366120314244056;curvature_column_norm=40.0450853372855;importance_share=0.0410681959560855
parameter_influence,importance,log_rec_dev_16,8.21711833459817,index=15;sd=0.1740078692247;variance=0.0302787385521204;variance_share=0.0528044029941689;correlation_centrality=0.378272057920681;curvature_column_norm=34.2622358753261;importance_share=0.0382692029020071
parameter_influence,importance,log_rec_dev_17,8.20689825003116,index=16;sd=0.184262392451056;variance=0.0339526292717871;variance_share=0.0592114600709978;correlation_centrality=0.449877884843555;curvature_column_norm=30.7192718858524;importance_share=0.0382216053776628
parameter_influence,importance,log_rec_dev_15,7.89814838797595,index=14;sd=0.170652918765187;variance=0.0291224186830777;variance_share=0.0507878467149172;correlation_centrality=0.302156505050269;curvature_column_norm=35.5425336600534;importance_share=0.0367836790103123
parameter_influence,importance,log_rec_dev_18,6.72599331852222,index=17;sd=0.21676134297154;variance=0.0469854798068255;variance_share=0.0819400123397892;correlation_centrality=0.402800348148168;curvature_column_norm=22.1196745831344;importance_share=0.0313246557421833
parameter_influence,importance,log_rec_dev_19,4.84904913908171,index=18;sd=0.269788482804646;variance=0.0727858254540327;variance_share=0.12693435206761;correlation_centrality=0.273806649606843;curvature_column_norm=14.1100862243962;importance_share=0.0225832509438232
parameter_influence,importance,log_rec_dev_20,2.8571420414871,index=19;sd=0.350000099917858;variance=0.122500069942511;variance_share=0.213633175269953;correlation_centrality=0;curvature_column_norm=8.16326064523309;importance_share=0.0133064346956215
parameter_influence,correlation_pair,log_rec_dev_18__log_rec_dev_19,0.106305934762423,i=17;j=18;abs_correlation=0.106305934762423
parameter_influence,correlation_pair,log_rec_dev_17__log_rec_dev_18,0.0883470031679407,i=16;j=17;abs_correlation=0.0883470031679407
parameter_influence,correlation_pair,log_rec_dev_1__log_rec_dev_2,-0.0680992883458214,i=0;j=1;abs_correlation=0.0680992883458214
parameter_influence,correlation_pair,log_rec_dev_1__log_rec_dev_3,-0.0674620138002265,i=0;j=2;abs_correlation=0.0674620138002265
parameter_influence,correlation_pair,log_rec_dev_17__log_rec_dev_19,0.0604863357138373,i=16;j=18;abs_correlation=0.0604863357138373
