section,metric,target,value,extra
summary,r0,,90.417312597193,
summary,m_fixed,,0.18,
summary,equilibrium_total_n,,548.882587489583,
summary,fitted_total_n,,392.648443976316,
summary,fitted_over_equilibrium_n,,0.715359628681549,
summary,equilibrium_biomass,,31169.3300304872,
summary,fitted_biomass,,12111.2914145595,
summary,fitted_over_equilibrium_bio,,0.388564380521277,
summary,equilibrium_ssb_proxy,,24561.1679843306,
summary,fitted_ssb_proxy,,6685.7359630728,
summary,fitted_over_equilibrium_ssb,,0.272207574466252,
summary,equilibrium_plus_n_share,,0.197898699083615,
summary,fitted_plus_n_share,,0.0153030389293871,
summary,equilibrium_plus_bio_share,,0.446071929944327,
summary,fitted_plus_bio_share,,0.063503999690175,
age,equilibrium_n,age_1,90.417312597193,
age,init_log_dev,age_1,0.153596917735564,
age,multiplier,age_1,1.16602078974061,
age,fitted_n,age_1,105.428466240802,
age,equilibrium_biomass,age_1,271.251937791579,
age,fitted_biomass,age_1,316.285398722407,
age,equilibrium_n_share,age_1,0.164729788588728,
age,fitted_n_share,age_1,0.268506008003337,
age,equilibrium_biomass_share,age_1,0.00870252705227425,
age,fitted_biomass_share,age_1,0.0261149193670781,
age,weight,age_1,3,
age,maturity,age_1,0,
age,equilibrium_n,age_2,75.5228878082965,
age,init_log_dev,age_2,0.141911874406141,
age,multiplier,age_2,1.15247508151078,
age,fitted_n,age_2,87.0382462827958,
age,equilibrium_biomass,age_2,755.228878082965,
age,fitted_biomass,age_2,870.382462827958,
age,equilibrium_n_share,age_2,0.137593885340241,
age,fitted_n_share,age_2,0.221669657980475,
age,equilibrium_biomass_share,age_2,0.0242298720358847,
age,fitted_biomass_share,age_2,0.0718653719934139,
age,weight,age_2,10,
age,maturity,age_2,0,
age,equilibrium_n,age_3,63.0820184660256,
age,init_log_dev,age_3,-0.0633961040713582,
age,multiplier,age_3,0.938571628006086,
age,fitted_n,age_3,59.2069927695676,
age,equilibrium_biomass,age_3,1387.80440625256,
age,fitted_biomass,age_3,1302.55384093049,
age,equilibrium_n_share,age_3,0.114928073697041,
age,fitted_n_share,age_3,0.150788812939085,
age,equilibrium_biomass_share,age_3,0.0445246787433393,
age,fitted_biomass_share,age_3,0.107548716015918,
age,weight,age_3,22,
age,maturity,age_3,0.05,
age,equilibrium_n,age_4,52.690530900367,
age,init_log_dev,age_4,-0.293925542394765,
age,multiplier,age_4,0.745331985012013,
age,fitted_n,age_4,39.2719379873073,
age,equilibrium_biomass,age_4,2002.24017421394,
age,fitted_biomass,age_4,1492.33364351768,
age,equilibrium_n_share,age_4,0.095995996414018,
age,fitted_n_share,age_4,0.100018066007352,
age,equilibrium_biomass_share,age_4,0.0642375107920357,
age,fitted_biomass_share,age_4,0.123218374691544,
age,weight,age_4,38,
age,maturity,age_4,0.2,
age,equilibrium_n,age_5,44.0108308845217,
age,init_log_dev,age_5,-0.371838648994487,
age,multiplier,age_5,0.689465479498266,
age,fitted_n,age_5,30.3439486189138,
age,equilibrium_biomass,age_5,2420.59569864869,
age,fitted_biomass,age_5,1668.91717404026,
age,equilibrium_n_share,age_5,0.0801825962193725,
age,fitted_n_share,age_5,0.0772801957690787,
age,equilibrium_biomass_share,age_5,0.0776595357128648,
age,fitted_biomass_share,age_5,0.13779844914259,
age,weight,age_5,55,
age,maturity,age_5,0.45,
age,equilibrium_n,age_6,36.7609360173002,
age,init_log_dev,age_6,-0.370356993422913,
age,multiplier,age_6,0.690487787034178,
age,fitted_n,age_6,25.3829773598906,
age,equilibrium_biomass,age_6,2646.78739324561,
age,fitted_biomass,age_6,1827.57436991212,
age,equilibrium_n_share,age_6,0.06697413409566,
age,fitted_n_share,age_6,0.0646455569843584,
age,equilibrium_biomass_share,age_6,0.084916403100636,
age,fitted_biomass_share,age_6,0.150898389556965,
age,weight,age_6,72,
age,maturity,age_6,0.7,
age,equilibrium_n,age_7,30.7053147988465,
age,init_log_dev,age_7,-0.390007940024183,
age,multiplier,age_7,0.67705149867155,
age,fitted_n,age_7,20.7890794017408,
age,equilibrium_biomass,age_7,2702.0677022985,
age,fitted_biomass,age_7,1829.43898735319,
age,equilibrium_n_share,age_7,0.0559414991451688,
age,fitted_n_share,age_7,0.0529457832334992,
age,equilibrium_biomass_share,age_7,0.0866899512968537,
age,fitted_biomass_share,age_7,0.151052346503193,
age,weight,age_7,88,
age,maturity,age_7,0.85,
age,equilibrium_n,age_8,25.6472347834822,
age,init_log_dev,age_8,-0.668955002642641,
age,multiplier,age_8,0.512243591393283,
age,fitted_n,age_8,13.1376316547977,
age,equilibrium_biomass,age_8,2616.01794791519,
age,fitted_biomass,age_8,1340.03842878936,
age,equilibrium_n_share,age_8,0.0467262678176486,
age,fitted_n_share,age_8,0.0334590187643532,
age,equilibrium_biomass_share,age_8,0.0839292325294261,
age,fitted_biomass_share,age_8,0.110643727652234,
age,weight,age_8,102,
age,maturity,age_8,0.95,
age,equilibrium_n,age_9,21.4223712197137,
age,init_log_dev,age_9,-1.26595737396402,
age,multiplier,age_9,0.281969216890823,
age,fitted_n,age_9,6.04044923676719,
age,equilibrium_biomass,age_9,2463.57269026708,
age,fitted_biomass,age_9,694.651662228227,
age,equilibrium_n_share,age_9,0.0390290595985071,
age,fitted_n_share,age_9,0.0153838613890739,
age,equilibrium_biomass_share,age_9,0.0790383587923583,
age,fitted_biomass_share,age_9,0.0573557053868885,
age,weight,age_9,115,
age,maturity,age_9,1,
age,equilibrium_n,age_10,108.623150013837,
age,init_log_dev,age_10,-2.89467373303265,
age,multiplier,age_10,0.0553170702835209,
age,fitted_n,age_10,6.00871442373285,
age,equilibrium_biomass,age_10,13903.7632017711,
age,fitted_biomass,age_10,769.115446237805,
age,equilibrium_n_share,age_10,0.197898699083615,
age,fitted_n_share,age_10,0.0153030389293871,
age,equilibrium_biomass_share,age_10,0.446071929944327,
age,fitted_biomass_share,age_10,0.063503999690175,
age,weight,age_10,128,
age,maturity,age_10,1,
