field,value
objective,115.031861479
joint_objective,110.434318927
laplace_logdet,45.9526264323
laplace_constant,18.3787706641
grad_norm,0.429519963261
iterations,208
converged,no
message,stopped before requested fixed-effect gradient tolerance; L-BFGS line search stalled; recovered with gradient restart. attempts=2
laplace,yes
random_effects,20
log_r0,8.1404849191
r0,3430.58101897
log_fbar,-3.37014042228
fbar,0.0343848086111
log_q,-11.7657028071
q,7.76640787722e-06
logit_sel_a50,-1.28258245161
sel_a50,2.95399858449
log_sel_slope,-0.199120659333
sel_slope,0.819451012955
