year,recruitment,total_biomass,ssb_proxy,depletion,Fbar,catch_obs,catch_hat,catch_log_residual,index_obs,index_hat,index_log_residual
2001,3430.581019,53203.812788,45296.943377,1.000000,0.034385,1100.000000,1434.751440,-0.265681,0.490000,0.413203,0.170468
2002,3430.581019,51746.679972,43920.668739,0.969617,0.034385,1135.000000,1392.197458,-0.204251,0.478500,0.401886,0.174488
2003,3430.581019,50458.671895,42675.299946,0.942123,0.034385,1170.000000,1353.867707,-0.145962,0.467500,0.391883,0.176437
2004,3430.581019,49340.563354,41575.261547,0.917838,0.034385,1210.000000,1320.097465,-0.087085,0.455000,0.383199,0.171743
2005,3430.581019,48386.571436,40627.092687,0.896906,0.034385,1250.000000,1290.991998,-0.032267,0.441500,0.375790,0.161148
2006,3430.581019,47585.274887,39826.998226,0.879243,0.034385,1280.000000,1266.398932,0.010683,0.432000,0.369567,0.156094
2007,3430.581019,46921.275767,39162.999106,0.864584,0.034385,1315.000000,1245.956073,0.053934,0.422000,0.364410,0.146726
2008,3430.581019,46377.004524,38618.727863,0.852568,0.034385,1345.000000,1229.175077,0.090051,0.410500,0.360183,0.130764
2009,3430.581019,45934.352931,38176.076270,0.842796,0.034385,1375.000000,1215.519453,0.123282,0.400500,0.356745,0.115693
2010,3430.581019,45576.130551,37817.853890,0.834888,0.034385,1400.000000,1204.466652,0.150435,0.392000,0.353963,0.102070
2011,3430.581019,45287.000761,37528.724100,0.828505,0.034385,1420.000000,1195.545674,0.172054,0.385500,0.351717,0.091713
2012,3430.581019,45053.637242,37295.360581,0.823353,0.034385,1440.000000,1188.345341,0.192081,0.379500,0.349905,0.081193
2013,3430.581019,44865.284003,37107.007343,0.819195,0.034385,1460.000000,1182.533781,0.210777,0.373500,0.348442,0.069446
2014,3430.581019,44713.259632,36954.982971,0.815838,0.034385,1480.000000,1177.843133,0.228357,0.368500,0.347261,0.059363
2015,3430.581019,44590.557151,36832.280490,0.813129,0.034385,1495.000000,1174.057200,0.241661,0.364500,0.346308,0.051197
2016,3430.581019,44491.521065,36733.244405,0.810943,0.034385,1505.000000,1171.001483,0.250934,0.361500,0.345539,0.045156
2017,3430.581019,44411.586689,36653.310028,0.809178,0.034385,1515.000000,1168.535141,0.259664,0.358500,0.344918,0.038621
2018,3430.581019,44347.069755,36588.793094,0.807754,0.034385,1525.000000,1166.544498,0.267948,0.356500,0.344417,0.034480
2019,3430.581019,44294.996606,36536.719945,0.806605,0.034385,1535.000000,1164.937803,0.275863,0.354500,0.344013,0.030029
2020,3430.581019,44252.967130,36494.690469,0.805677,0.034385,1545.000000,1163.641002,0.283470,0.353500,0.343687,0.028153
