section,metric,target,value,extra
summary,available,,yes,
summary,positive_definite,,yes,
summary,covariance_available,,yes,
summary,min_eigenvalue,,2.88902940063098,
summary,max_eigenvalue,,740.402753291396,
summary,condition_number_abs,,256.280795595119,
fixed_effect,gradient,log_r0,0.198213988825852,index=0
fixed_effect,gradient,log_fbar,-0.157726044833051,index=1
fixed_effect,gradient,log_q,0.346158117330845,index=2
fixed_effect,gradient,logit_sel_a50,0.0221223530873108,index=3
fixed_effect,gradient,log_sel_slope,-0.0025035084443959,index=4
eigenvalue,value,0,2.88902940063098,
eigenvalue,value,1,5.43153019959121,
eigenvalue,value,2,21.7065012247815,
eigenvalue,value,3,564.9292271622,
eigenvalue,value,4,740.402753291396,
weak_direction,loading,direction_1,-0.607743764442423,parameter=log_fbar;eigenvalue=2.88902940063098
weak_direction,loading,direction_1,-0.571772842812887,parameter=log_q;eigenvalue=2.88902940063098
weak_direction,loading,direction_1,0.5294318124588,parameter=log_r0;eigenvalue=2.88902940063098
weak_direction,loading,direction_1,-0.147110615789468,parameter=logit_sel_a50;eigenvalue=2.88902940063098
weak_direction,loading,direction_1,0.0422345318626471,parameter=log_sel_slope;eigenvalue=2.88902940063098
weak_direction,loading,direction_2,0.858563648427941,parameter=logit_sel_a50;eigenvalue=5.43153019959121
weak_direction,loading,direction_2,-0.479970520615711,parameter=log_sel_slope;eigenvalue=5.43153019959121
weak_direction,loading,direction_2,-0.138111573293235,parameter=log_q;eigenvalue=5.43153019959121
weak_direction,loading,direction_2,0.115353043981215,parameter=log_r0;eigenvalue=5.43153019959121
weak_direction,loading,direction_2,-0.0107531160470405,parameter=log_fbar;eigenvalue=5.43153019959121
weak_direction,loading,direction_3,0.874516504330771,parameter=log_sel_slope;eigenvalue=21.7065012247815
weak_direction,loading,direction_3,0.483656408035555,parameter=logit_sel_a50;eigenvalue=21.7065012247815
weak_direction,loading,direction_3,-0.0267680321446877,parameter=log_fbar;eigenvalue=21.7065012247815
weak_direction,loading,direction_3,-0.0217203552992407,parameter=log_q;eigenvalue=21.7065012247815
weak_direction,loading,direction_3,0.0104432389616045,parameter=log_r0;eigenvalue=21.7065012247815
correlation,value,log_r0_vs_log_r0,1,
correlation,value,log_r0_vs_log_fbar,-0.977563233575685,
correlation,value,log_r0_vs_log_q,-0.984054762760085,
correlation,value,log_r0_vs_logit_sel_a50,-0.0684570078402491,
correlation,value,log_r0_vs_log_sel_slope,-0.0226004181583877,
correlation,value,log_fbar_vs_log_r0,-0.977563233575686,
correlation,value,log_fbar_vs_log_fbar,1,
correlation,value,log_fbar_vs_log_q,0.974171329009831,
correlation,value,log_fbar_vs_logit_sel_a50,0.202763061227859,
correlation,value,log_fbar_vs_log_sel_slope,-0.0891559263645238,
correlation,value,log_q_vs_log_r0,-0.984054762760085,
correlation,value,log_q_vs_log_fbar,0.974171329009831,
correlation,value,log_q_vs_log_q,1,
correlation,value,log_q_vs_logit_sel_a50,0.0510303164232318,
correlation,value,log_q_vs_log_sel_slope,0.0305433529261272,
correlation,value,logit_sel_a50_vs_log_r0,-0.0684570078402492,
correlation,value,logit_sel_a50_vs_log_fbar,0.202763061227859,
correlation,value,logit_sel_a50_vs_log_q,0.0510303164232319,
correlation,value,logit_sel_a50_vs_logit_sel_a50,1,
correlation,value,logit_sel_a50_vs_log_sel_slope,-0.533232223575137,
correlation,value,log_sel_slope_vs_log_r0,-0.0226004181583874,
correlation,value,log_sel_slope_vs_log_fbar,-0.0891559263645241,
correlation,value,log_sel_slope_vs_log_q,0.030543352926127,
correlation,value,log_sel_slope_vs_logit_sel_a50,-0.533232223575137,
correlation,value,log_sel_slope_vs_log_sel_slope,1,
