section,metric,target,value,extra
optimization,objective_value,,115.031861478857,
optimization,gradient_norm,,0.42951996326087,
optimization,max_gradient_parameter,,log_q,
optimization,max_gradient_value,,0.346158117330845,
optimization,max_abs_gradient,,0.346158117330845,
optimization,iterations,,208,
optimization,converged,,no,
optimization,message,,stopped before requested fixed-effect gradient tolerance; L-BFGS line search stalled; recovered with gradient restart. attempts=2,
curvature,positive_definite,,yes,
curvature,min_eigenvalue,,8.16326632957498,
curvature,max_eigenvalue,,50.6383719833748,
curvature,condition_number_abs,,6.20319979025005,
spectral_structure,available,,yes,
spectral_structure,largest_eigen_share,,0.220174794087213,
spectral_structure,effective_rank_entropy,,16.2964055136418,
spectral_structure,eigen_count_for_50%,,7,
spectral_structure,eigen_count_for_90%,,18,
spectral_structure,eigen_count_for_95%,,19,
spectral_structure,eigen_count_for_99%,,20,
huu_structure,random_effects,,20,
huu_structure,total_entries,,400,
huu_structure,structural_nonzeros,,362,
huu_structure,structural_density,,0.905,
effective_sparsity,entries_required,90%,177,compression_vs_structural=2.04519774011299
effective_sparsity,entries_required,95%,214,compression_vs_structural=1.69158878504673
effective_sparsity,entries_required,97%,238,compression_vs_structural=1.52100840336134
effective_sparsity,entries_required,98%,254,compression_vs_structural=1.4251968503937
effective_sparsity,entries_required,99%,279,compression_vs_structural=1.29749103942652
effective_sparsity,entries_required,99.5%,299,compression_vs_structural=1.21070234113712
effective_sparsity,entries_required,99.9%,335,compression_vs_structural=1.08059701492537
effective_sparsity,entries_required,100%,362,compression_vs_structural=1
effective_bandwidth,bandwidth,90%,6,entry_count_if_banded=218
effective_bandwidth,bandwidth,95%,8,entry_count_if_banded=268
effective_bandwidth,bandwidth,97%,9,entry_count_if_banded=290
effective_bandwidth,bandwidth,98%,10,entry_count_if_banded=310
effective_bandwidth,bandwidth,99%,11,entry_count_if_banded=328
effective_bandwidth,bandwidth,99.5%,12,entry_count_if_banded=344
effective_bandwidth,bandwidth,99.9%,14,entry_count_if_banded=370
effective_bandwidth,bandwidth,100%,19,entry_count_if_banded=400
uncertainty,covariance_available,,yes,
uncertainty,correlation_available,,yes,
uncertainty,min_variance,,0.0936473916880203,index=0
uncertainty,max_variance,,0.122499984641817,index=19
uncertainty,max_abs_correlation,,0.210787514080484,pair=0;1
uncertainty,count_abs_corr_gt_0_5,,0,
uncertainty,count_abs_corr_gt_0_8,,0,
uncertainty,count_abs_corr_gt_0_9,,0,
parameter_influence,importance,log_rec_dev_6,11.2319807967992,index=5;sd=0.322306724672763;variance=0.103881624769284;variance_share=0.0484889735218686;correlation_centrality=0.903147617747824;curvature_column_norm=18.3111031791128;importance_share=0.0700628019398825
parameter_influence,importance,log_rec_dev_5,11.2297067086778,index=4;sd=0.322346213263581;variance=0.10390708120537;variance_share=0.0485008558586923;correlation_centrality=0.899397628748699;curvature_column_norm=18.3412930336158;importance_share=0.070048616642692
parameter_influence,importance,log_rec_dev_7,11.149521971421,index=6;sd=0.322208038147183;variance=0.103818019846656;variance_share=0.0484592845618045;correlation_centrality=0.904304486868199;curvature_column_norm=18.171194894119;importance_share=0.0695484406304055
parameter_influence,importance,log_rec_dev_4,11.0448348321238,index=3;sd=0.321657415935961;variance=0.1034634932266;variance_share=0.0482938016678768;correlation_centrality=0.883410302741187;curvature_column_norm=18.2314291985086;importance_share=0.0688954236391079
parameter_influence,importance,log_rec_dev_8,11.0389992498133,index=7;sd=0.322310453101787;variance=0.103884028178679;variance_share=0.048490095364685;correlation_centrality=0.910718229469986;curvature_column_norm=17.9249794346764;importance_share=0.0688590224686451
parameter_influence,importance,log_rec_dev_9,10.9031262311398,index=8;sd=0.322517886722699;variance=0.104017787256076;variance_share=0.0485525302792004;correlation_centrality=0.927357614910517;curvature_column_norm=17.5402157356336;importance_share=0.0680114743318986
parameter_influence,importance,log_rec_dev_10,10.5803752998107,index=9;sd=0.322595979966024;variance=0.10406816629024;variance_share=0.0485760457725233;correlation_centrality=0.934062322553003;curvature_column_norm=16.9578838892124;importance_share=0.0659982199481244
parameter_influence,importance,log_rec_dev_3,10.559616116816,index=2;sd=0.319253863828894;variance=0.101923029569678;variance_share=0.0475747572590337;correlation_centrality=0.843283685080572;curvature_column_norm=17.9440218304303;importance_share=0.0658687284049224
parameter_influence,importance,log_rec_dev_11,9.90346942883761,index=10;sd=0.322402831913289;variance=0.103943586025708;variance_share=0.0485178952655243;correlation_centrality=0.908138422496226;curvature_column_norm=16.0982490073901;importance_share=0.0617758193913637
parameter_influence,importance,log_rec_dev_2,9.69464746705085,index=1;sd=0.314097210757252;variance=0.0986570578054854;variance_share=0.0460502949804661;correlation_centrality=0.769354701042257;curvature_column_norm=17.4442795225328;importance_share=0.0604732306481981
parameter_influence,importance,log_rec_dev_12,8.79814515207967,index=11;sd=0.323774689766918;variance=0.104830049733664;variance_share=0.0489316711894051;correlation_centrality=0.837625055143464;curvature_column_norm=14.7873830583676;importance_share=0.0548810323290581
parameter_influence,importance,log_rec_dev_1,8.49221733727362,index=0;sd=0.306018613303211;variance=0.0936473916880203;variance_share=0.0437119260123;correlation_centrality=0.658118486513886;curvature_column_norm=16.7362323344933;importance_share=0.0529727171098258
parameter_influence,importance,log_rec_dev_13,7.53177222675953,index=12;sd=0.325543718237668;variance=0.105978712484006;variance_share=0.0494678341326649;correlation_centrality=0.73431543639988;curvature_column_norm=13.3401209950964;importance_share=0.0469816566931935
parameter_influence,importance,log_rec_dev_14,6.24347557880895,index=13;sd=0.32810751706529;variance=0.10765454275475;variance_share=0.0502500638080835;correlation_centrality=0.603601640457704;curvature_column_norm=11.8662568646703;importance_share=0.0389455253537508
parameter_influence,importance,log_rec_dev_15,5.09442374477939,index=14;sd=0.331512405679447;variance=0.109900475119374;variance_share=0.0512984008474979;correlation_centrality=0.457752307282433;curvature_column_norm=10.5417216215543;importance_share=0.0317779747210776
parameter_influence,importance,log_rec_dev_16,4.19790301939197,index=15;sd=0.335411092404799;variance=0.112500600908181;variance_share=0.0525120652545283;correlation_centrality=0.313018167649818;curvature_column_norm=9.53200463516113;importance_share=0.0261856615615217
parameter_influence,importance,log_rec_dev_17,3.58637256942524,index=16;sd=0.339435322111909;variance=0.115216337897216;variance_share=0.0537796936656754;correlation_centrality=0.188309891658046;curvature_column_norm=8.89136949167263;importance_share=0.0223710595272629
parameter_influence,importance,log_rec_dev_18,3.20303953054126,index=17;sd=0.343474997545313;variance=0.117975073938753;variance_share=0.0550673928056245;correlation_centrality=0.094141814025042;curvature_column_norm=8.52302091160524;importance_share=0.0199799063312037
parameter_influence,importance,log_rec_dev_19,2.97227008612608,index=18;sd=0.347288347828735;variance=0.120609196537612;variance_share=0.0562969259519641;correlation_centrality=0.0316756972824322;curvature_column_norm=8.29573476760531;importance_share=0.0185404136744459
parameter_influence,importance,log_rec_dev_20,2.85714303624704,index=19;sd=0.349999978059738;variance=0.122499984641817;variance_share=0.0571794918005816;correlation_centrality=0;curvature_column_norm=8.16326632957498;importance_share=0.0178222746534198
parameter_influence,correlation_pair,log_rec_dev_1__log_rec_dev_2,-0.210787514080484,i=0;j=1;abs_correlation=0.210787514080484
parameter_influence,correlation_pair,log_rec_dev_2__log_rec_dev_3,-0.174324494149961,i=1;j=2;abs_correlation=0.174324494149961
