metric,target,value,extra
random_effects,,20,
total_entries,,400,
structural_nonzeros,,362,
structural_density,,0.905,
positive_definite,,yes,
min_eigenvalue,,8.16326632957498,
max_eigenvalue,,50.6383719833748,
condition_number,,6.20319979025005,
effective_sparsity_entries,90%,177,compression_vs_structural=2.04519774011299
effective_sparsity_entries,95%,214,compression_vs_structural=1.69158878504673
effective_sparsity_entries,97%,238,compression_vs_structural=1.52100840336134
effective_sparsity_entries,98%,254,compression_vs_structural=1.4251968503937
effective_sparsity_entries,99%,279,compression_vs_structural=1.29749103942652
effective_sparsity_entries,99.5%,299,compression_vs_structural=1.21070234113712
effective_sparsity_entries,99.9%,335,compression_vs_structural=1.08059701492537
effective_sparsity_entries,100%,362,compression_vs_structural=1
effective_bandwidth,90%,6,
effective_bandwidth,95%,8,
effective_bandwidth,97%,9,
effective_bandwidth,98%,10,
effective_bandwidth,99%,11,
effective_bandwidth,99.5%,12,
effective_bandwidth,99.9%,14,
effective_bandwidth,100%,19,
