quantity,value,note
R0,3430.58,estimated unfished recruitment scale
Fbar,0.0343848,estimated fully selected fishing mortality proxy
q,7.76641e-06,catchability estimate
selectivity_a50,2.954,estimated logistic selectivity age at 50 percent selected
selectivity_slope,0.819451,estimated logistic selectivity slope
SPR0_proxy,13.2039,unfished spawning output per recruit proxy
SPR_current_proxy,10.5868,spawning output per recruit proxy at estimated Fbar
SPR_ratio,0.801794,SPR_current_proxy divided by SPR0_proxy
F40_proxy,0.181204,Fbar value giving 40 percent SPR proxy under fitted selectivity
Fbar_over_F40_proxy,0.189757,estimated Fbar relative to F40 proxy
SSB0_proxy,45296.9,R0 multiplied by SPR0_proxy
SSB40_proxy,18118.8,40 percent of SSB0_proxy
terminal_biomass,44253,terminal deterministic total biomass from fitted trajectory
terminal_SSB_proxy,36494.7,terminal deterministic spawning biomass proxy from fitted trajectory
terminal_SSB_over_SSB0_proxy,0.805677,terminal SSB proxy relative to unfished SSB proxy
terminal_SSB_over_SSB40_proxy,2.01419,terminal SSB proxy relative to SSB40 proxy
