year,fleet,catch_mt,index
2001,longline,420,0.520
2001,purse_seine,680,0.460
2002,longline,435,0.506
2002,purse_seine,700,0.451
2003,longline,450,0.492
2003,purse_seine,720,0.443
2004,longline,465,0.478
2004,purse_seine,745,0.432
2005,longline,485,0.462
2005,purse_seine,765,0.421
2006,longline,500,0.450
2006,purse_seine,780,0.414
2007,longline,515,0.438
2007,purse_seine,800,0.406
2008,longline,530,0.424
2008,purse_seine,815,0.397
2009,longline,545,0.412
2009,purse_seine,830,0.389
2010,longline,555,0.402
2010,purse_seine,845,0.382
2011,longline,565,0.395
2011,purse_seine,855,0.376
2012,longline,575,0.388
2012,purse_seine,865,0.371
2013,longline,585,0.381
2013,purse_seine,875,0.366
2014,longline,595,0.376
2014,purse_seine,885,0.361
2015,longline,600,0.372
2015,purse_seine,895,0.357
2016,longline,605,0.369
2016,purse_seine,900,0.354
2017,longline,610,0.366
2017,purse_seine,905,0.351
2018,longline,615,0.364
2018,purse_seine,910,0.349
2019,longline,620,0.362
2019,purse_seine,915,0.347
2020,longline,625,0.361
2020,purse_seine,920,0.346
