section,metric,target,value,extra
summary,r0,,921.00120835695,
summary,m_fixed,,0.45,
summary,equilibrium_total_n,,2541.59149635612,
summary,fitted_total_n,,1079.72094715677,
summary,fitted_over_equilibrium_n,,0.424820805666357,
summary,equilibrium_biomass,,59343.2698915908,
summary,fitted_biomass,,108543.253009021,
summary,fitted_over_equilibrium_bio,,1.8290743534576,
summary,equilibrium_ssb_proxy,,27902.9921794401,
summary,fitted_ssb_proxy,,101985.53164151,
summary,fitted_over_equilibrium_ssb,,3.65500341273997,
summary,equilibrium_plus_n_share,,0.0174223746394935,
summary,fitted_plus_n_share,,0.00379128744862825,
summary,equilibrium_plus_bio_share,,0.0955106045184708,
summary,fitted_plus_bio_share,,0.00482731208316963,
age,equilibrium_n,age_1,921.00120835695,
age,init_log_dev,age_1,-8.57127614188082,
age,multiplier,age_1,0.000189470703965569,
age,fitted_n,age_1,0.174502747300531,
age,equilibrium_biomass,age_1,2763.00362507085,
age,fitted_biomass,age_1,0.523508241901594,
age,equilibrium_n_share,age_1,0.362371848378227,
age,fitted_n_share,age_1,0.000161618377192783,
age,equilibrium_biomass_share,age_1,0.0465596794736513,
age,fitted_biomass_share,age_1,4.8230380736616e-06,
age,weight,age_1,3,
age,maturity,age_1,0,
age,equilibrium_n,age_2,587.256298126062,
age,init_log_dev,age_2,-7.72453185501585,
age,multiplier,age_2,0.000441853643061382,
age,fitted_n,age_2,0.259481334737741,
age,equilibrium_biomass,age_2,5872.56298126062,
age,fitted_biomass,age_2,2.59481334737741,
age,equilibrium_n_share,age_2,0.231058491881174,
age,fitted_n_share,age_2,0.00024032259022207,
age,equilibrium_biomass_share,age_2,0.0989592078762883,
age,fitted_biomass_share,age_2,2.39058004569086e-05,
age,weight,age_2,10,
age,maturity,age_2,0,
age,equilibrium_n,age_3,374.451147902366,
age,init_log_dev,age_3,-6.86204878633627,
age,multiplier,age_3,0.00104676713201352,
age,fitted_n,age_3,0.39196315416893,
age,equilibrium_biomass,age_3,8237.92525385205,
age,fitted_biomass,age_3,8.62318939171647,
age,equilibrium_n_share,age_3,0.147329399094708,
age,fitted_n_share,age_3,0.000363022645064994,
age,equilibrium_biomass_share,age_3,0.138818188969048,
age,fitted_biomass_share,age_3,7.94447296599795e-05,
age,weight,age_3,22,
age,maturity,age_3,0.05,
age,equilibrium_n,age_4,238.760593309637,
age,init_log_dev,age_4,-5.77801252543777,
age,multiplier,age_4,0.00309486025588208,
age,fitted_n,age_4,0.73893067090482,
age,equilibrium_biomass,age_4,9072.9025457662,
age,fitted_biomass,age_4,28.0793654943832,
age,equilibrium_n_share,age_4,0.093941372424305,
age,fitted_n_share,age_4,0.000684371895211117,
age,equilibrium_biomass_share,age_4,0.152888483602955,
age,fitted_biomass_share,age_4,0.000258692868658077,
age,weight,age_4,38,
age,maturity,age_4,0.2,
age,equilibrium_n,age_5,152.240475792142,
age,init_log_dev,age_5,-3.67656308993425,
age,multiplier,age_5,0.0253098130734539,
age,fitted_n,age_5,3.85317798451278,
age,equilibrium_biomass,age_5,8373.22616856779,
age,fitted_biomass,age_5,211.924789148203,
age,equilibrium_n_share,age_5,0.0598996636597222,
age,fitted_n_share,age_5,0.00356867947654379,
age,equilibrium_biomass_share,age_5,0.14109815963738,
age,fitted_biomass_share,age_5,0.00195244552999153,
age,weight,age_5,55,
age,maturity,age_5,0.45,
age,equilibrium_n,age_6,97.0728131813626,
age,init_log_dev,age_6,-1.49970611883251,
age,multiplier,age_6,0.223195743536785,
age,fitted_n,age_6,21.6662387152216,
age,equilibrium_biomass,age_6,6989.24254905811,
age,fitted_biomass,age_6,1559.96918749596,
age,equilibrium_n_share,age_6,0.0381937118221146,
age,fitted_n_share,age_6,0.0200665169757755,
age,equilibrium_biomass_share,age_6,0.117776498696923,
age,fitted_biomass_share,age_6,0.0143718669217174,
age,weight,age_6,72,
age,maturity,age_6,0.7,
age,equilibrium_n,age_7,61.896358441558,
age,init_log_dev,age_7,0.619912494689514,
age,multiplier,age_7,1.85876538288773,
age,fitted_n,age_7,115.050808397979,
age,equilibrium_biomass,age_7,5446.8795428571,
age,fitted_biomass,age_7,10124.4711390221,
age,equilibrium_n_share,age_7,0.0243533858727096,
age,fitted_n_share,age_7,0.106556058489874,
age,equilibrium_biomass_share,age_7,0.0917859692060707,
age,fitted_biomass_share,age_7,0.0932759140559447,
age,weight,age_7,88,
age,maturity,age_7,0.85,
age,equilibrium_n,age_8,39.4668606252093,
age,init_log_dev,age_8,3.08935765780852,
age,multiplier,age_8,21.9629657042731,
age,fitted_n,age_8,866.809306366799,
age,equilibrium_biomass,age_8,4025.61978377135,
age,fitted_biomass,age_8,88414.5492494135,
age,equilibrium_n_share,age_8,0.0155284044197476,
age,fitted_n_share,age_8,0.802808641111733,
