field,value
objective,1764.3608307
grad_norm,0.0128015742311
iterations,206
converged,no
message,stopped before requested fixed-effect gradient tolerance; L-BFGS line search stalled; recovered with gradient restart. attempts=1
random_effects,20
log_r0,6.76622208839
r0,868.026364798
log_m_fixed,-0.798507696218
m_fixed,0.45
log_fbar,-2.74768873785
fbar,0.0640757861333
log_q_longline_fixed,-9.90348755254
q_longline_fixed,5e-05
log_q_purse_seine,-10.867649253
q_purse_seine,1.90651355837e-05
logit_sel_a50_longline,-7.94028301384
sel_a50_longline,1.00320381024
log_sel_slope_longline,-6.98352938712
sel_slope_longline,0.000927025590446
init_log_number_dev_age_1,-6.04387236672
init_number_multiplier_age_1,0.00237235447712
init_log_number_dev_age_2,-5.10356448915
init_number_multiplier_age_2,0.0060750534639
init_log_number_dev_age_3,-3.43389750737
init_number_multiplier_age_3,0.0322609581014
init_log_number_dev_age_4,-1.35481574331
init_number_multiplier_age_4,0.257994827346
init_log_number_dev_age_5,1.01886957074
init_number_multiplier_age_5,2.7700616347
init_log_number_dev_age_6,2.98351355016
init_number_multiplier_age_6,19.7571124419
init_log_number_dev_age_7,1.12856284335
init_number_multiplier_age_7,3.09121075218
init_log_number_dev_age_8,-2.257545386
init_number_multiplier_age_8,0.104606939536
init_log_number_dev_age_9,0.00212727616951
init_number_multiplier_age_9,1.00212954043
init_log_number_dev_age_10,-0.0281698417397
init_number_multiplier_age_10,0.972223228693
logit_sel_purse_seine_age_1,-0.0852057037922
sel_purse_seine_age_1,0.478711452086
logit_sel_purse_seine_age_2,-0.146801161784
sel_purse_seine_age_2,0.463365477207
logit_sel_purse_seine_age_3,-0.166378661326
sel_purse_seine_age_3,0.45850102127
logit_sel_purse_seine_age_4,-0.185859556496
sel_purse_seine_age_4,0.453668406497
logit_sel_purse_seine_age_5,-0.219681616198
sel_purse_seine_age_5,0.445299406819
logit_sel_purse_seine_age_6,-0.231151323952
sel_purse_seine_age_6,0.442468106419
logit_sel_purse_seine_age_7,-0.339577076715
sel_purse_seine_age_7,0.415912213844
logit_sel_purse_seine_age_8,-0.326690596999
sel_purse_seine_age_8,0.419046069085
logit_sel_purse_seine_age_9,-1.13880178406
sel_purse_seine_age_9,0.242540422805
logit_sel_purse_seine_age_10,1.93946634128
sel_purse_seine_age_10,0.874293503772
