section,name,value,note
prior_block,initial_numbers_prior_nll,0.369390734480542,sigma=0.75
prior_block,longline_selectivity_prior_nll,33.6796568909641,sigma=1.0 around template logits
prior_block,purse_seine_selectivity_prior_nll,5.23380280471689,sigma=1.0 around template logits
prior_block,recruitment_prior_nll,0.0678848930859884,sigma=0.35
prior_block,total_flexible_prior_nll,39.3507353232475,sum of diagnostic blocks
initial_stress,max_abs_init_log_dev,0.339577076714621,age 9
initial_stress,min_init_multiplier,0.712071410670004,age 9
initial_stress,max_init_multiplier,1.00212954042674,age 1
age_parameter,age,init_log_dev,init_multiplier,ll_logit,ll_selectivity,ll_template,ll_logit_minus_template,ps_logit,ps_selectivity,ps_template,ps_logit_minus_template
age_parameter,1,0.00212727616950559,1.00212954042674,-7.94028301384443,0.000355978915092305,0.001,-1.03352823519587,-1.13880178405572,0.242540422804931,0.2,0.247492577064169
age_parameter,2,-0.0281698417396504,0.972223228693482,-6.98352938712034,0.00092616700992676,0.005,-1.69022456239585,1.93946634127612,0.874293503771572,0.9,-0.257758236060102
age_parameter,3,-0.0852057037921677,0.918323362373058,-6.04387236671996,0.00236673973151859,0.03,-2.56777367688469,6.91519411638728,0.999008395493223,1,0.00843933773872951
age_parameter,4,-0.146801161783887,0.863465650317771,-5.10356448915233,0.00603837004305329,0.12,-3.11113432446213,-0.148016087472061,0.463063389804682,0.8,-1.53431044859195
age_parameter,5,-0.166378661326309,0.84672555125786,-3.43389750736521,0.0312527155543293,0.35,-2.81485829895899,-2.27454915220983,0.0932528383138518,0.45,-2.07387845674768
age_parameter,6,-0.185859556495814,0.830390209703744,-1.35481574330847,0.205084171840516,0.7,-2.20211360369567,-3.05046771775726,0.0451972850676818,0.2,-1.66417335663737
age_parameter,7,-0.219681616197652,0.802774347628108,1.01886957074423,0.734752347071158,0.95,-1.92556940842221,-3.33247739566437,0.0344736744076809,0.08,-0.890130360295167
age_parameter,8,-0.231151323951996,0.793619363329824,2.98351355015725,0.951823742208826,0.9,0.786288972821029,-3.79939298762518,0.0218942662780606,0.03,-0.323294297789908
age_parameter,9,-0.339577076714621,0.712071410670004,1.12856284334998,0.755573579418637,0.6,0.723097735241817,-4.30163838564807,0.0133652957512607,0.015,-0.117046945578191
age_parameter,10,-0.326690596999176,0.721306883018856,-2.25754538599938,0.094700599635539,0.12,-0.265115221309175,-5.36213713777211,0.00466896882386729,0.005,-0.0688323130476158
