field,value
objective,1740.05541802
grad_norm,0.0276339865475
iterations,326
converged,no
message,stopped before requested fixed-effect gradient tolerance; L-BFGS line search stalled; recovered with gradient restart. attempts=2
random_effects,20
log_r0,6.83000509189
r0,925.195523465
log_m_fixed,-0.798507696218
m_fixed,0.45
log_fbar,-2.09859047159
fbar,0.122629155771
log_q_longline_fixed,-9.90348755254
q_longline_fixed,5e-05
log_q_purse_seine,-10.934772157
q_purse_seine,1.78274321136e-05
logit_sel_a50_longline,-8.57197545222
sel_a50_longline,1.00170372168
log_sel_slope_longline,-7.7264781255
sel_slope_longline,0.00044099451268
init_log_number_dev_age_1,-6.86404610503
init_number_multiplier_age_1,0.00104467849098
init_log_number_dev_age_2,-5.78154234913
init_number_multiplier_age_2,0.0030839552026
init_log_number_dev_age_3,-3.68014742101
init_number_multiplier_age_3,0.025219256713
init_log_number_dev_age_4,-1.50419937552
init_number_multiplier_age_4,0.222195117489
init_log_number_dev_age_5,0.608800030467
init_number_multiplier_age_5,1.83822426169
init_log_number_dev_age_6,3.06648537294
init_number_multiplier_age_6,21.4663238145
init_log_number_dev_age_7,0.958286137009
init_number_multiplier_age_7,2.60722421701
init_log_number_dev_age_8,-2.38712004353
init_number_multiplier_age_8,0.0918939537389
init_log_number_dev_age_9,0.000608239593742
init_number_multiplier_age_9,1.00060842461
init_log_number_dev_age_10,-0.0276891570866
init_number_multiplier_age_10,0.972690673817
logit_sel_purse_seine_age_1,-0.0824891552176
sel_purse_seine_age_1,0.479389396874
logit_sel_purse_seine_age_2,-0.144785602951
sel_purse_seine_age_2,0.463866698697
logit_sel_purse_seine_age_3,-0.167560468865
sel_purse_seine_age_3,0.458207619077
logit_sel_purse_seine_age_4,-0.189489177389
sel_purse_seine_age_4,0.452768944924
logit_sel_purse_seine_age_5,-0.227156422642
sel_purse_seine_age_5,0.443453834191
logit_sel_purse_seine_age_6,-0.274530317968
sel_purse_seine_age_6,0.431795248428
logit_sel_purse_seine_age_7,-0.34369770879
sel_purse_seine_age_7,0.414911539952
logit_sel_purse_seine_age_8,-0.286870274549
sel_purse_seine_age_8,0.428770247739
logit_sel_purse_seine_age_9,-1.13584596587
sel_purse_seine_age_9,0.243083862825
logit_sel_purse_seine_age_10,1.9495583462
sel_purse_seine_age_10,0.875398475976
