section,name,value,note
prior_block,initial_numbers_prior_nll,0.373193570836874,sigma=0.75
prior_block,longline_selectivity_prior_nll,11.1821096124465,sigma=1.0 around template logits
prior_block,purse_seine_selectivity_prior_nll,5.20244157397174,sigma=1.0 around template logits
prior_block,recruitment_prior_nll,0.061940811068759,sigma=0.35
prior_block,total_flexible_prior_nll,16.8196855683238,sum of diagnostic blocks
initial_stress,max_abs_init_log_dev,0.341008068013901,age 9
initial_stress,min_init_multiplier,0.711053171396396,age 9
initial_stress,max_init_multiplier,1.00021805608535,age 1
age_parameter,age,init_log_dev,init_multiplier,ll_logit,ll_selectivity,ll_template,ll_logit_minus_template,ps_logit,ps_selectivity,ps_template,ps_logit_minus_template
age_parameter,1,0.000218032314576165,1.00021805608535,-9.02902926040578,0.00011986443860652,0.001,-2.12227448175722,-1.13559610203412,0.243129839247019,0.2,0.250698259085773
age_parameter,2,-0.0275956195278266,0.972781661183074,-8.23525188670158,0.000265069900380662,0.005,-2.94194706197709,1.94894939849017,0.875332039220094,0.9,-0.248275178846054
age_parameter,3,-0.0820163680166453,0.921256879425003,-7.40064224348055,0.000610487391545808,0.03,-3.92454355364528,6.91586360521655,0.999009058481553,1,0.00910882656799838
age_parameter,4,-0.144865113728392,0.865138980612311,-6.13111685170373,0.00216943472001043,0.12,-4.13868668701352,-0.153808604409481,0.461623475481859,0.8,-1.54010296552937
age_parameter,5,-0.168926037336717,0.844571367823685,-3.75970213192447,0.0227605678590089,0.35,-3.14066292351824,-2.27344372371327,0.0933463517878973,0.45,-2.07277302825112
age_parameter,6,-0.191768585866845,0.825497878265569,-1.54853242780746,0.175298332262896,0.7,-2.39583028819466,-3.04139329674935,0.0455905072403961,0.2,-1.65509893562946
age_parameter,7,-0.230514873125859,0.794124623798919,0.509200592094742,0.624619055905104,0.95,-2.4352383870717,-3.30723829483074,0.0353237062379397,0.08,-0.864891259461533
age_parameter,8,-0.287513401616414,0.750126513795819,3.11388433620499,0.957461841024666,0.9,0.916659758868767,-3.80109535129289,0.0218578399743096,0.03,-0.324996661457619
age_parameter,9,-0.341008068013901,0.711053171396396,0.890253225700647,0.708942426697117,0.6,0.484788117592483,-4.30323304461932,0.0133442838282718,0.015,-0.118641604549442
age_parameter,10,-0.271973994585116,0.761874073683594,-2.42959521792593,0.0809435745396442,0.12,-0.437165053235719,-5.36342462864102,0.00466298944957758,0.005,-0.0701198039165245
