section,metric,target,value,extra
summary,r0,,630.478119070175,
summary,m_young,,0.342588183726986,ages 1-3
summary,m_adult,,0.45,ages 4-7
summary,m_old,,0.305704748551523,ages 8-10
summary,equilibrium_total_n,,1989.69811282597,
summary,fitted_total_n,,3874.9614081168,
summary,fitted_over_equilibrium_n,,1.94751222968855,
summary,equilibrium_biomass,,53800.6459029061,
summary,fitted_biomass,,398956.975290718,
summary,fitted_over_equilibrium_bio,,7.41546813416915,
summary,equilibrium_ssb_proxy,,28081.0207717414,
summary,fitted_ssb_proxy,,394405.188490155,
summary,fitted_over_equilibrium_ssb,,14.0452582438547,
summary,equilibrium_plus_n_share,,0.0346745713964053,
summary,fitted_plus_n_share,,0.778021775989273,
summary,equilibrium_plus_bio_share,,0.164142396404651,
summary,fitted_plus_bio_share,,0.96725958323655,
age,equilibrium_n,age_1,630.478119070175,
age,init_log_dev,age_1,-0.27271848746626,
age,multiplier,age_1,0.761307074948859,
age,fitted_n,age_1,479.987452648573,
age,equilibrium_biomass,age_1,1891.43435721052,
age,fitted_biomass,age_1,1439.96235794572,
age,equilibrium_n_share,age_1,0.31687124544472,
age,fitted_n_share,age_1,0.123868963351004,
age,equilibrium_biomass_share,age_1,0.0351563503647148,
age,fitted_biomass_share,age_1,0.00360931741297774,
age,weight,age_1,3,
age,maturity,age_1,0,
age,equilibrium_n,age_2,447.595654069624,
age,init_log_dev,age_2,-0.38662782061719,
age,multiplier,age_2,0.679343885670052,
age,fitted_n,age_2,304.071370844687,
age,equilibrium_biomass,age_2,4475.95654069624,
age,fitted_biomass,age_2,3040.71370844687,
age,equilibrium_n_share,age_2,0.224956565613817,
age,fitted_n_share,age_2,0.0784708126919031,
age,equilibrium_biomass_share,age_2,0.0831952194175139,
age,fitted_biomass_share,age_2,0.00762165821572894,
age,weight,age_2,10,
age,maturity,age_2,0,
age,equilibrium_n,age_3,317.761811999879,
age,init_log_dev,age_3,-8.78099483628324,
age,multiplier,age_3,0.000153625177251834,
age,fitted_n,age_3,0.0488162146923453,
age,equilibrium_biomass,age_3,6990.75986399734,
age,fitted_biomass,age_3,1.0739567232316,
age,equilibrium_n_share,age_3,0.159703529872962,
age,fitted_n_share,age_3,1.25978582883667e-05,
age,equilibrium_biomass_share,age_3,0.129938214433588,
age,fitted_biomass_share,age_3,2.69191113264534e-06,
age,weight,age_3,22,
age,maturity,age_3,0.05,
age,equilibrium_n,age_4,202.613876841468,
age,init_log_dev,age_4,-8.01954525181921,
age,multiplier,age_4,0.000328969587125695,
age,fitted_n,age_4,0.0666538034104743,
age,equilibrium_biomass,age_4,7699.3273199758,
age,fitted_biomass,age_4,2.53284452959802,
age,equilibrium_n_share,age_4,0.10183146656037,
age,fitted_n_share,age_4,1.72011528349304e-05,
age,equilibrium_biomass_share,age_4,0.143108455126557,
age,fitted_biomass_share,age_4,6.34866586240872e-06,
age,weight,age_4,38,
age,maturity,age_4,0.2,
age,equilibrium_n,age_5,129.192311783347,
age,init_log_dev,age_5,-7.2404018347653,
age,multiplier,age_5,0.000717023577211372,
age,fitted_n,age_5,0.0926339335431025,
age,equilibrium_biomass,age_5,7105.57714808409,
age,fitted_biomass,age_5,5.09486634487064,
age,equilibrium_n_share,age_5,0.0649306097998229,
age,fitted_n_share,age_5,2.39057693191638e-05,
age,equilibrium_biomass_share,age_5,0.132072339073912,
age,fitted_biomass_share,age_5,1.2770465640206e-05,
age,weight,age_5,55,
age,maturity,age_5,0.45,
age,equilibrium_n,age_6,82.3766549661595,
age,init_log_dev,age_6,-6.01405341714039,
age,multiplier,age_6,0.00244416087067542,
age,fitted_n,age_6,0.201341796725417,
age,equilibrium_biomass,age_6,5931.11915756348,
age,fitted_biomass,age_6,14.49660936423,
age,equilibrium_n_share,age_6,0.0414015847103357,
age,fitted_n_share,age_6,5.19596908252223e-05,
age,equilibrium_biomass_share,age_6,0.110242526981318,
age,fitted_biomass_share,age_6,3.63362724856895e-05,
age,weight,age_6,72,
age,maturity,age_6,0.7,
age,equilibrium_n,age_7,52.5256742428569,
age,init_log_dev,age_7,-3.63606931799097,
age,multiplier,age_7,0.0263557366505718,
age,fitted_n,age_7,1.38435283773845,
age,equilibrium_biomass,age_7,4622.2593333714,
age,fitted_biomass,age_7,121.823049720984,
age,equilibrium_n_share,age_7,0.0263988159330636,
age,fitted_n_share,age_7,0.000357255903204269,
age,equilibrium_biomass_share,age_7,0.0859145695334808,
age,fitted_biomass_share,age_7,0.000305353853337724,
age,weight,age_7,88,
age,maturity,age_7,0.85,
age,equilibrium_n,age_8,33.4918485801602,
age,init_log_dev,age_8,-1.38775962500174,
age,multiplier,age_8,0.249633952273287,
age,fitted_n,age_8,8.36070253000387,
age,equilibrium_biomass,age_8,3416.16855517634,
age,fitted_biomass,age_8,852.791658060394,
age,equilibrium_n_share,age_8,0.0168326282084028,
age,fitted_n_share,age_8,0.0021576221410853,
age,equilibrium_biomass_share,age_8,0.0634967944686295,
age,fitted_biomass_share,age_8,0.00213755294650249,
age,weight,age_8,102,
age,maturity,age_8,0.95,
age,equilibrium_n,age_9,24.6702320018242,
age,init_log_dev,age_9,0.983204420517397,
age,multiplier,age_9,2.67300797453482,
age,fitted_n,age_9,65.9437268745001,
age,equilibrium_biomass,age_9,2837.07668020978,
age,fitted_biomass,age_9,7583.52859056751,
age,equilibrium_n_share,age_9,0.0123989824601004,
age,fitted_n_share,age_9,0.0170179054522631,
age,equilibrium_biomass_share,age_9,0.0527331341956348,
age,fitted_biomass_share,age_9,0.0190083870197818,
age,weight,age_9,115,
age,maturity,age_9,1,
age,equilibrium_n,age_10,68.991929270477,
age,init_log_dev,age_10,3.77730068638864,
age,multiplier,age_10,43.6979279824694,
age,fitted_n,age_10,3014.80435663293,
age,equilibrium_biomass,age_10,8830.96694662106,
age,fitted_biomass,age_10,385894.957649015,
age,equilibrium_n_share,age_10,0.0346745713964053,
age,fitted_n_share,age_10,0.778021775989273,
age,equilibrium_biomass_share,age_10,0.164142396404651,
age,fitted_biomass_share,age_10,0.96725958323655,
age,weight,age_10,128,
age,maturity,age_10,1,
