Longline Selectivity Slope Geometry Scan
=======================================

parameter_index:       5
parameter_name:        logit_sel_longline_age_1
base_log_slope:        -8.78099483628324
base_slope:            0.000153625177251834
base_objective:        1731.58521917743

Interpretation
--------------
This scan holds all fixed effects at the Level 6 fit except longline
log-selectivity-slope. For each slope multiplier, random effects are
re-solved and the profiled Laplace objective is evaluated. Failed rows
mark local Huu/Laplace stability boundaries.

Rows
----
step_index,multiplier,log_sel_slope_longline,sel_slope_longline,objective,delta_objective,status,message
0,0.4,-9.6972855681574,6.14500709007334e-05,1731.91606449984,0.330845322414234,ok,ok
1,0.5,-9.47414201684319,7.68125886259168e-05,1731.78205715312,0.196837975695416,ok,ok
2,0.6,-9.29182046004923,9.21751063511001e-05,1731.69581922905,0.110600051616302,ok,ok
3,0.7,-9.13766978022197,0.000107537624076284,1731.6408178211,0.0555986436713738,ok,ok
4,0.75,-9.06867690873502,0.000115218882938875,1731.62191821512,0.0366990376930971,ok,ok
5,0.8,-9.00413838759745,0.000122900141801467,1731.60761785521,0.0223986777800746,ok,ok
6,0.85,-8.94351376578102,0.000130581400664059,1731.59727564567,0.0120564682415534,ok,ok
7,0.9,-8.88635535194107,0.00013826265952665,1731.59036972729,0.00515054985817187,ok,ok
8,0.95,-8.83228813067079,0.000145943918389242,1731.58647020619,0.00125102876313576,ok,ok
9,0.975,-8.80631264426753,0.000149784547820538,1731.58553362197,0.000314444541118064,ok,ok
10,1,-8.78099483628324,0.000153625177251834,1731.58521917743,0,ok,ok
11,1.025,-8.75630222369287,0.000157465806683129,1731.58549094348,0.000271766051810118,ok,ok
12,1.05,-8.73220467211381,0.000161306436114425,1731.58631583513,0.00109665769718958,ok,ok
13,1.1,-8.68568465647892,0.000168987694977017,1731.58950520038,0.00428602295460223,ok,ok
14,1.15,-8.64123289390808,0.000176668953839609,1731.59456946804,0.00935029060633497,ok,ok
15,1.2,-8.59867327948929,0.0001843502127022,1731.60132127963,0.0161021021967827,ok,ok
16,1.3,-8.51863057181575,0.000199712730427384,1731.61925968268,0.0340405052506867,ok,ok
17,1.4,-8.44452259966203,0.000215075248152567,1731.6422546569,0.0570354794747345,ok,ok
18,1.6,-8.31099120703751,0.000245800283602934,1731.70029344137,0.115074263941324,ok,ok
19,1.8,-8.19320817138112,0.0002765253190533,1731.77069051129,0.185471333862779,ok,ok
20,2,-8.0878476557233,0.000307250354503667,1731.85034438227,0.265125204842434,ok,ok
