section,metric,target,value,extra
summary,r0,,947.086382415214,
summary,m_fixed,,0.45,
summary,equilibrium_total_n,,2613.57604530772,
summary,fitted_total_n,,1136.18120688212,
summary,fitted_over_equilibrium_n,,0.434722842261261,
summary,equilibrium_biomass,,61024.0272133648,
summary,fitted_biomass,,114486.135809611,
summary,fitted_over_equilibrium_bio,,1.87608293056965,
summary,equilibrium_ssb_proxy,,28693.2782302538,
summary,fitted_ssb_proxy,,107738.170834429,
summary,fitted_over_equilibrium_ssb,,3.75482264417005,
summary,equilibrium_plus_n_share,,0.0174223746394935,
summary,fitted_plus_n_share,,0.00349094371518562,
summary,equilibrium_plus_bio_share,,0.0955106045184709,
summary,fitted_plus_bio_share,,0.00443452921853663,
age,equilibrium_n,age_1,947.086382415214,
age,init_log_dev,age_1,-9.22573021377712,
age,multiplier,age_1,9.84727976637674e-05,
age,fitted_n,age_1,0.0932622457056828,
age,equilibrium_biomass,age_1,2841.25914724564,
age,fitted_biomass,age_1,0.279786737117048,
age,equilibrium_n_share,age_1,0.362371848378227,
age,fitted_n_share,age_1,8.20839538101593e-05,
age,equilibrium_biomass_share,age_1,0.0465596794736513,
age,fitted_biomass_share,age_1,2.44384820169256e-06,
age,weight,age_1,3,
age,maturity,age_1,0,
age,equilibrium_n,age_2,603.888939445565,
age,init_log_dev,age_2,-8.4422056593683,
age,multiplier,age_2,0.000215574142392097,
age,fitted_n,age_2,0.13018284022105,
age,equilibrium_biomass,age_2,6038.88939445565,
age,fitted_biomass,age_2,1.3018284022105,
age,equilibrium_n_share,age_2,0.231058491881174,
age,fitted_n_share,age_2,0.000114579293718733,
age,equilibrium_biomass_share,age_2,0.0989592078762884,
age,fitted_biomass_share,age_2,1.13710572289332e-05,
age,weight,age_2,10,
age,maturity,age_2,0,
age,equilibrium_n,age_3,385.056588243508,
age,init_log_dev,age_3,-7.61399762500016,
age,multiplier,age_3,0.000493495101588012,
age,fitted_n,age_3,0.190023540132363,
age,equilibrium_biomass,age_3,8471.24494135719,
age,fitted_biomass,age_3,4.180517882912,
age,equilibrium_n_share,age_3,0.147329399094708,
age,fitted_n_share,age_3,0.000167247564896643,
age,equilibrium_biomass_share,age_3,0.138818188969048,
age,fitted_biomass_share,age_3,3.65154946784485e-05,
age,weight,age_3,22,
age,maturity,age_3,0.05,
age,equilibrium_n,age_4,245.522920631495,
age,init_log_dev,age_4,-6.24033784815413,
age,multiplier,age_4,0.00194919687902298,
age,fitted_n,age_4,0.478572510623516,
age,equilibrium_biomass,age_4,9329.87098399679,
age,fitted_biomass,age_4,18.1857554036936,
age,equilibrium_n_share,age_4,0.093941372424305,
age,fitted_n_share,age_4,0.000421211429765507,
age,equilibrium_biomass_share,age_4,0.152888483602955,
age,fitted_biomass_share,age_4,0.000158846792016251,
age,weight,age_4,38,
age,maturity,age_4,0.2,
