field,value
objective,1749.38314001
grad_norm,0.00610599697056
iterations,226
converged,no
message,stopped before requested fixed-effect gradient tolerance; L-BFGS line search stalled; recovered with gradient restart. attempts=1
random_effects,20
log_r0,6.8098996404
r0,906.779798327
log_m_fixed,-0.798507696218
m_fixed,0.45
log_fbar,-2.08547144568
fbar,0.124248529923
log_q_longline_fixed,-9.90348755254
q_longline_fixed,5e-05
log_q_purse_seine,-10.9142953894
q_purse_seine,1.81962434429e-05
logit_sel_a50_longline,-8.28600077631
sel_a50_longline,1.00226761154
log_sel_slope_longline,-7.39712070017
sel_slope_longline,0.00061301527729
init_log_number_dev_age_1,-6.50774241353
init_number_multiplier_age_1,0.00149184389077
init_log_number_dev_age_2,-5.50556171111
init_number_multiplier_age_2,0.00406410508665
init_log_number_dev_age_3,-3.5965549753
init_number_multiplier_age_3,0.027418015674
init_log_number_dev_age_4,-1.45616210074
init_number_multiplier_age_4,0.233129286705
init_log_number_dev_age_5,0.726102456601
init_number_multiplier_age_5,2.06700863161
init_log_number_dev_age_6,3.02859337158
init_number_multiplier_age_6,20.6681397401
init_log_number_dev_age_7,1.02159583279
init_number_multiplier_age_7,2.77762385221
init_log_number_dev_age_8,-2.3437994896
init_number_multiplier_age_8,0.0959623367895
init_log_number_dev_age_9,0.00107768462556
init_number_multiplier_age_9,1.00107826554
init_log_number_dev_age_10,-0.0278126179448
init_number_multiplier_age_10,0.972570592004
logit_sel_purse_seine_age_1,-0.0831699589874
sel_purse_seine_age_1,0.479219487525
logit_sel_purse_seine_age_2,-0.145221753968
sel_purse_seine_age_2,0.463758232099
logit_sel_purse_seine_age_3,-0.166774957042
sel_purse_seine_age_3,0.458402631448
logit_sel_purse_seine_age_4,-0.187734983739
sel_purse_seine_age_4,0.453203616032
logit_sel_purse_seine_age_5,-0.224106350222
sel_purse_seine_age_5,0.444206729052
logit_sel_purse_seine_age_6,-0.260758370774
sel_purse_seine_age_6,0.43517729301
logit_sel_purse_seine_age_7,-0.343964599713
sel_purse_seine_age_7,0.414846750996
logit_sel_purse_seine_age_8,-0.299867924994
sel_purse_seine_age_8,0.425589770339
logit_sel_purse_seine_age_9,-1.1359202464
sel_purse_seine_age_9,0.243070195906
logit_sel_purse_seine_age_10,1.95209735898
sel_purse_seine_age_10,0.875675157429
