section,year,fleet,age,observed,predicted,residual,abs_residual
age_residual,2001,longline,1,2e-08,0.00237385360188426,-0.00237383360188426,0.00237383360188426
age_residual,2001,longline,2,2.12e-06,0.00357795100126001,-0.00357583100126001,0.00357583100126001
age_residual,2001,longline,3,0.00012188,0.00524977549425666,-0.00512789549425666,0.00512789549425666
age_residual,2001,longline,4,0.00306002,0.0085243424705451,-0.0054643224705451,0.0054643224705451
age_residual,2001,longline,5,0.03361977,0.0350174183298742,-0.00139764832987418,0.00139764832987418
age_residual,2001,longline,6,0.16163849,0.154986213743775,0.00665227625622472,0.00665227625622472
age_residual,2001,longline,7,0.34007423,0.339687912386172,0.000386317613827847,0.000386317613827847
age_residual,2001,longline,8,0.31309896,0.294200249455841,0.0188987105441591,0.0188987105441591
age_residual,2001,longline,9,0.12614454,0.129124163912389,-0.00297962391238868,0.00297962391238868
age_residual,2001,longline,10,0.02223997,0.0272581196040027,-0.00501814960400267,0.00501814960400267
age_residual,2001,purse_seine,1,0.19500212,0.189460326986209,0.00554179301379051,0.00554179301379051
age_residual,2001,purse_seine,2,0.42353396,0.423174389238909,0.000359570761091388,0.000359570761091388
age_residual,2001,purse_seine,3,0.30375569,0.291191684632651,0.0125640053673488,0.0125640053673488
age_residual,2001,purse_seine,4,0.07193626,0.080620567438796,-0.00868430743879604,0.00868430743879604
age_residual,2001,purse_seine,5,0.00562547,0.0101433225084983,-0.00451785250849831,0.00451785250849831
age_residual,2001,purse_seine,6,0.00014526,0.00308419738747633,-0.00293893738747633,0.00293893738747633
age_residual,2001,purse_seine,7,1.24e-06,0.00145423855712378,-0.00145299855712378,0.00145299855712378
age_residual,2001,purse_seine,8,0,0.00055893599901088,-0.00055893599901088,0.00055893599901088
age_residual,2001,purse_seine,9,0,0.000193759831726917,-0.000193759831726917,0.000193759831726917
age_residual,2001,purse_seine,10,0,0.000118577419598397,-0.000118577419598397,0.000118577419598397
age_residual,2002,longline,1,1.99999998e-08,0.00235983999628389,-0.00235981999628409,0.00235981999628409
age_residual,2002,longline,2,2.0499999795e-06,0.00357020685284414,-0.00356815685286465,0.00356815685286465
age_residual,2002,longline,3,0.0001184299988157,0.00517762770077366,-0.00505919770195796,0.00505919770195796
age_residual,2002,longline,4,0.0029929299700707,0.00841967388962009,-0.00542674391954939,0.00542674391954939
age_residual,2002,longline,5,0.0330979796690202,0.0342843636371299,-0.0011863839681097,0.0011863839681097
age_residual,2002,longline,6,0.160171418398286,0.154679738531971,0.0054916798663153,0.0054916798663153
