field,value
objective,1749.19713554
grad_norm,0.0382252325926
iterations,161
converged,no
message,stopped before requested fixed-effect gradient tolerance; L-BFGS line search stalled; recovered with gradient restart. attempts=1
random_effects,20
log_r0,6.81757851242
r0,913.769647077
log_m_fixed,-0.798507696218
m_fixed,0.45
log_fbar,-2.08515096213
fbar,0.124288355914
log_q_longline_fixed,-9.90348755254
q_longline_fixed,5e-05
log_q_purse_seine,-10.9141329951
q_purse_seine,1.81991986502e-05
logit_sel_a50_longline,-8.28669641761
sel_a50_longline,1.00226603504
log_sel_slope_longline,-7.3978803252
sel_slope_longline,0.000612549792358
init_log_number_dev_age_1,-6.50777186677
init_number_multiplier_age_1,0.00149179995177
init_log_number_dev_age_2,-5.50541349889
init_number_multiplier_age_2,0.00406470748132
init_log_number_dev_age_3,-3.5964015123
init_number_multiplier_age_3,0.0274222236479
init_log_number_dev_age_4,-1.45557826539
init_number_multiplier_age_4,0.233265435565
init_log_number_dev_age_5,0.728637872863
init_number_multiplier_age_5,2.07225600824
init_log_number_dev_age_6,3.03397023644
init_number_multiplier_age_6,20.7795688354
init_log_number_dev_age_7,1.03175879284
init_number_multiplier_age_7,2.80599666413
init_log_number_dev_age_8,-2.32664876325
init_number_multiplier_age_8,0.0976223551372
init_log_number_dev_age_9,-0.00632643556
init_number_multiplier_age_9,0.993693534199
init_log_number_dev_age_10,-0.0345063155442
init_number_multiplier_age_10,0.966082238332
logit_sel_purse_seine_age_1,-0.0903414257635
sel_purse_seine_age_1,0.477429992036
logit_sel_purse_seine_age_2,-0.155393435149
sel_purse_seine_age_2,0.461229625905
logit_sel_purse_seine_age_3,-0.178489207215
sel_purse_seine_age_3,0.455495788245
logit_sel_purse_seine_age_4,-0.199209381565
sel_purse_seine_age_4,0.450361701553
logit_sel_purse_seine_age_5,-0.235987727256
sel_purse_seine_age_5,0.441275347903
logit_sel_purse_seine_age_6,-0.276526552955
sel_purse_seine_age_6,0.431305542781
logit_sel_purse_seine_age_7,-0.392195741605
sel_purse_seine_age_7,0.40318883255
logit_sel_purse_seine_age_8,-0.397727130286
sel_purse_seine_age_8,0.401858543541
logit_sel_purse_seine_age_9,-1.13645464343
sel_purse_seine_age_9,0.24297188726
logit_sel_purse_seine_age_10,1.94996899277
sel_purse_seine_age_10,0.875443260751
