Longline Selectivity Slope Geometry Scan
=======================================

parameter_index:       5
parameter_name:        logit_sel_longline_age_3
base_log_slope:        -6.50774241352705
base_slope:            0.00149184389076838
base_objective:        1749.38314001437

Interpretation
--------------
This scan holds all fixed effects at the Level 6 fit except longline
log-selectivity-slope. For each slope multiplier, random effects are
re-solved and the profiled Laplace objective is evaluated. Failed rows
mark local Huu/Laplace stability boundaries.

Rows
----
step_index,multiplier,log_sel_slope_longline,sel_slope_longline,objective,delta_objective,status,message
0,0.4,-7.4240331454012,0.000596737556307352,1750.77489375581,1.39175374144497,ok,ok
1,0.5,-7.20088959408699,0.00074592194538419,1750.21650714405,0.833367129681619,ok,ok
2,0.6,-7.01856803729304,0.000895106334461028,1749.85372746078,0.470587446415493,ok,ok
3,0.7,-6.86441735746578,0.00104429072353787,1749.62056852326,0.237428508894936,ok,ok
4,0.75,-6.79542448597883,0.00111888291807629,1749.54005272531,0.15691271093624,ok,ok
5,0.8,-6.73088596484126,0.0011934751126147,1749.47897051535,0.095830500978991,ok,ok
6,0.85,-6.67026134302482,0.00126806730715312,1749.43470264685,0.0515626324852292,ok,ok
7,0.9,-6.61310292918488,0.00134265950169154,1749.4051076166,0.0219676022347812,ok,ok
8,0.95,-6.5590357079146,0.00141725169622996,1749.38841377139,0.00527375702449717,ok,ok
9,0.975,-6.53306022151134,0.00145454779349917,1749.38443233042,0.00129231605001223,ok,ok
10,1,-6.50774241352705,0.00149184389076838,1749.38314001437,0,ok,ok
11,1.025,-6.48304980093668,0.00152913998803759,1749.38438737226,0.00124735789108854,ok,ok
12,1.05,-6.45895224935762,0.0015664360853068,1749.38803651364,0.00489649927385472,ok,ok
13,1.1,-6.41243223372272,0.00164102827984522,1749.40203967809,0.0188996637211858,ok,ok
14,1.15,-6.36798047115189,0.00171562047438364,1749.42423749018,0.0410974758069642,ok,ok
15,1.2,-6.32542085673309,0.00179021266892206,1749.45384247715,0.0707024627793089,ok,ok
16,1.3,-6.24537814905956,0.00193939705799889,1749.53262325527,0.1494832409021,ok,ok
17,1.4,-6.17127017690584,0.00208858144707573,1749.63386366362,0.250723649249949,ok,ok
18,1.6,-6.03773878428131,0.00238695022522941,1749.89038096149,0.507240947122909,ok,ok
19,1.8,-5.91995574862493,0.00268531900338308,1750.20294764719,0.819807632821494,ok,ok
20,2,-5.8145952329671,0.00298368778153676,1750.55803201259,1.17489199822239,ok,ok
