field,value
objective,223.518234356
joint_objective,217.195590401
laplace_logdet,49.4028292392
laplace_constant,18.3787706641
grad_norm,0.642443306938
iterations,151
converged,no
message,stopped before requested fixed-effect gradient tolerance; L-BFGS line search stalled; recovered with gradient restart. attempts=1
laplace,yes
random_effects,20
log_r0,8.05059931217
r0,3135.67365566
log_fbar,-3.30995950982
fbar,0.0365176523302
log_q,-11.6625808183
q,8.61004667709e-06
logit_sel_a50,-11.726926495
sel_a50,1.00007266069
log_sel_slope,-1.46983855589
sel_slope,0.229962608299
