field,value
objective,1730.40618009
grad_norm,0.00893803711689
iterations,100
converged,no
message,stopped before requested fixed-effect gradient tolerance
random_effects,20
log_r0,6.84888445204
r0,942.828549334
log_m_fixed,-0.798507696218
m_fixed,0.45
log_fbar,-2.11110035896
fbar,0.12110463452
log_q_longline_fixed,-9.90348755254
q_longline_fixed,5e-05
log_q_purse_seine,-10.9542071528
q_purse_seine,1.74843012194e-05
logit_sel_a50_longline,-9.02902926041
sel_a50_longline,1.00107877995
log_sel_slope_longline,-8.2352518867
sel_slope_longline,0.000265140181062
init_log_number_dev_age_1,-7.40064224348
init_number_multiplier_age_1,0.000610860314066
init_log_number_dev_age_2,-6.1311168517
init_number_multiplier_age_2,0.00217415139954
init_log_number_dev_age_3,-3.75970213192
init_number_multiplier_age_3,0.0232906768909
init_log_number_dev_age_4,-1.54853242781
init_number_multiplier_age_4,0.212559691729
init_log_number_dev_age_5,0.509200592095
init_number_multiplier_age_5,1.66396047996
init_log_number_dev_age_6,3.1138843362
init_number_multiplier_age_6,22.5083046396
init_log_number_dev_age_7,0.890253225701
init_number_multiplier_age_7,2.43574636678
init_log_number_dev_age_8,-2.42959521793
init_number_multiplier_age_8,0.0880724755274
init_log_number_dev_age_9,0.000218032314576
init_number_multiplier_age_9,1.00021805609
init_log_number_dev_age_10,-0.0275956195278
init_number_multiplier_age_10,0.972781661183
logit_sel_purse_seine_age_1,-0.0820163680166
sel_purse_seine_age_1,0.479507393983
logit_sel_purse_seine_age_2,-0.144865113728
sel_purse_seine_age_2,0.46384692487
logit_sel_purse_seine_age_3,-0.168926037337
sel_purse_seine_age_3,0.457868631464
logit_sel_purse_seine_age_4,-0.191768585867
sel_purse_seine_age_4,0.452204238687
logit_sel_purse_seine_age_5,-0.230514873126
sel_purse_seine_age_5,0.442625118269
logit_sel_purse_seine_age_6,-0.287513401616
sel_purse_seine_age_6,0.428612736212
logit_sel_purse_seine_age_7,-0.341008068014
sel_purse_seine_age_7,0.415564626093
logit_sel_purse_seine_age_8,-0.271973994585
sel_purse_seine_age_8,0.432422546573
logit_sel_purse_seine_age_9,-1.13559610203
sel_purse_seine_age_9,0.243129839247
logit_sel_purse_seine_age_10,1.94894939849
sel_purse_seine_age_10,0.87533203922
