section,year,fleet,age,observed,predicted,residual,abs_residual
age_residual,2001,longline,1,2e-08,0.00119587669264062,-0.00119585669264062,0.00119585669264062
age_residual,2001,longline,2,2.12e-06,0.00166972887951546,-0.00166760887951546,0.00166760887951546
age_residual,2001,longline,3,0.00012188,0.00233666952916066,-0.00221478952916066,0.00221478952916066
age_residual,2001,longline,4,0.00306002,0.00500823688758005,-0.00194821688758004,0.00194821688758004
age_residual,2001,longline,5,0.03361977,0.0321375518224135,0.00148221817758651,0.00148221817758651
age_residual,2001,longline,6,0.16163849,0.154952263892621,0.00668622610737885,0.00668622610737885
age_residual,2001,longline,7,0.34007423,0.346805982394629,-0.00673175239462942,0.00673175239462942
age_residual,2001,longline,8,0.31309896,0.287507612602947,0.0255913473970531,0.0255913473970531
age_residual,2001,longline,9,0.12614454,0.137855112806968,-0.0117105728069682,0.0117105728069682
age_residual,2001,longline,10,0.02223997,0.0305309644915237,-0.00829099449152369,0.00829099449152369
age_residual,2001,purse_seine,1,0.19500212,0.186068148986683,0.00893397101331719,0.00893397101331719
age_residual,2001,purse_seine,2,0.42353396,0.414485944326179,0.0090480156738208,0.0090480156738208
age_residual,2001,purse_seine,3,0.30375569,0.317709884798499,-0.0139541947984991,0.0139541947984991
age_residual,2001,purse_seine,4,0.07193626,0.0689549604406576,0.0029812995593424,0.0029812995593424
age_residual,2001,purse_seine,5,0.00562547,0.0081668440808439,-0.0025413740808439,0.0025413740808439
age_residual,2001,purse_seine,6,0.00014526,0.00252411615779355,-0.00237885615779355,0.00237885615779355
age_residual,2001,purse_seine,7,1.24e-06,0.00125375173099835,-0.00125251173099835,0.00125251173099835
age_residual,2001,purse_seine,8,0,0.000520533855371031,-0.000520533855371031,0.000520533855371031
age_residual,2001,purse_seine,9,0,0.000189606638363316,-0.000189606638363316,0.000189606638363316
age_residual,2001,purse_seine,10,0,0.000126208984610912,-0.000126208984610912,0.000126208984610912
age_residual,2002,longline,1,1.99999998e-08,0.00121115564595709,-0.00121113564595729,0.00121113564595729
age_residual,2002,longline,2,2.0499999795e-06,0.00166469756314883,-0.00166264756316933,0.00166264756316933
age_residual,2002,longline,3,0.0001184299988157,0.00232752412882228,-0.00220909413000658,0.00220909413000658
age_residual,2002,longline,4,0.0029929299700707,0.00490277011196955,-0.00190984014189885,0.00190984014189885
age_residual,2002,longline,5,0.0330979796690202,0.0322716366358464,0.00082634303317377,0.00082634303317377
age_residual,2002,longline,6,0.160171418398286,0.156300855116407,0.00387056328187874,0.00387056328187874
age_residual,2002,longline,7,0.339193546608065,0.349501779885941,-0.0103082332778762,0.0103082332778762
age_residual,2002,longline,8,0.314332336856677,0.277567788809501,0.0367645480471758,0.0367645480471758
age_residual,2002,longline,9,0.127470438725296,0.145582771132196,-0.0181123324069003,0.0181123324069003
age_residual,2002,longline,10,0.0226208497737915,0.0286690209702112,-0.00604817119641965,0.00604817119641965
age_residual,2002,purse_seine,1,0.194280648057194,0.188731639363268,0.00554900869392527,0.00554900869392527
age_residual,2002,purse_seine,2,0.423199145768009,0.413864629457774,0.00933451631023491,0.00933451631023491
age_residual,2002,purse_seine,3,0.304401876955981,0.316947070769063,-0.0125451938130816,0.0125451938130816
age_residual,2002,purse_seine,4,0.0722998092770019,0.0676053864346061,0.00469442284239584,0.00469442284239584
age_residual,2002,purse_seine,5,0.0056704099432959,0.00821337371213346,-0.00254296376883756,0.00254296376883756
age_residual,2002,purse_seine,6,0.0001468499985315,0.00254995128618953,-0.00240310128765803,0.00240310128765803
age_residual,2002,purse_seine,7,1.2599999874e-06,0.00126541644942784,-0.00126415644944044,0.00126415644944044
age_residual,2002,purse_seine,8,0,0.000503301027607017,-0.000503301027607017,0.000503301027607017
age_residual,2002,purse_seine,9,0,0.000200539422961299,-0.000200539422961299,0.000200539422961299
age_residual,2002,purse_seine,10,0,0.000118692076969861,-0.000118692076969861,0.000118692076969861
age_residual,2003,longline,1,1e-08,0.00119905529754951,-0.00119904529754951,0.00119904529754951
age_residual,2003,longline,2,1.98e-06,0.00168680694116123,-0.00168482694116123,0.00168482694116123
age_residual,2003,longline,3,0.00011508,0.00232166768334626,-0.00220658768334626,0.00220658768334626
age_residual,2003,longline,4,0.00292717,0.00488601623646395,-0.00195884623646395,0.00195884623646395
age_residual,2003,longline,5,0.03258263,0.0316077904537362,0.000974839546263803,0.000974839546263803
age_residual,2003,longline,6,0.15870965,0.157031230666615,0.00167841933338542,0.00167841933338542
age_residual,2003,longline,7,0.33829803,0.352719361250737,-0.0144213312507374,0.0144213312507374
age_residual,2003,longline,8,0.31555461,0.279864850158549,0.0356897598414513,0.0356897598414513
age_residual,2003,longline,9,0.12880376,0.140619703670614,-0.0118159436706143,0.0118159436706143
age_residual,2003,longline,10,0.02300708,0.0280635176412279,-0.0050564376412279,0.0050564376412279
age_residual,2003,purse_seine,1,0.19356058,0.186392759387929,0.00716782061207061,0.00716782061207061
age_residual,2003,purse_seine,2,0.42286186,0.41834387842818,0.00451798157181982,0.00451798157181982
age_residual,2003,purse_seine,3,0.30504745,0.315382562854893,-0.0103351128548935,0.0103351128548935
age_residual,2003,purse_seine,4,0.07266471,0.0672109055488216,0.00545380445117839,0.00545380445117839
age_residual,2003,purse_seine,5,0.00571567,0.00802490318672907,-0.00230923318672907,0.00230923318672907
age_residual,2003,purse_seine,6,0.00014846,0.00255565152475761,-0.00240719152475761,0.00240719152475761
age_residual,2003,purse_seine,7,1.27e-06,0.00127396780974343,-0.00127269780974343,0.00127269780974343
age_residual,2003,purse_seine,8,0,0.000506235012843344,-0.000506235012843344,0.000506235012843344
age_residual,2003,purse_seine,9,0,0.000193232880925478,-0.000193232880925478,0.000193232880925478
age_residual,2003,purse_seine,10,0,0.000115903365176449,-0.000115903365176449,0.000115903365176449
age_residual,2004,longline,1,1e-08,0.00118083122837233,-0.00118082122837233,0.00118082122837233
age_residual,2004,longline,2,1.91e-06,0.00166776918926951,-0.00166585918926951,0.00166585918926951
age_residual,2004,longline,3,0.00011181,0.00234942402019652,-0.00223761402019652,0.00223761402019652
age_residual,2004,longline,4,0.00286271,0.00486734446786608,-0.00200463446786608,0.00200463446786608
age_residual,2004,longline,5,0.03207369,0.0314585590587776,0.000615130941222404,0.000615130941222404
age_residual,2004,longline,6,0.15725327,0.153599744607802,0.00365352539219793,0.00365352539219793
age_residual,2004,longline,7,0.33738781,0.353903854182102,-0.0165160441821017,0.0165160441821017
age_residual,2004,longline,8,0.31676562,0.282071739393869,0.0346938806061309,0.0346938806061309
age_residual,2004,longline,9,0.13014445,0.141597889984656,-0.0114534399846562,0.0114534399846562
