field,value
objective,1737.49291309
grad_norm,0.0265515011507
iterations,211
converged,no
message,stopped before requested fixed-effect gradient tolerance; L-BFGS line search stalled; recovered with gradient restart. attempts=2
random_effects,20
log_r0,6.76567284216
r0,867.549735492
log_m_fixed,-0.798507696218
m_fixed,0.45
log_fbar,-2.67217151567
fbar,0.0691020061773
log_q_longline_fixed,-9.90348755254
q_longline_fixed,5e-05
log_q_purse_seine,-10.7603120486
q_purse_seine,2.12253985497e-05
logit_sel_a50_longline,-8.99008605287
sel_a50_longline,1.00112161451
log_sel_slope_longline,-8.19997446725
sel_slope_longline,0.000274660582723
init_log_number_dev_age_1,-7.30053830303
init_number_multiplier_age_1,0.00067517522848
init_log_number_dev_age_2,-5.91984978065
init_number_multiplier_age_2,0.00268560357629
init_log_number_dev_age_3,-3.65416268084
init_number_multiplier_age_3,0.0258831608788
init_log_number_dev_age_4,-1.38553443324
init_number_multiplier_age_4,0.250190054175
init_log_number_dev_age_5,1.04345870299
init_number_multiplier_age_5,2.83901937765
init_log_number_dev_age_6,3.17171308778
init_number_multiplier_age_6,23.8483036204
init_log_number_dev_age_7,1.63775372823
init_number_multiplier_age_7,5.14360259655
init_log_number_dev_age_8,-2.14574106741
init_number_multiplier_age_8,0.116981313875
init_log_number_dev_age_9,0.0172535757032
init_number_multiplier_age_9,1.01740327837
init_log_number_dev_age_10,-0.0105078684956
init_number_multiplier_age_10,0.98954714629
logit_sel_purse_seine_age_1,-0.0761610104551
sel_purse_seine_age_1,0.480968945632
logit_sel_purse_seine_age_2,-0.138812835745
sel_purse_seine_age_2,0.465352408584
logit_sel_purse_seine_age_3,-0.183494846458
sel_purse_seine_age_3,0.454254571828
logit_sel_purse_seine_age_4,-0.215488720656
sel_purse_seine_age_4,0.446335320985
logit_sel_purse_seine_age_5,-0.255431517731
sel_purse_seine_age_5,0.436487072094
logit_sel_purse_seine_age_6,-0.278222783211
sel_purse_seine_age_6,0.430889538179
logit_sel_purse_seine_age_7,-0.42718598477
sel_purse_seine_age_7,0.394798492235
logit_sel_purse_seine_age_8,-0.398593252792
sel_purse_seine_age_8,0.401650372894
logit_sel_purse_seine_age_9,-1.28754733932
sel_purse_seine_age_9,0.216268238398
logit_sel_purse_seine_age_10,1.2441319283
sel_purse_seine_age_10,0.776282417191
