section,name,value,note
prior_block,initial_numbers_prior_nll,0.513644062938736,sigma=0.75
prior_block,longline_selectivity_prior_nll,32.9035140322319,sigma=1.0 around template logits
prior_block,purse_seine_selectivity_prior_nll,7.74632640267793,sigma=1.0 around template logits
prior_block,recruitment_prior_nll,0.139203108333037,sigma=0.35
prior_block,total_flexible_prior_nll,41.3026876061816,sum of diagnostic blocks
initial_stress,max_abs_init_log_dev,0.430211383587548,age 9
initial_stress,min_init_multiplier,0.650371602309473,age 9
initial_stress,max_init_multiplier,1.01693442295691,age 1
age_parameter,age,init_log_dev,init_multiplier,ll_logit,ll_selectivity,ll_template,ll_logit_minus_template,ps_logit,ps_selectivity,ps_template,ps_logit_minus_template
age_parameter,1,0.0167926341191095,1.01693442295691,-8.96029666831198,0.000128391666916098,0.001,-2.05354188966342,-1.28551129646537,0.21661353946147,0.2,0.100783064654524
age_parameter,2,-0.011012332724687,0.989048081042468,-8.14834890306796,0.000289128863798382,0.005,-2.85504407834347,1.25424873922653,0.77803447166883,0.9,-0.942975838109691
age_parameter,3,-0.0768595049213829,0.926019945712705,-7.29451198690085,0.000678795256535706,0.03,-3.81841329706558,6.88460484039033,0.998977625828771,1,-0.0221499382582229
age_parameter,4,-0.140605435822952,0.8688320540807,-6.00911840551834,0.00245023425060227,0.12,-4.01668824082813,-0.564574036769796,0.362489777853855,0.8,-1.95086839788969
age_parameter,5,-0.185688726478163,0.830532077395209,-3.63721183627454,0.0256503792354834,0.35,-3.01817262786831,-2.58039588559772,0.0704108145334302,0.45,-2.37972519013557
age_parameter,6,-0.217136722490898,0.804819924797551,-1.38506709931658,0.200196434186727,0.7,-2.23236495970378,-3.30948510420573,0.0352472239746016,0.2,-1.92319074308584
age_parameter,7,-0.256825711391288,0.773503014782248,1.00523996251984,0.732087569597943,0.95,-1.9391990166466,-3.52724026784054,0.0285470213326031,0.08,-1.08489323247134
age_parameter,8,-0.289305648800659,0.74878330570365,3.94340457579597,0.980986409182724,0.9,1.74617999845975,-3.93108920927575,0.0192446637929531,0.03,-0.454990519440479
age_parameter,9,-0.430211383587548,0.650371602309473,1.74086448896552,0.850796838345667,0.6,1.33539938085735,-4.3578876446562,0.0126435034452411,0.015,-0.173296204586322
age_parameter,10,-0.367969205600908,0.692138495349611,-2.18967191193985,0.100681796396735,0.12,-0.197241747249649,-5.39874738872413,0.0045018834014151,0.005,-0.105442563999638
