age,mean_abs_lambda_0,mean_abs_lambda_0.01,delta_mean_abs_0.01_minus_0,max_abs_lambda_0,max_abs_lambda_0.01,mean_selectivity_lambda_0,mean_selectivity_lambda_0.01,delta_selectivity_0.01_minus_0
1,0.0011517158840797118,0.0011519512810734274,2.3539699371558434e-07,0.00119552955544899,0.00119545545920908,0.00011986443860651998,0.00011950304362687902,-3.613949796409593e-07
2,0.001598138635284557,0.00159482994737944,-3.3086879051170276e-06,0.00163743431729352,0.00163357322803083,0.00026506990038066206,0.00026366400524770195,-1.4058951329601094e-06
3,0.0021321579677613983,0.0021298501190572462,-2.307848704152099e-06,0.00216660771367048,0.00216440524639078,0.0006104873915458079,0.0006078110434560429,-2.6763480897649787e-06
4,0.0022429770470015317,0.002276713119554691,3.373607255315915e-05,0.0027097165800366,0.00274380033345898,0.0021694347200104306,0.00217726239937023,7.8276793597995e-06
5,0.002506330495705637,0.002500262395589158,-6.0681001164790416e-06,0.00572362152036252,0.00570701887322185,0.02276056785900891,0.022664037051581206,-9.653080742770548e-05
6,0.006345194401622766,0.006348141458505594,2.947056882827981e-06,0.013054267556017,0.0130645609908716,0.175298332262896,0.17466130349486508,-0.0006370287680309283
7,0.005099546077150604,0.005193337704897388,9.379162774678356e-05,0.0112439306182112,0.0115065188208898,0.6246190559051039,0.6227668734059821,-0.0018521824991217795
8,0.012226719887223004,0.012638738684458431,0.0004120187972354271,0.0200440000354969,0.0204491228174913,0.957461841024666,0.9524476788773107,-0.005014162147355283
9,0.006115983346534831,0.006098970029962783,-1.7013316572048708e-05,0.0121166550324446,0.0119638978721335,0.708942426697117,0.7066629075236572,-0.0022795191734598097
10,0.0023739444871618033,0.002366514537267819,-7.429949893984419e-06,0.00732660425379352,0.00731101370665158,0.08094357453964422,0.08064925553234217,-0.0002943190073020491
