section,metric,target,value,extra
summary,available,,yes,
summary,positive_definite,,yes,
summary,covariance_available,,yes,
summary,min_eigenvalue,,2.56729673955225,
summary,max_eigenvalue,,2106.40148345695,
summary,condition_number_abs,,820.474490153532,
fixed_effect,gradient,log_r0,-0.0131191696762698,index=0
fixed_effect,gradient,log_fbar,-0.0328611509503594,index=1
fixed_effect,gradient,log_q_longline,0.00476039577704593,index=2
fixed_effect,gradient,log_q_purse_seine,-0.000235160907178067,index=3
fixed_effect,gradient,logit_sel_a50_longline,0.0207658022652086,index=4
fixed_effect,gradient,log_sel_slope_longline,-0.0115294922844042,index=5
fixed_effect,gradient,logit_sel_a50_purse_seine,0.000258802600346423,index=6
fixed_effect,gradient,log_sel_slope_purse_seine,-0.00941429935192277,index=7
eigenvalue,value,0,2.56729673955225,
eigenvalue,value,1,25.3959534001474,
eigenvalue,value,2,55.8042463145482,
eigenvalue,value,3,206.485008623924,
eigenvalue,value,4,445.953272371255,
eigenvalue,value,5,722.042408115046,
eigenvalue,value,6,1457.45119913259,
eigenvalue,value,7,2106.40148345695,
weak_direction,loading,direction_1,-0.984889886507556,parameter=logit_sel_a50_purse_seine;eigenvalue=2.56729673955225
weak_direction,loading,direction_1,0.152435023337375,parameter=log_sel_slope_purse_seine;eigenvalue=2.56729673955225
weak_direction,loading,direction_1,-0.0681013572570346,parameter=log_q_purse_seine;eigenvalue=2.56729673955225
weak_direction,loading,direction_1,-0.0446969459873647,parameter=log_fbar;eigenvalue=2.56729673955225
weak_direction,loading,direction_1,0.00693853285107406,parameter=log_q_longline;eigenvalue=2.56729673955225
weak_direction,loading,direction_1,0.00611300503862857,parameter=log_sel_slope_longline;eigenvalue=2.56729673955225
weak_direction,loading,direction_1,-0.00435920896281785,parameter=log_r0;eigenvalue=2.56729673955225
weak_direction,loading,direction_1,-0.00391771654277738,parameter=logit_sel_a50_longline;eigenvalue=2.56729673955225
weak_direction,loading,direction_2,-0.950052084849379,parameter=log_sel_slope_purse_seine;eigenvalue=25.3959534001474
weak_direction,loading,direction_2,-0.248820534800448,parameter=log_q_longline;eigenvalue=25.3959534001474
weak_direction,loading,direction_2,-0.144407116845045,parameter=logit_sel_a50_purse_seine;eigenvalue=25.3959534001474
weak_direction,loading,direction_2,-0.0897924788993105,parameter=log_fbar;eigenvalue=25.3959534001474
weak_direction,loading,direction_2,0.0588790841871315,parameter=log_r0;eigenvalue=25.3959534001474
weak_direction,loading,direction_2,-0.0460096530859093,parameter=logit_sel_a50_longline;eigenvalue=25.3959534001474
weak_direction,loading,direction_2,0.0313292684897839,parameter=log_sel_slope_longline;eigenvalue=25.3959534001474
weak_direction,loading,direction_2,-0.00284869736530472,parameter=log_q_purse_seine;eigenvalue=25.3959534001474
weak_direction,loading,direction_3,0.745911416621436,parameter=log_q_longline;eigenvalue=55.8042463145482
weak_direction,loading,direction_3,0.42267065589761,parameter=log_fbar;eigenvalue=55.8042463145482
weak_direction,loading,direction_3,0.361104071336196,parameter=log_q_purse_seine;eigenvalue=55.8042463145482
weak_direction,loading,direction_3,-0.246630471155361,parameter=log_sel_slope_purse_seine;eigenvalue=55.8042463145482
weak_direction,loading,direction_3,-0.180709962630784,parameter=log_r0;eigenvalue=55.8042463145482
weak_direction,loading,direction_3,0.136730015456627,parameter=logit_sel_a50_longline;eigenvalue=55.8042463145482
weak_direction,loading,direction_3,-0.127941604367754,parameter=log_sel_slope_longline;eigenvalue=55.8042463145482
weak_direction,loading,direction_3,-0.0776060159395633,parameter=logit_sel_a50_purse_seine;eigenvalue=55.8042463145482
correlation,value,log_r0_vs_log_r0,1,
correlation,value,log_r0_vs_log_fbar,-0.392054397861814,
correlation,value,log_r0_vs_log_q_longline,-0.549837235191013,
correlation,value,log_r0_vs_log_q_purse_seine,-0.327697037392136,
correlation,value,log_r0_vs_logit_sel_a50_longline,-0.248838958866591,
correlation,value,log_r0_vs_log_sel_slope_longline,0.0703661617650259,
correlation,value,log_r0_vs_logit_sel_a50_purse_seine,0.0563904539078521,
correlation,value,log_r0_vs_log_sel_slope_purse_seine,-0.170692469637921,
correlation,value,log_fbar_vs_log_r0,-0.392054397861814,
correlation,value,log_fbar_vs_log_fbar,1,
correlation,value,log_fbar_vs_log_q_longline,0.783082714883588,
correlation,value,log_fbar_vs_log_q_purse_seine,0.683518926865093,
correlation,value,log_fbar_vs_logit_sel_a50_longline,0.511217184646552,
correlation,value,log_fbar_vs_log_sel_slope_longline,-0.175777817794545,
correlation,value,log_fbar_vs_logit_sel_a50_purse_seine,0.394275659592027,
correlation,value,log_fbar_vs_log_sel_slope_purse_seine,-0.0767391353546534,
correlation,value,log_q_longline_vs_log_r0,-0.549837235191014,
correlation,value,log_q_longline_vs_log_fbar,0.783082714883588,
