field,value
objective,216.47598052
joint_objective,209.918472301
laplace_logdet,49.8725577665
laplace_constant,18.3787706641
grad_norm,0.160755797004
iterations,105
converged,no
message,stopped before requested fixed-effect gradient tolerance; L-BFGS line search stalled; recovered with gradient restart. attempts=1
laplace,yes
random_effects,20
log_r0,7.79778380504
r0,2435.19911692
log_fbar,-3.0793931662
fbar,0.0459871547432
log_q,-11.3922572137
q,1.1282505546e-05
logit_sel_a50,-11.4568428154
sel_a50,1.00009519065
log_sel_slope,-1.72564730765
sel_slope,0.178057756313
