section,metric,target,value,extra
summary,available,,yes,
summary,positive_definite,,yes,
summary,covariance_available,,yes,
summary,min_eigenvalue,,3.43277055692726,
summary,max_eigenvalue,,1187.23338291891,
summary,condition_number_abs,,345.852821570932,
fixed_effect,gradient,log_r0,0.084478838294876,index=0
fixed_effect,gradient,log_fbar,0.123835641337317,index=1
fixed_effect,gradient,log_q_longline,-0.0550068444980507,index=2
fixed_effect,gradient,log_q_purse_seine,0.00111718305979314,index=3
fixed_effect,gradient,logit_sel_a50,-0.00832453479102629,index=4
fixed_effect,gradient,log_sel_slope,-0.0165585979524817,index=5
eigenvalue,value,0,3.43277055692726,
eigenvalue,value,1,12.0262547280883,
eigenvalue,value,2,29.2527552033155,
eigenvalue,value,3,500.999936825454,
eigenvalue,value,4,696.719716462713,
eigenvalue,value,5,1187.23338291891,
weak_direction,loading,direction_1,-0.526634836367239,parameter=log_fbar;eigenvalue=3.43277055692726
weak_direction,loading,direction_1,-0.498041820090488,parameter=log_q_longline;eigenvalue=3.43277055692726
weak_direction,loading,direction_1,-0.498041818851449,parameter=log_q_purse_seine;eigenvalue=3.43277055692726
weak_direction,loading,direction_1,0.456030096368814,parameter=log_r0;eigenvalue=3.43277055692726
weak_direction,loading,direction_1,-0.132536661939474,parameter=logit_sel_a50;eigenvalue=3.43277055692726
weak_direction,loading,direction_1,0.032171815123483,parameter=log_sel_slope;eigenvalue=3.43277055692726
weak_direction,loading,direction_2,-0.759833372662791,parameter=logit_sel_a50;eigenvalue=12.0262547280883
weak_direction,loading,direction_2,0.634903586683284,parameter=log_sel_slope;eigenvalue=12.0262547280883
weak_direction,loading,direction_2,0.0872502518418504,parameter=log_q_purse_seine;eigenvalue=12.0262547280883
weak_direction,loading,direction_2,0.0872502515685877,parameter=log_q_longline;eigenvalue=12.0262547280883
weak_direction,loading,direction_2,-0.0652150138903559,parameter=log_r0;eigenvalue=12.0262547280883
weak_direction,loading,direction_2,0.00851296203575883,parameter=log_fbar;eigenvalue=12.0262547280883
weak_direction,loading,direction_3,-0.771541571509516,parameter=log_sel_slope;eigenvalue=29.2527552033155
weak_direction,loading,direction_3,-0.632854650902237,parameter=logit_sel_a50;eigenvalue=29.2527552033155
weak_direction,loading,direction_3,0.041419356322286,parameter=log_q_longline;eigenvalue=29.2527552033155
weak_direction,loading,direction_3,0.0414193559521613,parameter=log_q_purse_seine;eigenvalue=29.2527552033155
weak_direction,loading,direction_3,-0.0255005336826214,parameter=log_r0;eigenvalue=29.2527552033155
weak_direction,loading,direction_3,0.0117128527819732,parameter=log_fbar;eigenvalue=29.2527552033155
correlation,value,log_r0_vs_log_r0,1,
correlation,value,log_r0_vs_log_fbar,-0.98494390809066,
correlation,value,log_r0_vs_log_q_longline,-0.977602619844662,
correlation,value,log_r0_vs_log_q_purse_seine,-0.977602619778867,
correlation,value,log_r0_vs_logit_sel_a50,-0.200962032144472,
correlation,value,log_r0_vs_log_sel_slope,0.0260095625400309,
correlation,value,log_fbar_vs_log_r0,-0.98494390809066,
correlation,value,log_fbar_vs_log_fbar,1,
correlation,value,log_fbar_vs_log_q_longline,0.979192700889792,
correlation,value,log_fbar_vs_log_q_purse_seine,0.979192700779129,
correlation,value,log_fbar_vs_logit_sel_a50,0.264117516109105,
correlation,value,log_fbar_vs_log_sel_slope,-0.0718948097297666,
correlation,value,log_q_longline_vs_log_r0,-0.977602619844662,
correlation,value,log_q_longline_vs_log_fbar,0.979192700889792,
correlation,value,log_q_longline_vs_log_q_longline,1,
correlation,value,log_q_longline_vs_log_q_purse_seine,0.973129777125315,
correlation,value,log_q_longline_vs_logit_sel_a50,0.182442108049532,
correlation,value,log_q_longline_vs_log_sel_slope,-0.0183265414204613,
correlation,value,log_q_purse_seine_vs_log_r0,-0.977602619778867,
correlation,value,log_q_purse_seine_vs_log_fbar,0.979192700779129,
correlation,value,log_q_purse_seine_vs_log_q_longline,0.973129777125315,
correlation,value,log_q_purse_seine_vs_log_q_purse_seine,1,
correlation,value,log_q_purse_seine_vs_logit_sel_a50,0.18244210767807,
correlation,value,log_q_purse_seine_vs_log_sel_slope,-0.0183265409158358,
correlation,value,logit_sel_a50_vs_log_r0,-0.200962032144472,
correlation,value,logit_sel_a50_vs_log_fbar,0.264117516109105,
correlation,value,logit_sel_a50_vs_log_q_longline,0.182442108049532,
correlation,value,logit_sel_a50_vs_log_q_purse_seine,0.18244210767807,
correlation,value,logit_sel_a50_vs_logit_sel_a50,1,
correlation,value,logit_sel_a50_vs_log_sel_slope,-0.409984018709185,
correlation,value,log_sel_slope_vs_log_r0,0.0260095625400306,
correlation,value,log_sel_slope_vs_log_fbar,-0.0718948097297663,
correlation,value,log_sel_slope_vs_log_q_longline,-0.018326541420461,
correlation,value,log_sel_slope_vs_log_q_purse_seine,-0.0183265409158355,
correlation,value,log_sel_slope_vs_logit_sel_a50,-0.409984018709185,
correlation,value,log_sel_slope_vs_log_sel_slope,1,
