metric,target,value,extra
random_effects,,20,
total_entries,,400,
structural_nonzeros,,362,
structural_density,,0.905,
positive_definite,,yes,
min_eigenvalue,,8.16326632957498,
max_eigenvalue,,98.3073762513863,
condition_number,,12.0426520809722,
effective_sparsity_entries,90%,184,compression_vs_structural=1.96739130434783
effective_sparsity_entries,95%,219,compression_vs_structural=1.65296803652968
effective_sparsity_entries,97%,241,compression_vs_structural=1.50207468879668
effective_sparsity_entries,98%,256,compression_vs_structural=1.4140625
effective_sparsity_entries,99%,280,compression_vs_structural=1.29285714285714
effective_sparsity_entries,99.5%,299,compression_vs_structural=1.21070234113712
effective_sparsity_entries,99.9%,333,compression_vs_structural=1.08708708708709
effective_sparsity_entries,100%,362,compression_vs_structural=1
effective_bandwidth,90%,7,
effective_bandwidth,95%,8,
effective_bandwidth,97%,9,
effective_bandwidth,98%,10,
effective_bandwidth,99%,11,
effective_bandwidth,99.5%,12,
effective_bandwidth,99.9%,14,
effective_bandwidth,100%,19,
