year,fleet,catch_mt,index,age_comp_1,age_comp_2,age_comp_3,age_comp_4,age_comp_5,age_comp_6,age_comp_7,age_comp_8,age_comp_9,age_comp_10
2001,longline,420,0.520000,0.00213150,0.01276402,0.05041048,0.13130662,0.22557173,0.25557301,0.19097547,0.09411794,0.03059141,0.00655781
2001,purse_seine,680,0.460000,0.07995002,0.20319910,0.29835202,0.25306972,0.12400962,0.03510545,0.00574113,0.00054241,0.00002960,0.00000093
2002,longline,435,0.519855,0.00207617,0.01250094,0.04964264,0.13001671,0.22458241,0.25584951,0.19223200,0.09525748,0.03113183,0.00671031
2002,purse_seine,700,0.442865,0.07916678,0.20208194,0.29799981,0.25386830,0.12494099,0.03552265,0.00583458,0.00055363,0.00003035,0.00000096
2003,longline,450,0.519019,0.00202213,0.01224243,0.04888302,0.12873032,0.22358155,0.25610811,0.19348307,0.09640396,0.03167955,0.00686587
2003,purse_seine,720,0.426433,0.07838883,0.20096480,0.29763895,0.25466164,0.12587552,0.03594372,0.00592937,0.00056507,0.00003111,0.00000099
2004,longline,465,0.516963,0.00196936,0.01198840,0.04813161,0.12744762,0.22256935,0.25634877,0.19472844,0.09755731,0.03223462,0.00702453
2004,purse_seine,745,0.410755,0.07761616,0.19984773,0.29726945,0.25544966,0.12681317,0.03636867,0.00602552,0.00057672,0.00003189,0.00000102
2005,longline,485,0.513310,0.00191782,0.01173882,0.04738838,0.12616874,0.22154599,0.25657144,0.19596792,0.09871745,0.03279708,0.00718635
2005,purse_seine,765,0.395873,0.07684875,0.19873081,0.29689135,0.25623230,0.12775391,0.03679752,0.00612304,0.00058860,0.00003269,0.00000105
2006,longline,500,0.507867,0.00186751,0.01149361,0.04665332,0.12489382,0.22051170,0.25677608,0.19720130,0.09988430,0.03336698,0.00735138
2006,purse_seine,780,0.381811,0.07608661,0.19761408,0.29650465,0.25700947,0.12869768,0.03723028,0.00622194,0.00060070,0.00003350,0.00000108
2007,longline,515,0.500648,0.00181838,0.01125273,0.04592640,0.12362302,0.21946665,0.25696265,0.19842835,0.10105777,0.03394439,0.00751966
2007,purse_seine,800,0.368584,0.07532972,0.19649761,0.29610939,0.25778110,0.12964446,0.03766698,0.00632225,0.00061304,0.00003434,0.00000111
2008,longline,530,0.491863,0.00177042,0.01101611,0.04520760,0.12235647,0.21841106,0.25713110,0.19964887,0.10223777,0.03452933,0.00769125
2008,purse_seine,815,0.356188,0.07457807,0.19538145,0.29570559,0.25854713,0.13059420,0.03810764,0.00642398,0.00062561,0.00003520,0.00000114
2009,longline,545,0.481891,0.00172361,0.01078371,0.04449690,0.12109430,0.21734514,0.25728142,0.20086265,0.10342421,0.03512186,0.00786620
2009,purse_seine,830,0.344610,0.07383165,0.19426567,0.29529327,0.25930747,0.13154686,0.03855227,0.00652715,0.00063841,0.00003607,0.00000118
2010,longline,555,0.471238,0.00167791,0.01055545,0.04379426,0.11983665,0.21626907,0.25741357,0.20206949,0.10461701,0.03572203,0.00804456
2010,purse_seine,845,0.333822,0.07309046,0.19315033,0.29487247,0.26006205,0.13250239,0.03900088,0.00663177,0.00065146,0.00003697,0.00000121
2011,longline,565,0.460477,0.00163331,0.01033130,0.04309966,0.11858366,0.21518308,0.25752753,0.20326916,0.10581605,0.03632988,0.00822638
2011,purse_seine,855,0.323785,0.07235448,0.19203549,0.29444321,0.26081081,0.13346076,0.03945351,0.00673785,0.00066476,0.00003789,0.00000125
2012,longline,575,0.450186,0.00158978,0.01011119,0.04241307,0.11733545,0.21408737,0.25762328,0.20446145,0.10702126,0.03694545,0.00841171
2012,purse_seine,865,0.314453,0.07162371,0.19092119,0.29400552,0.26155366,0.13442193,0.03991015,0.00684543,0.00067830,0.00003883,0.00000128
2013,longline,585,0.440889,0.00154730,0.00989507,0.04173446,0.11609215,0.21298214,0.25770080,0.20564617,0.10823252,0.03756878,0.00860060
2013,purse_seine,875,0.305768,0.07089813,0.18980751,0.29355942,0.26229054,0.13538583,0.04037084,0.00695451,0.00069210,0.00003979,0.00000132
2014,longline,595,0.432995,0.00150585,0.00968289,0.04106380,0.11485389,0.21186760,0.25776009,0.20682310,0.10944973,0.03819993,0.00879312
2014,purse_seine,885,0.297670,0.07017773,0.18869450,0.29310495,0.26302138,0.13635244,0.04083559,0.00706511,0.00070616,0.00004077,0.00000136
2015,longline,600,0.426759,0.00146541,0.00947458,0.04040105,0.11362079,0.21074397,0.25780112,0.20799204,0.11067280,0.03883894,0.00898930
2015,purse_seine,895,0.290090,0.06946251,0.18758222,0.29264214,0.26374610,0.13732171,0.04130440,0.00717724,0.00072048,0.00004178,0.00000140
2016,longline,605,0.422262,0.00142595,0.00927009,0.03974619,0.11239297,0.20961146,0.25782391,0.20915277,0.11190160,0.03948583,0.00918922
2016,purse_seine,900,0.282959,0.06875245,0.18647073,0.29217103,0.26446464,0.13829359,0.04177731,0.00729093,0.00073507,0.00004281,0.00000144
2017,longline,610,0.419401,0.00138746,0.00906938,0.03909917,0.11117054,0.20847028,0.25782845,0.21030509,0.11313605,0.04014066,0.00939291
2017,purse_seine,905,0.276208,0.06804754,0.18536008,0.29169163,0.26517691,0.13926803,0.04225432,0.00740619,0.00074993,0.00004387,0.00000148
2018,longline,615,0.417905,0.00134991,0.00887239,0.03845997,0.10995364,0.20732064,0.25781474,0.21144880,0.11437602,0.04080346,0.00960044
2018,purse_seine,910,0.269767,0.06734777,0.18425033,0.29120399,0.26588287,0.14024499,0.04273546,0.00752304,0.00076507,0.00004495,0.00000153
2019,longline,620,0.417372,0.00131328,0.00867906,0.03782854,0.10874236,0.20616275,0.25778280,0.21258369,0.11562139,0.04147427,0.00981186
2019,purse_seine,915,0.263570,0.06665313,0.18314154,0.29070814,0.26658242,0.14122442,0.04322073,0.00764150,0.00078049,0.00004605,0.00000157
2020,longline,625,0.417310,0.00127756,0.00848934,0.03720484,0.10753682,0.20499684,0.25773263,0.21370955,0.11687207,0.04215312,0.01002723
2020,purse_seine,920,0.257553,0.06596360,0.18203377,0.29020412,0.26727551,0.14220627,0.04371015,0.00776158,0.00079620,0.00004718,0.00000162
