metric,target,value,extra
random_effects,,20,
total_entries,,400,
structural_nonzeros,,362,
structural_density,,0.905,
positive_definite,,yes,
min_eigenvalue,,8.16326632957498,
max_eigenvalue,,98.8472269009058,
condition_number,,12.1087837772472,
effective_sparsity_entries,90%,173,compression_vs_structural=2.09248554913295
effective_sparsity_entries,95%,206,compression_vs_structural=1.75728155339806
effective_sparsity_entries,97%,227,compression_vs_structural=1.59471365638767
effective_sparsity_entries,98%,242,compression_vs_structural=1.49586776859504
effective_sparsity_entries,99%,264,compression_vs_structural=1.37121212121212
effective_sparsity_entries,99.5%,284,compression_vs_structural=1.27464788732394
effective_sparsity_entries,99.9%,317,compression_vs_structural=1.14195583596215
effective_sparsity_entries,100%,362,compression_vs_structural=1
effective_bandwidth,90%,6,
effective_bandwidth,95%,8,
effective_bandwidth,97%,9,
effective_bandwidth,98%,10,
effective_bandwidth,99%,11,
effective_bandwidth,99.5%,12,
effective_bandwidth,99.9%,14,
effective_bandwidth,100%,19,
