year,recruitment,total_biomass,ssb_proxy,depletion,Fbar,catch_obs,catch_hat,catch_log_residual,index_obs,index_hat,index_log_residual
2001,623.435289,9668.663764,8231.758066,1.000000,0.600207,1100.000000,3944.763461,-1.277079,0.490000,2.419268,-1.596815
2002,623.435289,5557.315300,4550.125741,0.552753,0.600207,1135.000000,2243.624538,-0.681460,0.481360,1.390537,-1.060830
2003,623.435289,3415.046299,2561.255552,0.311143,0.600207,1170.000000,1353.177813,-0.145452,0.472726,0.854504,-0.592005
2004,623.435289,2323.839829,1512.079662,0.183689,0.600207,1210.000000,898.803980,0.297311,0.463859,0.581465,-0.225971
2005,623.435289,1779.771891,976.630374,0.118642,0.600207,1250.000000,672.130404,0.620446,0.454592,0.445330,0.020584
2006,623.435289,1513.820512,711.805200,0.086471,0.600207,1280.000000,561.310335,0.824341,0.444839,0.378784,0.160745
2007,623.435289,1386.139934,584.124622,0.070960,0.600207,1315.000000,508.104485,0.950905,0.434616,0.346836,0.225610
2008,623.435289,1325.803090,523.787778,0.063630,0.600207,1345.000000,482.961210,1.024213,0.424025,0.331739,0.245445
2009,623.435289,1297.660366,495.645053,0.060211,0.600207,1375.000000,471.233680,1.070855,0.413251,0.324697,0.241161
2010,623.435289,1284.670444,482.655132,0.058633,0.600207,1400.000000,465.820566,1.100427,0.402530,0.321447,0.224937
2011,623.435289,1278.717013,476.701701,0.057910,0.600207,1420.000000,463.339674,1.119952,0.392131,0.319957,0.203408
2012,623.435289,1275.988487,473.973175,0.057579,0.600207,1440.000000,462.202652,1.136395,0.382319,0.319275,0.180205
2013,623.435289,1274.737972,472.722659,0.057427,0.600207,1460.000000,461.681542,1.151316,0.373328,0.318962,0.157388
2014,623.435289,1274.164846,472.149534,0.057357,0.600207,1480.000000,461.442711,1.165439,0.365333,0.318818,0.136187
2015,623.435289,1273.902176,471.886864,0.057325,0.600207,1495.000000,461.333252,1.175761,0.358425,0.318753,0.117303
2016,623.435289,1273.781791,471.766479,0.057311,0.600207,1505.000000,461.283086,1.182536,0.352611,0.318722,0.101043
2017,623.435289,1273.726618,471.711305,0.057304,0.600207,1515.000000,461.260094,1.189209,0.347805,0.318709,0.087363
2018,623.435289,1273.701331,471.686019,0.057301,0.600207,1525.000000,461.249557,1.195810,0.343836,0.318702,0.075907
2019,623.435289,1273.689742,471.674429,0.057299,0.600207,1535.000000,461.244727,1.202357,0.340471,0.318699,0.066082
2020,623.435289,1273.684430,471.669118,0.057299,0.600207,1545.000000,461.242514,1.208855,0.337431,0.318698,0.057118
