section,metric,target,value,extra
summary,available,,yes,
summary,positive_definite,,yes,
summary,covariance_available,,yes,
summary,min_eigenvalue,,2.77308776825079,
summary,max_eigenvalue,,1225.81553688157,
summary,condition_number_abs,,442.039935019722,
fixed_effect,gradient,log_r0,0.344132588519329,index=0
fixed_effect,gradient,log_fbar,0.135207618561688,index=1
fixed_effect,gradient,log_q_longline,0.045328995423758,index=2
fixed_effect,gradient,log_q_purse_seine,0.0822143425900832,index=3
fixed_effect,gradient,logit_sel_a50_longline,-0.0813696758138144,index=4
fixed_effect,gradient,log_sel_slope_longline,0.0158037400322939,index=5
fixed_effect,gradient,logit_sel_a50_purse_seine,-0.0113771255945791,index=6
fixed_effect,gradient,log_sel_slope_purse_seine,0.000660342341734413,index=7
eigenvalue,value,0,2.77308776825079,
eigenvalue,value,1,3.94474912722052,
eigenvalue,value,2,12.4164281178835,
eigenvalue,value,3,16.6707095030939,
eigenvalue,value,4,48.0620307249354,
eigenvalue,value,5,512.992151803301,
eigenvalue,value,6,763.859550129836,
eigenvalue,value,7,1225.81553688157,
weak_direction,loading,direction_1,-0.862846522017536,parameter=logit_sel_a50_purse_seine;eigenvalue=2.77308776825079
weak_direction,loading,direction_1,-0.264496691387731,parameter=log_q_purse_seine;eigenvalue=2.77308776825079
weak_direction,loading,direction_1,-0.264360155919152,parameter=log_fbar;eigenvalue=2.77308776825079
weak_direction,loading,direction_1,-0.254189945217357,parameter=log_q_longline;eigenvalue=2.77308776825079
weak_direction,loading,direction_1,0.217174008391154,parameter=log_r0;eigenvalue=2.77308776825079
weak_direction,loading,direction_1,0.0584807623683016,parameter=log_sel_slope_purse_seine;eigenvalue=2.77308776825079
weak_direction,loading,direction_1,-0.0211907672038262,parameter=logit_sel_a50_longline;eigenvalue=2.77308776825079
weak_direction,loading,direction_1,0.00222739700965282,parameter=log_sel_slope_longline;eigenvalue=2.77308776825079
weak_direction,loading,direction_2,-0.500201495495566,parameter=logit_sel_a50_purse_seine;eigenvalue=3.94474912722052
weak_direction,loading,direction_2,0.4668581872938,parameter=log_q_longline;eigenvalue=3.94474912722052
weak_direction,loading,direction_2,0.446417719275944,parameter=log_fbar;eigenvalue=3.94474912722052
weak_direction,loading,direction_2,0.420135173166857,parameter=log_q_purse_seine;eigenvalue=3.94474912722052
weak_direction,loading,direction_2,-0.391029911045211,parameter=log_r0;eigenvalue=3.94474912722052
weak_direction,loading,direction_2,0.0431992935547344,parameter=logit_sel_a50_longline;eigenvalue=3.94474912722052
weak_direction,loading,direction_2,0.0352489004044787,parameter=log_sel_slope_purse_seine;eigenvalue=3.94474912722052
weak_direction,loading,direction_2,-0.00514759845844491,parameter=log_sel_slope_longline;eigenvalue=3.94474912722052
weak_direction,loading,direction_3,0.997335513907694,parameter=log_sel_slope_purse_seine;eigenvalue=12.4164281178835
weak_direction,loading,direction_3,0.0688758452579668,parameter=logit_sel_a50_purse_seine;eigenvalue=12.4164281178835
weak_direction,loading,direction_3,-0.0181398739900951,parameter=log_q_purse_seine;eigenvalue=12.4164281178835
weak_direction,loading,direction_3,0.0121194811814208,parameter=log_q_longline;eigenvalue=12.4164281178835
weak_direction,loading,direction_3,-0.00791058201542393,parameter=log_r0;eigenvalue=12.4164281178835
weak_direction,loading,direction_3,-0.0045253147574161,parameter=log_fbar;eigenvalue=12.4164281178835
weak_direction,loading,direction_3,0.00417675496174094,parameter=logit_sel_a50_longline;eigenvalue=12.4164281178835
weak_direction,loading,direction_3,-0.00124608286489041,parameter=log_sel_slope_longline;eigenvalue=12.4164281178835
correlation,value,log_r0_vs_log_r0,1,
correlation,value,log_r0_vs_log_fbar,-0.984767491019384,
correlation,value,log_r0_vs_log_q_longline,-0.97047455917005,
correlation,value,log_r0_vs_log_q_purse_seine,-0.975423566632017,
correlation,value,log_r0_vs_logit_sel_a50_longline,-0.0829612191992638,
correlation,value,log_r0_vs_log_sel_slope_longline,-0.020515711071065,
correlation,value,log_r0_vs_logit_sel_a50_purse_seine,-0.131096680536956,
correlation,value,log_r0_vs_log_sel_slope_purse_seine,0.00642316942769009,
correlation,value,log_fbar_vs_log_r0,-0.984767491019384,
correlation,value,log_fbar_vs_log_fbar,1,
correlation,value,log_fbar_vs_log_q_longline,0.979924268870361,
correlation,value,log_fbar_vs_log_q_purse_seine,0.979286752439192,
correlation,value,log_fbar_vs_logit_sel_a50_longline,0.141067582813909,
correlation,value,log_fbar_vs_log_sel_slope_longline,-0.00681907011750717,
correlation,value,log_fbar_vs_logit_sel_a50_purse_seine,0.16078707840034,
correlation,value,log_fbar_vs_log_sel_slope_purse_seine,-0.0246069434100602,
correlation,value,log_q_longline_vs_log_r0,-0.97047455917005,
correlation,value,log_q_longline_vs_log_fbar,0.979924268870361,
