section,metric,target,value,extra
optimization,objective_value,,207.636695641162,
optimization,gradient_norm,,0.390541818415954,
optimization,max_gradient_parameter,,log_r0,
optimization,max_gradient_value,,0.344132588519329,
optimization,max_abs_gradient,,0.344132588519329,
optimization,iterations,,156,
optimization,converged,,no,
optimization,message,,stopped before requested fixed-effect gradient tolerance; L-BFGS line search stalled; recovered with gradient restart. attempts=1,
curvature,positive_definite,,yes,
curvature,min_eigenvalue,,8.16326632957498,
curvature,max_eigenvalue,,98.5107371009359,
curvature,condition_number_abs,,12.0675637819188,
spectral_structure,available,,yes,
spectral_structure,largest_eigen_share,,0.303625227567358,
spectral_structure,effective_rank_entropy,,13.0504317760483,
spectral_structure,eigen_count_for_50%,,4,
spectral_structure,eigen_count_for_90%,,17,
spectral_structure,eigen_count_for_95%,,19,
spectral_structure,eigen_count_for_99%,,20,
huu_structure,random_effects,,20,
huu_structure,total_entries,,400,
huu_structure,structural_nonzeros,,362,
huu_structure,structural_density,,0.905,
effective_sparsity,entries_required,90%,173,compression_vs_structural=2.09248554913295
effective_sparsity,entries_required,95%,207,compression_vs_structural=1.7487922705314
effective_sparsity,entries_required,97%,227,compression_vs_structural=1.59471365638767
effective_sparsity,entries_required,98%,243,compression_vs_structural=1.48971193415638
effective_sparsity,entries_required,99%,264,compression_vs_structural=1.37121212121212
effective_sparsity,entries_required,99.5%,284,compression_vs_structural=1.27464788732394
effective_sparsity,entries_required,99.9%,317,compression_vs_structural=1.14195583596215
effective_sparsity,entries_required,100%,362,compression_vs_structural=1
effective_bandwidth,bandwidth,90%,6,entry_count_if_banded=218
effective_bandwidth,bandwidth,95%,8,entry_count_if_banded=268
effective_bandwidth,bandwidth,97%,9,entry_count_if_banded=290
effective_bandwidth,bandwidth,98%,10,entry_count_if_banded=310
effective_bandwidth,bandwidth,99%,11,entry_count_if_banded=328
effective_bandwidth,bandwidth,99.5%,12,entry_count_if_banded=344
effective_bandwidth,bandwidth,99.9%,14,entry_count_if_banded=370
effective_bandwidth,bandwidth,100%,19,entry_count_if_banded=400
uncertainty,covariance_available,,yes,
uncertainty,correlation_available,,yes,
uncertainty,min_variance,,0.0725271394711157,index=0
uncertainty,max_variance,,0.122499984641817,index=19
uncertainty,max_abs_correlation,,0.316398864442644,pair=0;1
uncertainty,count_abs_corr_gt_0_5,,0,
uncertainty,count_abs_corr_gt_0_8,,0,
uncertainty,count_abs_corr_gt_0_9,,0,
parameter_influence,importance,log_rec_dev_4,19.5946823859666,index=3;sd=0.291381019407908;variance=0.0849028984711914;variance_share=0.0453299471086895;correlation_centrality=0.986569690488731;curvature_column_norm=33.8511295505271;importance_share=0.0746068253482747
parameter_influence,importance,log_rec_dev_5,19.4024581666179,index=4;sd=0.290849521024881;variance=0.0845934438804027;variance_share=0.0451647282470772;correlation_centrality=0.981507806115395;curvature_column_norm=33.6660849718942;importance_share=0.0738749309251775
parameter_influence,importance,log_rec_dev_3,19.2441403123051,index=2;sd=0.290058670157629;variance=0.084134032133612;variance_share=0.0449194467483519;correlation_centrality=0.97098565752508;curvature_column_norm=33.6611693839615;importance_share=0.0732721351118251
parameter_influence,importance,log_rec_dev_6,19.0357322026413,index=5;sd=0.290221479081247;variance=0.0842285069201067;variance_share=0.0449698871591274;correlation_centrality=0.969910962370234;curvature_column_norm=33.2961054526612;importance_share=0.0724786204667505
parameter_influence,importance,log_rec_dev_7,18.7597215728686,index=6;sd=0.290024515010962;variance=0.0841142193073437;variance_share=0.0449088686128231;correlation_centrality=0.971667173334276;curvature_column_norm=32.8063620412564;importance_share=0.071427708977393
parameter_influence,importance,log_rec_dev_8,18.4624337072161,index=7;sd=0.290304015851455;variance=0.0842764216194817;variance_share=0.044995468980567;correlation_centrality=0.976313118362913;curvature_column_norm=32.179563729902;importance_share=0.070295784334063
parameter_influence,importance,log_rec_dev_9,18.1441094239423,index=8;sd=0.290996473131453;variance=0.0846789473749442;variance_share=0.0452103788544766;correlation_centrality=0.989129019411915;curvature_column_norm=31.3462055872998;importance_share=0.0690837634531669
parameter_influence,importance,log_rec_dev_10,17.7107476888923,index=9;sd=0.291961061693371;variance=0.0852412615451203;variance_share=0.0455106003080609;correlation_centrality=1.00997736635002;curvature_column_norm=30.1801083617167;importance_share=0.0674337370509701
parameter_influence,importance,log_rec_dev_2,17.7033689454288,index=1;sd=0.283484856884439;variance=0.0803636640827909;variance_share=0.0429064343847987;correlation_centrality=0.906649730270995;curvature_column_norm=32.7533057369343;importance_share=0.0674056424580585
