year,recruitment,total_biomass,ssb_proxy,depletion,Fbar,catch_obs,catch_hat,catch_log_residual,index_obs,index_hat,index_log_residual
2001,2247.692777,34858.767384,29678.241646,1.000000,0.053401,1100.000000,1530.851173,-0.330514,0.490000,0.635699,-0.260321
2002,2247.692777,33268.661584,28232.237615,0.951277,0.053401,1135.000000,1459.139609,-0.251214,0.481360,0.606702,-0.231422
2003,2247.692777,31857.754591,26907.056371,0.906626,0.053401,1170.000000,1394.725025,-0.175694,0.472726,0.580972,-0.206186
2004,2247.692777,30628.873566,25718.373641,0.866573,0.053401,1210.000000,1337.999396,-0.100555,0.463859,0.558561,-0.185784
2005,2247.692777,29578.585276,24682.392140,0.831666,0.053401,1250.000000,1289.088325,-0.030792,0.454592,0.539408,-0.171073
2006,2247.692777,28697.036263,23804.156257,0.802074,0.053401,1280.000000,1247.771938,0.025501,0.444839,0.523331,-0.162503
2007,2247.692777,27969.253941,23076.373935,0.777552,0.053401,1315.000000,1213.516855,0.080314,0.434616,0.510059,-0.160064
2008,2247.692777,27376.987263,22484.107257,0.757596,0.053401,1345.000000,1185.568198,0.126172,0.424025,0.499259,-0.163330
2009,2247.692777,26900.540070,22007.660064,0.741542,0.053401,1375.000000,1163.054348,0.167404,0.413251,0.490570,-0.171514
2010,2247.692777,26520.688086,21627.808080,0.728743,0.053401,1400.000000,1145.095411,0.200984,0.402530,0.483643,-0.183577
2011,2247.692777,26219.787120,21326.907114,0.718604,0.053401,1420.000000,1130.869181,0.227670,0.392131,0.478155,-0.198340
2012,2247.692777,25981.427456,21088.547450,0.710573,0.053401,1440.000000,1119.599827,0.251672,0.382319,0.473808,-0.214547
2013,2247.692777,25792.610084,20899.730078,0.704211,0.053401,1460.000000,1110.672773,0.273471,0.373328,0.470365,-0.231051
2014,2247.692777,25643.037799,20750.157792,0.699171,0.053401,1480.000000,1103.601178,0.293463,0.365333,0.467637,-0.246885
2015,2247.692777,25524.553633,20631.673627,0.695178,0.053401,1495.000000,1097.999391,0.308636,0.358425,0.465477,-0.261344
2016,2247.692777,25430.696022,20537.816016,0.692016,0.053401,1505.000000,1093.561918,0.319353,0.352611,0.463765,-0.274014
2017,2247.692777,25356.346415,20463.466409,0.689511,0.053401,1515.000000,1090.046760,0.329195,0.347805,0.462409,-0.284810
2018,2247.692777,25297.450135,20404.570129,0.687526,0.053401,1525.000000,1087.262216,0.338332,0.343836,0.461335,-0.293960
2019,2247.692777,25250.795259,20357.915252,0.685954,0.053401,1535.000000,1085.056430,0.346898,0.340471,0.460484,-0.301949
2020,2247.692777,25213.837449,20320.957442,0.684709,0.053401,1545.000000,1083.309110,0.355004,0.337431,0.459810,-0.309452
