year,recruitment,total_biomass,ssb_proxy,depletion,Fbar,catch_obs,catch_hat,catch_log_residual,index_obs,index_hat,index_log_residual
2001,2718.728196,42163.909014,35897.731743,1.000000,0.083687,1100.000000,2551.470517,-0.841360,0.490000,0.744103,-0.417775
2002,2718.728196,39626.273570,33428.587668,0.931217,0.083687,1135.000000,2372.616821,-0.737361,0.481360,0.699320,-0.373492
2003,2718.728196,37529.119154,31358.862738,0.873561,0.083687,1170.000000,2221.896403,-0.641357,0.472726,0.662309,-0.337217
2004,2718.728196,35827.700654,29666.252139,0.826410,0.083687,1210.000000,2098.145100,-0.550433,0.463859,0.632283,-0.309756
2005,2718.728196,34469.767496,28310.489763,0.788643,0.083687,1250.000000,1998.749010,-0.469378,0.454592,0.608318,-0.291299
2006,2718.728196,33400.868514,27241.940582,0.758876,0.083687,1280.000000,1920.289028,-0.405616,0.444839,0.589454,-0.281485
2007,2718.728196,32568.581130,26409.653199,0.735691,0.083687,1315.000000,1859.133504,-0.346274,0.434616,0.574766,-0.279501
2008,2718.728196,31925.250650,25766.322719,0.717770,0.083687,1345.000000,1811.846971,-0.297953,0.424025,0.563413,-0.284219
2009,2718.728196,31429.892195,25270.964263,0.703971,0.083687,1375.000000,1775.433722,-0.255591,0.413251,0.554671,-0.294321
2010,2718.728196,31049.099541,24890.171609,0.693363,0.083687,1400.000000,1747.441638,-0.221681,0.402530,0.547951,-0.308416
2011,2718.728196,30756.551119,24597.623188,0.685214,0.083687,1420.000000,1725.936392,-0.195113,0.392131,0.542788,-0.325122
2012,2718.728196,30531.797365,24372.869434,0.678953,0.083687,1440.000000,1709.414735,-0.171508,0.382319,0.538821,-0.343127
2013,2718.728196,30359.127658,24200.199727,0.674143,0.083687,1460.000000,1696.721778,-0.150262,0.373328,0.535774,-0.361254
2014,2718.728196,30226.472131,24067.544200,0.670447,0.083687,1480.000000,1686.970265,-0.130892,0.365333,0.533433,-0.378526
2015,2718.728196,30124.557967,23965.630036,0.667608,0.083687,1495.000000,1679.478550,-0.116357,0.358425,0.531634,-0.394238
2016,2718.728196,30046.261216,23887.333285,0.665427,0.083687,1505.000000,1673.722953,-0.106258,0.352611,0.530253,-0.407990
2017,2718.728196,29986.108819,23827.180887,0.663752,0.083687,1515.000000,1669.301148,-0.096990,0.347805,0.529191,-0.419709
2018,2718.728196,29939.896034,23780.968103,0.662464,0.083687,1525.000000,1665.904044,-0.088374,0.343836,0.528376,-0.429643
2019,2718.728196,29904.392521,23745.464590,0.661475,0.083687,1535.000000,1663.294180,-0.080270,0.340471,0.527749,-0.438291
2020,2718.728196,29877.116530,23718.188599,0.660716,0.083687,1545.000000,1661.289121,-0.072570,0.337431,0.527268,-0.446346
