year,recruitment,total_biomass,ssb_proxy,depletion,Fbar,catch_obs,catch_hat,catch_log_residual,index_obs,index_hat,index_log_residual
2001,69.020994,22226.791710,20326.677788,1.000000,0.188011,1100.000000,3447.749043,-1.142411,0.490000,0.789331,-0.476781
2002,69.020994,18543.952632,16882.027045,0.830535,0.188011,1135.000000,2873.071868,-0.928749,0.481360,0.658544,-0.313416
2003,69.020994,15596.211017,14072.657054,0.692325,0.188011,1170.000000,2411.501323,-0.723246,0.472726,0.553862,-0.158400
2004,69.020994,13285.477772,11823.909779,0.581694,0.188011,1210.000000,2048.806692,-0.526637,0.463859,0.471802,-0.016979
2005,69.020994,11514.238708,10072.957511,0.495554,0.188011,1250.000000,1770.446484,-0.348088,0.454592,0.408901,0.105927
2006,69.020994,10185.329750,8748.189961,0.430380,0.188011,1280.000000,1561.488604,-0.198780,0.444839,0.361708,0.206876
2007,69.020994,9208.146985,7771.007196,0.382306,0.188011,1315.000000,1407.803583,-0.068194,0.434616,0.327005,0.284486
2008,69.020994,8502.863451,7065.723662,0.347608,0.188011,1345.000000,1296.872443,0.036438,0.424025,0.301959,0.339503
2009,69.020994,8002.320171,6565.180383,0.322983,0.188011,1375.000000,1218.141990,0.121127,0.413251,0.284183,0.374435
2010,69.020994,7652.081818,6214.942029,0.305753,0.188011,1400.000000,1163.052627,0.185424,0.402530,0.271745,0.392904
2011,69.020994,7409.676820,5972.537031,0.293828,0.188011,1420.000000,1124.924488,0.232941,0.392131,0.263137,0.398921
2012,69.020994,7241.904838,5804.765049,0.285574,0.188011,1440.000000,1098.535455,0.270665,0.382319,0.257179,0.396485
2013,69.020994,7125.787438,5688.647649,0.279861,0.188011,1460.000000,1080.271226,0.301224,0.373328,0.253055,0.388851
2014,69.020994,7045.420917,5608.281128,0.275907,0.188011,1480.000000,1067.630291,0.326601,0.365333,0.250201,0.378542
2015,69.020994,6989.798093,5552.658304,0.273171,0.188011,1495.000000,1058.881318,0.344913,0.358425,0.248226,0.367379
2016,69.020994,6951.300737,5514.160949,0.271277,0.188011,1505.000000,1052.826028,0.357315,0.352611,0.246859,0.356547
2017,69.020994,6924.656164,5487.516376,0.269966,0.188011,1515.000000,1048.635075,0.367926,0.347805,0.245913,0.346664
2018,69.020994,6906.215072,5469.075284,0.269059,0.188011,1525.000000,1045.734456,0.377275,0.343836,0.245258,0.337855
2019,69.020994,6893.451728,5456.311939,0.268431,0.188011,1535.000000,1043.726896,0.385733,0.340471,0.244804,0.329870
2020,69.020994,6884.618033,5447.478245,0.267996,0.188011,1545.000000,1042.337435,0.393558,0.337431,0.244491,0.322185
