metric,target,value,extra
random_effects,,20,
total_entries,,400,
structural_nonzeros,,362,
structural_density,,0.905,
positive_definite,,yes,
min_eigenvalue,,8.16326064523309,
max_eigenvalue,,115.416707533793,
condition_number,,14.1385547454239,
effective_sparsity_entries,90%,145,compression_vs_structural=2.49655172413793
effective_sparsity_entries,95%,189,compression_vs_structural=1.91534391534392
effective_sparsity_entries,97%,217,compression_vs_structural=1.66820276497696
effective_sparsity_entries,98%,235,compression_vs_structural=1.54042553191489
effective_sparsity_entries,99%,264,compression_vs_structural=1.37121212121212
effective_sparsity_entries,99.5%,286,compression_vs_structural=1.26573426573427
effective_sparsity_entries,99.9%,320,compression_vs_structural=1.13125
effective_sparsity_entries,100%,362,compression_vs_structural=1
effective_bandwidth,90%,4,
effective_bandwidth,95%,6,
effective_bandwidth,97%,7,
effective_bandwidth,98%,8,
effective_bandwidth,99%,10,
effective_bandwidth,99.5%,11,
effective_bandwidth,99.9%,13,
effective_bandwidth,100%,19,
