Longline Selectivity Slope Geometry Scan
=======================================

parameter_index:       5
parameter_name:        log_sel_slope_longline
base_log_slope:        1.06335203513763
base_slope:            2.89606244021174
base_objective:        2112.84663698188

Interpretation
--------------
This scan holds all fixed effects at the Level 6 fit except longline
log-selectivity-slope. For each slope multiplier, random effects are
re-solved and the profiled Laplace objective is evaluated. Failed rows
mark local Huu/Laplace stability boundaries.

Rows
----
step_index,multiplier,log_sel_slope_longline,sel_slope_longline,objective,delta_objective,status,message
0,0.4,0.147061303263479,1.1584249760847,2189.25151871914,76.4048817372595,ok,ok
1,0.5,0.370204854577688,1.44803122010587,2154.93378028203,42.0871433001516,ok,ok
2,0.6,0.552526411371643,1.73763746412704,2135.0088525601,22.1622155782247,ok,ok
3,0.7,0.706677091198901,2.02724370814822,2123.40043253824,10.5537955563641,ok,ok
4,0.75,0.775669962685853,2.17204683015881,2119.64872371699,6.80208673511106,ok,ok
5,0.8,0.840208483823424,2.31684995216939,2116.90678804381,4.06015106192626,ok,ok
6,0.85,0.900833105639859,2.46165307417998,2114.98595783148,2.13932084960334,ok,ok
7,0.9,0.957991519479807,2.60645619619057,2113.74080337006,0.894166388186022,ok,ok
8,0.95,1.01205874075008,2.75125931820115,2113.05768897602,0.211051994136596,ok,ok
9,0.975,1.03803422715334,2.82366087920645,2112.89802676903,0.051389787154676,ok,ok
10,1,1.06335203513763,2.89606244021174,2112.84663698188,0,ok,ok
11,1.025,1.088044647728,2.96846400121703,2112.89501169878,0.0483747168991613,ok,ok
12,1.05,1.11214219930707,3.04086556222233,2113.03548254467,0.188845562794086,ok,ok
13,1.1,1.15866221494196,3.18566868423291,2113.56563252988,0.718995548002567,ok,ok
14,1.15,1.20311397751279,3.3304718062435,2114.38895878837,1.5423218064916,ok,ok
15,1.2,1.24567359193159,3.47527492825409,2115.46550081602,2.61886383414549,ok,ok
16,1.3,1.32571629960512,3.76488117227526,2118.24935927699,5.40272229511265,ok,ok
17,1.4,1.39982427175885,4.05448741629644,2121.7053695835,8.85873260161725,ok,ok
18,1.6,1.53335566438337,4.63369990433878,2130.04902814467,17.2023911627934,ok,ok
19,1.8,1.65113870003975,5.21291239238113,2139.64957017931,26.8029331974326,ok,ok
20,2,1.75649921569758,5.79212488042348,2150.00223522336,37.1555982414816,ok,ok
