level,file,fleet,metric,age,value,note
level0_single_region,examples/NMFS/pifsc_bigeye_tuna/level0_single_region/data/synthetic_bigeye_level0_observations.csv,,age_mean,1,0.14700000000000002,mean observed composition
level0_single_region,examples/NMFS/pifsc_bigeye_tuna/level0_single_region/data/synthetic_bigeye_level0_observations.csv,,age_range,1,0.08,max-min across years
level0_single_region,examples/NMFS/pifsc_bigeye_tuna/level0_single_region/data/synthetic_bigeye_level0_observations.csv,,age_mean,2,0.193,mean observed composition
level0_single_region,examples/NMFS/pifsc_bigeye_tuna/level0_single_region/data/synthetic_bigeye_level0_observations.csv,,age_range,2,0.04999999999999999,max-min across years
level0_single_region,examples/NMFS/pifsc_bigeye_tuna/level0_single_region/data/synthetic_bigeye_level0_observations.csv,,age_mean,3,0.201,mean observed composition
level0_single_region,examples/NMFS/pifsc_bigeye_tuna/level0_single_region/data/synthetic_bigeye_level0_observations.csv,,age_range,3,0.03,max-min across years
level0_single_region,examples/NMFS/pifsc_bigeye_tuna/level0_single_region/data/synthetic_bigeye_level0_observations.csv,,age_mean,4,0.1665,mean observed composition
level0_single_region,examples/NMFS/pifsc_bigeye_tuna/level0_single_region/data/synthetic_bigeye_level0_observations.csv,,age_range,4,0.04000000000000001,max-min across years
level0_single_region,examples/NMFS/pifsc_bigeye_tuna/level0_single_region/data/synthetic_bigeye_level0_observations.csv,,age_mean,5,0.11200000000000002,mean observed composition
level0_single_region,examples/NMFS/pifsc_bigeye_tuna/level0_single_region/data/synthetic_bigeye_level0_observations.csv,,age_range,5,0.03,max-min across years
level0_single_region,examples/NMFS/pifsc_bigeye_tuna/level0_single_region/data/synthetic_bigeye_level0_observations.csv,,age_mean,6,0.07800000000000001,mean observed composition
level0_single_region,examples/NMFS/pifsc_bigeye_tuna/level0_single_region/data/synthetic_bigeye_level0_observations.csv,,age_range,6,0.01999999999999999,max-min across years
level0_single_region,examples/NMFS/pifsc_bigeye_tuna/level0_single_region/data/synthetic_bigeye_level0_observations.csv,,age_mean,7,0.04550000000000002,mean observed composition
level0_single_region,examples/NMFS/pifsc_bigeye_tuna/level0_single_region/data/synthetic_bigeye_level0_observations.csv,,age_range,7,0.010000000000000002,max-min across years
level0_single_region,examples/NMFS/pifsc_bigeye_tuna/level0_single_region/data/synthetic_bigeye_level0_observations.csv,,age_mean,8,0.030000000000000016,mean observed composition
level0_single_region,examples/NMFS/pifsc_bigeye_tuna/level0_single_region/data/synthetic_bigeye_level0_observations.csv,,age_range,8,0.0,max-min across years
level0_single_region,examples/NMFS/pifsc_bigeye_tuna/level0_single_region/data/synthetic_bigeye_level0_observations.csv,,age_mean,9,0.019000000000000003,mean observed composition
level0_single_region,examples/NMFS/pifsc_bigeye_tuna/level0_single_region/data/synthetic_bigeye_level0_observations.csv,,age_range,9,0.01,max-min across years
level0_single_region,examples/NMFS/pifsc_bigeye_tuna/level0_single_region/data/synthetic_bigeye_level0_observations.csv,,age_mean,10,0.010000000000000002,mean observed composition
level0_single_region,examples/NMFS/pifsc_bigeye_tuna/level0_single_region/data/synthetic_bigeye_level0_observations.csv,,age_range,10,0.0,max-min across years
level0_single_region,examples/NMFS/pifsc_bigeye_tuna/level0_single_region/data/synthetic_bigeye_level0_observations.csv,,mean_year_to_year_L1_change,,0.026315789473684206,small values imply mechanically smooth composition series
level1_multifleet,examples/NMFS/pifsc_bigeye_tuna/level1_multifleet/data/synthetic_bigeye_level0_observations.csv,,age_mean,1,0.14700000000000002,mean observed composition
level1_multifleet,examples/NMFS/pifsc_bigeye_tuna/level1_multifleet/data/synthetic_bigeye_level0_observations.csv,,age_range,1,0.08,max-min across years
level1_multifleet,examples/NMFS/pifsc_bigeye_tuna/level1_multifleet/data/synthetic_bigeye_level0_observations.csv,,age_mean,2,0.193,mean observed composition
level1_multifleet,examples/NMFS/pifsc_bigeye_tuna/level1_multifleet/data/synthetic_bigeye_level0_observations.csv,,age_range,2,0.04999999999999999,max-min across years
level1_multifleet,examples/NMFS/pifsc_bigeye_tuna/level1_multifleet/data/synthetic_bigeye_level0_observations.csv,,age_mean,3,0.201,mean observed composition
level1_multifleet,examples/NMFS/pifsc_bigeye_tuna/level1_multifleet/data/synthetic_bigeye_level0_observations.csv,,age_range,3,0.03,max-min across years
level1_multifleet,examples/NMFS/pifsc_bigeye_tuna/level1_multifleet/data/synthetic_bigeye_level0_observations.csv,,age_mean,4,0.1665,mean observed composition
level1_multifleet,examples/NMFS/pifsc_bigeye_tuna/level1_multifleet/data/synthetic_bigeye_level0_observations.csv,,age_range,4,0.04000000000000001,max-min across years
level1_multifleet,examples/NMFS/pifsc_bigeye_tuna/level1_multifleet/data/synthetic_bigeye_level0_observations.csv,,age_mean,5,0.11200000000000002,mean observed composition
level1_multifleet,examples/NMFS/pifsc_bigeye_tuna/level1_multifleet/data/synthetic_bigeye_level0_observations.csv,,age_range,5,0.03,max-min across years
level1_multifleet,examples/NMFS/pifsc_bigeye_tuna/level1_multifleet/data/synthetic_bigeye_level0_observations.csv,,age_mean,6,0.07800000000000001,mean observed composition
level1_multifleet,examples/NMFS/pifsc_bigeye_tuna/level1_multifleet/data/synthetic_bigeye_level0_observations.csv,,age_range,6,0.01999999999999999,max-min across years
level1_multifleet,examples/NMFS/pifsc_bigeye_tuna/level1_multifleet/data/synthetic_bigeye_level0_observations.csv,,age_mean,7,0.04550000000000002,mean observed composition
level1_multifleet,examples/NMFS/pifsc_bigeye_tuna/level1_multifleet/data/synthetic_bigeye_level0_observations.csv,,age_range,7,0.010000000000000002,max-min across years
level1_multifleet,examples/NMFS/pifsc_bigeye_tuna/level1_multifleet/data/synthetic_bigeye_level0_observations.csv,,age_mean,8,0.030000000000000016,mean observed composition
level1_multifleet,examples/NMFS/pifsc_bigeye_tuna/level1_multifleet/data/synthetic_bigeye_level0_observations.csv,,age_range,8,0.0,max-min across years
level1_multifleet,examples/NMFS/pifsc_bigeye_tuna/level1_multifleet/data/synthetic_bigeye_level0_observations.csv,,age_mean,9,0.019000000000000003,mean observed composition
level1_multifleet,examples/NMFS/pifsc_bigeye_tuna/level1_multifleet/data/synthetic_bigeye_level0_observations.csv,,age_range,9,0.01,max-min across years
level1_multifleet,examples/NMFS/pifsc_bigeye_tuna/level1_multifleet/data/synthetic_bigeye_level0_observations.csv,,age_mean,10,0.010000000000000002,mean observed composition
level1_multifleet,examples/NMFS/pifsc_bigeye_tuna/level1_multifleet/data/synthetic_bigeye_level0_observations.csv,,age_range,10,0.0,max-min across years
level1_multifleet,examples/NMFS/pifsc_bigeye_tuna/level1_multifleet/data/synthetic_bigeye_level0_observations.csv,,mean_year_to_year_L1_change,,0.026315789473684206,small values imply mechanically smooth composition series
