section,name,level20,level21,delta_21_minus_20,level20_abs_gradient,level21_abs_gradient,delta_abs_gradient
summary,objective,1727.69290776,1730.36540744,2.6724996799998735,,,
summary,grad_norm,0.153377804936,0.214878500867,0.06150069593099999,,,
summary,converged,no,no,,,,
summary,log_r0,6.85339030594,6.9490768653,0.0956865593600007,,,
summary,r0,947.086382415,1042.18720481,95.10082239499991,,,
summary,log_fbar,-2.11409002355,-2.12826933411,-0.01417931055999988,,,
summary,fbar,0.120743112967,0.119043139577,-0.001699973389999998,,,
summary,log_q_purse_seine,-10.9587719395,-10.9899848737,-0.031212934199999154,,,
summary,q_purse_seine,1.74046709995e-05,1.68698108495e-05,-5.348601499999985e-07,,,
summary,log_m_young_offset,,0.0752437145422,,,,
summary,log_m_old_offset,,-0.0147669871024,,,,
summary,init_number_multiplier_age_1,0.000493495101588,0.000112444210905,-0.000381050890683,,,
summary,init_number_multiplier_age_2,0.00194919687902,0.000254492070713,-0.0016947048083070001,,,
summary,init_number_multiplier_age_3,0.0228382162899,0.000601083123206,-0.022237133166694,,,
summary,init_number_multiplier_age_4,0.210323812015,0.00217561621982,-0.20814819579518,,,
summary,init_number_multiplier_age_5,1.62494713753,0.0234215293485,-1.6015256081815,,,
summary,init_number_multiplier_age_6,23.1951839088,0.212908384746,-22.982275524054,,,
summary,init_number_multiplier_age_7,2.39419214893,1.67476856843,-0.7194235805000002,,,
summary,init_number_multiplier_age_8,0.0871059775399,23.2553540636,23.1682480860601,,,
summary,init_number_multiplier_age_9,1.00047800399,2.39498785644,1.3945098524499997,,,
summary,init_number_multiplier_age_10,0.972346304602,0.085480549604,-0.886865754998,,,
gradient,init_log_number_dev_age_4,,-0.144262,,,0.102081,
gradient,logit_sel_longline_age_6,,-1.54689,,,0.0938342,
gradient,init_log_number_dev_age_2,,-0.0292198,,,0.0771009,
gradient,logit_sel_longline_age_5,,-3.7541,,,0.0545536,
gradient,log_m_young_offset,,0.0752437,,,0.0535325,
gradient,init_log_number_dev_age_3,,-0.0798416,,,0.0473485,
gradient,log_r0,,6.94908,,,0.0463885,
gradient,logit_sel_purse_seine_age_1,,-1.21421,,,0.0434059,
gradient,init_log_number_dev_age_8,,-0.280007,,,0.0403398,
gradient,init_log_number_dev_age_6,,-0.185863,,,0.0341613,
gradient,logit_sel_longline_age_10,,-2.45947,,,0.0307066,
gradient,log_m_old_offset,,-0.014767,,,0.0296703,
gradient,logit_sel_purse_seine_age_5,,-2.2291,,,0.0289473,
gradient,init_log_number_dev_age_9,,-0.333285,,,0.0226507,
gradient,logit_sel_purse_seine_age_7,,-3.27777,,,0.0195329,
gradient,logit_sel_purse_seine_age_4,,-0.0812019,,,0.018648,
gradient,init_log_number_dev_age_10,,-0.262791,,,0.0186446,
gradient,logit_sel_longline_age_9,,0.873378,,,0.0178966,
gradient,logit_sel_longline_age_8,,3.14654,,,0.0172779,
gradient,logit_sel_longline_age_3,,-7.41678,,,0.0169499,
gradient,init_log_number_dev_age_7,,-0.226409,,,0.013482,
gradient,logit_sel_purse_seine_age_10,,-5.34994,,,0.0127399,
gradient,logit_sel_purse_seine_age_6,,-3.00909,,,0.0121948,
gradient,logit_sel_longline_age_2,,-8.27624,,,0.0105848,
gradient,logit_sel_purse_seine_age_9,,-4.28985,,,0.0100394,
gradient,logit_sel_purse_seine_age_3,,6.91074,,,0.00683024,
gradient,logit_sel_longline_age_4,,-6.13044,,,0.00631998,
gradient,init_log_number_dev_age_5,,-0.164363,,,0.00540068,
gradient,log_q_purse_seine,,-10.99,,,0.0052921,
gradient,logit_sel_purse_seine_age_8,,-3.78674,,,0.00520867,
gradient,log_fbar,,-2.12827,,,0.00519997,
gradient,logit_sel_longline_age_1,,-9.09305,,,0.00376024,
gradient,logit_sel_longline_age_7,,0.515675,,,0.00313495,
gradient,logit_sel_purse_seine_age_2,,1.7723,,,0.00184858,
gradient,init_log_number_dev_age_1,,-0.00118952,,,0.000876424,
