direction,alpha,n_params,grad_rms,grad_sq,predicted_first_order_delta,max_abs_step,max_grad_param,max_abs_grad
all,1e-06,35,0.038349357674242225,0.0014706732340269608,-1.4706732340269607e-09,2.8422699999999996e-08,log_m_young_offset,0.0284227
all,3e-06,35,0.038349357674242225,0.0014706732340269608,-4.4120197020808826e-09,8.52681e-08,log_m_young_offset,0.0284227
all,1e-05,35,0.038349357674242225,0.0014706732340269608,-1.4706732340269609e-08,2.84227e-07,log_m_young_offset,0.0284227
all,3e-05,35,0.038349357674242225,0.0014706732340269608,-4.412019702080883e-08,8.52681e-07,log_m_young_offset,0.0284227
all,0.0001,35,0.038349357674242225,0.0014706732340269608,-1.470673234026961e-07,2.84227e-06,log_m_young_offset,0.0284227
all,0.0003,35,0.038349357674242225,0.0014706732340269608,-4.412019702080882e-07,8.526809999999998e-06,log_m_young_offset,0.0284227
all,0.001,35,0.038349357674242225,0.0014706732340269608,-1.470673234026961e-06,2.8422699999999998e-05,log_m_young_offset,0.0284227
age_m,1e-06,2,0.02851563096573702,0.0008131412093741,-8.131412093740999e-10,2.8422699999999996e-08,log_m_young_offset,0.0284227
age_m,3e-06,2,0.02851563096573702,0.0008131412093741,-2.4394236281223e-09,8.52681e-08,log_m_young_offset,0.0284227
age_m,1e-05,2,0.02851563096573702,0.0008131412093741,-8.131412093741e-09,2.84227e-07,log_m_young_offset,0.0284227
age_m,3e-05,2,0.02851563096573702,0.0008131412093741,-2.4394236281222998e-08,8.52681e-07,log_m_young_offset,0.0284227
age_m,0.0001,2,0.02851563096573702,0.0008131412093741,-8.131412093741e-08,2.84227e-06,log_m_young_offset,0.0284227
age_m,0.0003,2,0.02851563096573702,0.0008131412093741,-2.4394236281222994e-07,8.526809999999998e-06,log_m_young_offset,0.0284227
age_m,0.001,2,0.02851563096573702,0.0008131412093741,-8.131412093741e-07,2.8422699999999998e-05,log_m_young_offset,0.0284227
base_scale,1e-06,3,0.016805857850237815,0.0002824368580824,-2.824368580824e-10,1.28794e-08,log_r0,0.0128794
base_scale,3e-06,3,0.016805857850237815,0.0002824368580824,-8.473105742472e-10,3.8638199999999996e-08,log_r0,0.0128794
