rank,name,value,fixed_gradient,abs_fixed_gradient
1,log_r0,6.74589,0.0275138,0.0275138
2,log_fbar,-2.67008,0.0247696,0.0247696
3,log_q_purse_seine,-10.7577,-0.0237695,0.0237695
4,logit_sel_purse_seine_age_4,-0.565035,-0.00595348,0.00595348
5,init_log_number_dev_age_4,-0.125651,0.00425959,0.00425959
6,init_log_number_dev_age_1,0.0318933,0.00407712,0.00407712
7,init_log_number_dev_age_6,-0.201832,0.00399801,0.00399801
8,init_log_number_dev_age_3,-0.0615327,0.00396582,0.00396582
9,init_log_number_dev_age_2,0.0042823,0.00394367,0.00394367
10,logit_sel_purse_seine_age_3,6.88712,0.00376255,0.00376255
11,logit_sel_longline_age_6,-1.38487,0.00336478,0.00336478
12,init_log_number_dev_age_5,-0.170898,0.00327248,0.00327248
13,logit_sel_purse_seine_age_5,-2.5807,-0.00318946,0.00318946
14,logit_sel_purse_seine_age_6,-3.3105,-0.00285991,0.00285991
15,logit_sel_purse_seine_age_8,-3.93162,-0.00273526,0.00273526
16,init_log_number_dev_age_8,-0.274783,0.0025721,0.0025721
17,logit_sel_longline_age_10,-2.18784,0.00244576,0.00244576
18,logit_sel_longline_age_7,1.0017,0.00225874,0.00225874
19,init_log_number_dev_age_7,-0.241345,0.0018218,0.0018218
20,logit_sel_purse_seine_age_7,-3.52724,0.00162057,0.00162057
21,init_log_number_dev_age_10,-0.364405,-0.00161681,0.00161681
22,logit_sel_longline_age_1,-8.95913,0.00145943,0.00145943
23,logit_sel_longline_age_4,-6.01531,0.00136787,0.00136787
24,logit_sel_longline_age_5,-3.63641,0.00123516,0.00123516
25,logit_sel_longline_age_8,4.0352,0.00112514,0.00112514
26,logit_sel_purse_seine_age_9,-4.35806,0.00065037,0.00065037
27,init_log_number_dev_age_9,-0.417592,0.000532418,0.000532418
28,logit_sel_longline_age_3,-7.29323,-0.00040378,0.00040378
29,logit_sel_purse_seine_age_1,-1.28572,0.000301137,0.000301137
30,logit_sel_purse_seine_age_10,-5.39911,0.000298092,0.000298092
31,logit_sel_purse_seine_age_2,1.25412,0.000264421,0.000264421
32,logit_sel_longline_age_2,-8.14512,9.86426e-05,9.86426e-05
33,logit_sel_longline_age_9,1.7359,5.02491e-05,5.02491e-05
34,log_m_old_offset,0,0,0
35,log_m_young_offset,0,0,0
