section,group,n_params,abs_gradient_sum,rms_gradient,max_gradient_param,max_abs_gradient
gradient_group,age_m,2,0.03072299,0.02851563096573702,log_m_young_offset,0.0284227
gradient_group,base_scale,3,0.02611728,0.016805857850237815,log_r0,0.0128794
gradient_group,purse_seine_selectivity,10,0.040038133,0.013913488845702541,logit_sel_purse_seine_age_4,0.00709098
gradient_group,longline_selectivity,10,0.0263530892,0.010995594739432452,logit_sel_longline_age_9,0.00658238
gradient_group,initial_numbers,10,0.0184823244,0.007785042776834161,init_log_number_dev_age_6,0.00569966
summary,total_gradient_rms,,,0.038349357674242225,,
summary,base_scale_rms_share,,,0.4382304911856622,,

section,rank,name,value,fixed_gradient,abs_fixed_gradient,group
top_gradient,1,log_m_young_offset,-0.272702,0.0284227,0.0284227,age_m
top_gradient,2,log_r0,6.45125,-0.0128794,0.0128794,base_scale
top_gradient,3,log_fbar,-2.68029,-0.0104227,0.0104227,base_scale
top_gradient,4,logit_sel_purse_seine_age_4,-0.510507,-0.00709098,0.00709098,purse_seine_selectivity
top_gradient,5,logit_sel_longline_age_9,0.826161,0.00658238,0.00658238,longline_selectivity
top_gradient,6,logit_sel_longline_age_7,0.982843,-0.00646497,0.00646497,longline_selectivity
top_gradient,7,logit_sel_purse_seine_age_6,-3.24344,0.00617378,0.00617378,purse_seine_selectivity
top_gradient,8,init_log_number_dev_age_6,-0.228469,-0.00569966,0.00569966,initial_numbers
top_gradient,9,logit_sel_purse_seine_age_1,-0.978906,0.00560755,0.00560755,purse_seine_selectivity
top_gradient,10,logit_sel_purse_seine_age_10,-5.4599,0.00512267,0.00512267,purse_seine_selectivity
top_gradient,11,logit_sel_longline_age_10,-2.92836,-0.00439252,0.00439252,longline_selectivity
top_gradient,12,logit_sel_purse_seine_age_5,-2.51928,0.00359462,0.00359462,purse_seine_selectivity
top_gradient,13,logit_sel_purse_seine_age_7,-3.46776,-0.00345902,0.00345902,purse_seine_selectivity
top_gradient,14,init_log_number_dev_age_3,-0.074607,-0.0029211,0.0029211,initial_numbers
top_gradient,15,log_q_purse_seine,-10.7134,0.00281518,0.00281518,base_scale
top_gradient,16,logit_sel_purse_seine_age_9,-4.36897,0.00275638,0.00275638,purse_seine_selectivity
top_gradient,17,logit_sel_purse_seine_age_2,2.08106,-0.00268155,0.00268155,purse_seine_selectivity
top_gradient,18,logit_sel_purse_seine_age_8,-3.90689,0.00264755,0.00264755,purse_seine_selectivity
top_gradient,19,init_log_number_dev_age_10,-0.399053,0.00263697,0.00263697,initial_numbers
top_gradient,20,init_log_number_dev_age_1,0.0289653,-0.00259572,0.00259572,initial_numbers
top_gradient,21,logit_sel_longline_age_4,-6.01216,0.0024936,0.0024936,longline_selectivity
top_gradient,22,log_m_old_offset,-0.386285,-0.00230029,0.00230029,age_m
top_gradient,23,logit_sel_longline_age_1,-8.77714,0.00210257,0.00210257,longline_selectivity
top_gradient,24,init_log_number_dev_age_5,-0.199647,-0.00204513,0.00204513,initial_numbers
top_gradient,25,logit_sel_longline_age_8,3.77903,0.00178224,0.00178224,longline_selectivity
