lag,count,mean_correlation,min_correlation,max_correlation
0,20,1,1,1
1,19,0.265879,0.258456,0.278678
2,18,0.0703659,0.0669483,0.07378
3,17,0.018648,0.01735,0.019603
4,16,0.00494919,0.00451245,0.00524304
5,15,0.00131535,0.00117911,0.00140342
6,14,0.00034991,0.000309777,0.000376145
7,13,9.31051e-05,8.18047e-05,0.000101516
8,12,2.4765e-05,2.1708e-05,2.73151e-05
9,11,6.58307e-06,5.78706e-06,7.32036e-06
10,10,1.74843e-06,1.55092e-06,1.95151e-06
11,9,4.63937e-07,4.17306e-07,5.1786e-07
12,8,1.2295e-07,1.12625e-07,1.36754e-07
13,7,3.25335e-08,3.03418e-08,3.59281e-08
14,6,8.59259e-09,8.12167e-09,9.38812e-09
15,5,2.26581e-09,2.16107e-09,2.4417e-09
16,4,5.97397e-10,5.74185e-10,6.32778e-10
17,3,1.57951e-10,1.52016e-10,1.63545e-10
18,2,4.21355e-11,4.19076e-11,4.23634e-11
19,1,1.16787e-11,1.16787e-11,1.16787e-11
