lag,count,mean_correlation,min_correlation,max_correlation
0,20,1,1,1
1,19,0.265886,0.258467,0.278697
2,18,0.0703698,0.0669533,0.0737882
3,17,0.0186496,0.0173521,0.0196057
4,16,0.00494973,0.00451319,0.0052433
5,15,0.00131552,0.00117936,0.00140352
6,14,0.000349965,0.000309852,0.00037622
7,13,9.31221e-05,8.1827e-05,0.000101538
8,12,2.47701e-05,2.17145e-05,2.73212e-05
9,11,6.58459e-06,5.78892e-06,7.32211e-06
10,10,1.74889e-06,1.55144e-06,1.95202e-06
11,9,4.6407e-07,4.17452e-07,5.18009e-07
12,8,1.22988e-07,1.12666e-07,1.36798e-07
13,7,3.25447e-08,3.03531e-08,3.59409e-08
14,6,8.59582e-09,8.12487e-09,9.39183e-09
15,5,2.26674e-09,2.16198e-09,2.44277e-09
16,4,5.97662e-10,5.74443e-10,6.33085e-10
17,3,1.58026e-10,1.5209e-10,1.63632e-10
18,2,4.21567e-11,4.19264e-11,4.23871e-11
19,1,1.16848e-11,1.16848e-11,1.16848e-11
