year,variance_logB0,variance_logBt,covariance_logBt_logB0,correlation_logBt_logB0,note
1,0.00416509,0.00416509,0.00416509,1,selected_inverse_covariance_diagnostic_logBt_logB0
2,0.00416509,0.00365347,0.00108717,0.278697,selected_inverse_covariance_diagnostic_logBt_logB0
3,0.00416509,0.00361202,0.000286203,0.0737882,selected_inverse_covariance_diagnostic_logBt_logB0
4,0.00416509,0.00361283,7.60533e-05,0.0196057,selected_inverse_covariance_diagnostic_logBt_logB0
5,0.00416509,0.00360214,2.02074e-05,0.00521696,selected_inverse_covariance_diagnostic_logBt_logB0
6,0.00416509,0.00359237,5.40174e-06,0.00139647,selected_inverse_covariance_diagnostic_logBt_logB0
7,0.00416509,0.00359096,1.45499e-06,0.00037622,selected_inverse_covariance_diagnostic_logBt_logB0
8,0.00416509,0.00359673,3.93e-07,0.000101538,selected_inverse_covariance_diagnostic_logBt_logB0
9,0.00416509,0.00360072,1.05805e-07,2.73212e-05,selected_inverse_covariance_diagnostic_logBt_logB0
10,0.00416509,0.00360655,2.83788e-08,7.32211e-06,selected_inverse_covariance_diagnostic_logBt_logB0
11,0.00416509,0.00361003,7.56923e-09,1.95202e-06,selected_inverse_covariance_diagnostic_logBt_logB0
12,0.00416509,0.00361386,2.00972e-09,5.18009e-07,selected_inverse_covariance_diagnostic_logBt_logB0
13,0.00416509,0.00361775,5.3102e-10,1.36798e-07,selected_inverse_covariance_diagnostic_logBt_logB0
14,0.00416509,0.003623,1.39616e-10,3.59409e-08,selected_inverse_covariance_diagnostic_logBt_logB0
15,0.00416509,0.00362671,3.65021e-11,9.39183e-09,selected_inverse_covariance_diagnostic_logBt_logB0
16,0.00416509,0.00362903,9.49709e-12,2.44277e-09,selected_inverse_covariance_diagnostic_logBt_logB0
17,0.00416509,0.00363127,2.46209e-12,6.33085e-10,selected_inverse_covariance_diagnostic_logBt_logB0
18,0.00416509,0.00363547,6.36737e-13,1.63632e-10,selected_inverse_covariance_diagnostic_logBt_logB0
19,0.00416509,0.00367488,1.65832e-13,4.23871e-11,selected_inverse_covariance_diagnostic_logBt_logB0
20,0.00416509,0.00422339,4.90075e-14,1.16848e-11,selected_inverse_covariance_diagnostic_logBt_logB0
