scenario,year,quantity,estimate,mean,median,lwr_95,upr_95,se,n_samples,note
high_catch,21,biomass,1068.48,1071.13,1069.08,936.077,1214.52,69.9444,1000,terminal_state_parametric_envelope_selected_inverse_delta
high_catch,21,index,1.00504,1.00753,1.0056,0.880497,1.1424,0.0657914,1000,terminal_state_parametric_envelope_selected_inverse_delta
high_catch,22,biomass,1044.98,1047.64,1045.58,912.579,1191.02,69.9444,1000,terminal_state_parametric_envelope_selected_inverse_delta
high_catch,22,index,0.982936,0.985431,0.9835,0.858394,1.1203,0.0657914,1000,terminal_state_parametric_envelope_selected_inverse_delta
high_catch,23,biomass,1026.78,1029.44,1027.38,894.38,1172.82,69.9444,1000,terminal_state_parametric_envelope_selected_inverse_delta
high_catch,23,index,0.965818,0.968313,0.966381,0.841276,1.10318,0.0657914,1000,terminal_state_parametric_envelope_selected_inverse_delta
high_catch,24,biomass,1012.47,1015.12,1013.07,880.064,1158.5,69.9444,1000,terminal_state_parametric_envelope_selected_inverse_delta
high_catch,24,index,0.952352,0.954847,0.952916,0.82781,1.08972,0.0657914,1000,terminal_state_parametric_envelope_selected_inverse_delta
high_catch,25,biomass,1001.07,1003.72,1001.67,868.668,1147.11,69.9444,1000,terminal_state_parametric_envelope_selected_inverse_delta
high_catch,25,index,0.941632,0.944127,0.942196,0.81709,1.079,0.0657914,1000,terminal_state_parametric_envelope_selected_inverse_delta
high_catch,26,biomass,991.914,994.566,992.513,859.51,1137.95,69.9444,1000,terminal_state_parametric_envelope_selected_inverse_delta
high_catch,26,index,0.933019,0.935513,0.933582,0.808477,1.07038,0.0657914,1000,terminal_state_parametric_envelope_selected_inverse_delta
high_catch,27,biomass,984.501,987.153,985.1,852.098,1130.54,69.9444,1000,terminal_state_parametric_envelope_selected_inverse_delta
high_catch,27,index,0.926046,0.928541,0.92661,0.801504,1.06341,0.0657914,1000,terminal_state_parametric_envelope_selected_inverse_delta
